# dataset_name=lab_run_2
# dataset_scan_variant=raw
# dataset_scan_file=/home/kaushik/slam_ws/datasets/lab_run_2/scans.carmen
# matcher_type=scan_to_submap
k t x y theta score inliers dx dy dtheta do_insert did_insert
0 1776785626.486790 0.000000 0.000000 0.000000 -1.000000 -1 nan nan nan 1 1
1 1776785626.591305 -0.057159 0.006039 0.002497 0.601097 196 -0.007159 0.006039 0.002497 1 1
2 1776785626.697406 -0.058160 -0.034265 0.001835 0.692259 203 -0.001001 0.009696 -0.000661 1 1
3 1776785626.799708 -0.062857 -0.039537 0.000394 0.783624 195 -0.004697 -0.005272 -0.001442 1 1
4 1776785626.904063 -0.076817 -0.044703 0.000572 0.818271 196 -0.013961 -0.005165 0.000178 1 1
5 1776785627.011086 -0.085522 -0.053318 0.001956 0.850566 201 -0.008704 -0.008615 0.001384 1 1
6 1776785627.114878 -0.093422 -0.060145 0.002057 0.898666 195 -0.007900 -0.006827 0.000101 1 1
7 1776785627.218352 -0.098401 -0.067035 0.002067 0.917481 193 -0.004979 -0.006890 0.000010 1 1
8 1776785627.325902 -0.097927 -0.069456 0.000788 0.934718 197 0.000474 -0.002421 -0.001279 1 1
9 1776785627.425481 -0.101583 -0.069093 0.001581 0.948874 197 -0.003656 0.000363 0.000793 0 0
10 1776785627.530365 -0.101910 -0.072898 0.002164 0.935770 193 -0.000327 -0.003805 0.000583 1 1
11 1776785627.634527 -0.105145 -0.073077 0.001972 0.946886 194 -0.003234 -0.000179 -0.000192 1 1
12 1776785627.739150 -0.110440 -0.077010 0.002074 0.954422 195 -0.005295 -0.003933 0.000102 1 1
13 1776785627.843595 -0.108672 -0.078011 0.001615 0.953292 197 0.001768 -0.001002 -0.000459 1 1
14 1776785627.956855 -0.111829 -0.078942 0.001374 0.968550 196 -0.003156 -0.000931 -0.000241 1 1
15 1776785628.052838 -0.115875 -0.083819 0.000366 0.967267 193 -0.004046 -0.004877 -0.001008 0 0
16 1776785628.157896 -0.112050 -0.080810 0.000910 0.960770 201 0.003825 0.003009 0.000544 1 1
17 1776785628.261895 -0.116699 -0.084604 0.000256 0.956927 195 -0.004650 -0.003795 -0.000654 1 1
