============================================================
Dataset      : lab_run_2
Scan variant : raw
Scan file    : /home/kaushik/slam_ws/datasets/lab_run_2/scans.carmen
Geometry     : beams=909  angle=[-180.0°, 180.0°]  range=[0.10, 16.00] m  has_odom=False
IMU file     : /home/kaushik/slam_ws/datasets/lab_run_2/imu.csv
Total scans  : 1052
Matcher      : scan_to_submap
Extrapolator : OFF (raw odom / last pose)
Odom alpha   : 0.0
Voxel filter : True
============================================================
Online PGO   : ON (g2o pose graph + loop closure)
MotionFilter thresholds:  time=0.100s  dist=0.100m  angle=4.50deg
Using PGO backend: G2oBackend2D
  ┌─── SUBMAP #0 CREATED at scan k=0  (pose=(0.00,0.00,0.00))  active=2  finished=0
  ┌─── SUBMAP #1 CREATED at scan k=0  (pose=(0.00,0.00,0.00))  active=2  finished=0
k=    0 FALLBACK  pose=(0.00,0.00,0.0°)  score=-1.000  d=None  inl=None  raw=656  pts=201  di=1
k=   10 MATCH     pose=(-0.10,-0.07,0.1°)  score=0.936  d=(-0.000,-0.004,0.001)  inl=193  raw=670  pts=201  di=1
k=   20 MATCH     pose=(-0.12,-0.09,0.1°)  score=0.961  d=(-0.003,-0.004,0.000)  inl=195  raw=664  pts=200  di=1
k=   30 MATCH     pose=(-0.14,-0.10,0.1°)  score=0.972  d=(-0.001,0.002,0.000)  inl=196  raw=670  pts=203  di=1
k=   40 MATCH     pose=(-0.15,-0.12,0.0°)  score=0.984  d=(-0.001,-0.000,-0.001)  inl=196  raw=666  pts=202  di=0
k=   50 MATCH     pose=(-0.16,-0.13,0.1°)  score=0.976  d=(-0.002,0.001,-0.001)  inl=195  raw=658  pts=201  di=1
k=   60 MATCH     pose=(-0.17,-0.14,-0.0°)  score=0.970  d=(-0.002,-0.004,0.001)  inl=196  raw=671  pts=202  di=1
k=   70 MATCH     pose=(-0.18,-0.15,0.0°)  score=0.983  d=(0.000,0.000,0.001)  inl=200  raw=660  pts=205  di=1
k=   80 MATCH     pose=(-0.19,-0.16,0.0°)  score=0.977  d=(0.002,-0.000,0.000)  inl=197  raw=665  pts=203  di=0
k=   90 MATCH     pose=(-0.20,-0.18,0.1°)  score=0.976  d=(-0.000,-0.001,-0.000)  inl=196  raw=662  pts=201  di=1
k=  100 MATCH     pose=(-0.21,-0.19,0.0°)  score=0.984  d=(-0.001,-0.004,0.001)  inl=197  raw=663  pts=204  di=1
k=  110 MATCH     pose=(-0.22,-0.19,0.0°)  score=0.981  d=(0.001,-0.001,-0.001)  inl=196  raw=660  pts=202  di=1
k=  120 MATCH     pose=(-0.23,-0.21,-0.1°)  score=0.967  d=(-0.001,-0.005,-0.002)  inl=201  raw=669  pts=208  di=1
k=  130 MATCH     pose=(-0.08,-0.21,-1.5°)  score=0.886  d=(0.030,-0.003,-0.005)  inl=196  raw=656  pts=203  di=1
  ┌─── SUBMAP #2 CREATED at scan k=131  (pose=(-0.05,-0.21,-0.03))  active=2  finished=2
  ┌─── SUBMAP #3 CREATED at scan k=131  (pose=(-0.05,-0.21,-0.03))  active=2  finished=2
k=  140 MATCH     pose=(0.33,-0.20,-3.7°)  score=0.723  d=(0.040,-0.003,-0.003)  inl=204  raw=679  pts=206  di=1
k=  150 MATCH     pose=(0.57,-0.21,-5.5°)  score=0.666  d=(0.015,-0.006,-0.004)  inl=199  raw=633  pts=206  di=1
k=  160 MATCH     pose=(0.82,-0.20,-6.5°)  score=0.624  d=(0.063,0.008,0.004)  inl=202  raw=634  pts=207  di=1
