query,cand,coarse,refined,dx,dy,dth,accepted
75,45,0.5109,0.475,-5.663,2.119,0.2978,False
80,50,0.5397,0.5354,0.755,0.794,0.051,False
80,49,0.5397,0.5345,0.755,0.794,0.0511,False
85,55,0.6049,0.5797,0.47,0.533,-0.0166,False
85,54,0.6021,0.5741,0.472,0.535,-0.015,False
90,60,0.7487,0.6997,0.464,0.293,-0.0151,True
90,59,0.7442,0.6956,0.465,0.293,-0.015,True
95,63,0.7315,0.7123,0.115,-0.056,-0.0009,True
95,64,0.7338,0.7147,0.112,-0.057,-0.0002,True
100,70,0.8283,0.7702,0.242,-0.142,0.0229,True
100,69,0.8283,0.7702,0.242,-0.142,0.0229,True
105,61,0.7734,0.7149,0.283,-0.083,-0.0617,True
105,62,0.7692,0.7132,0.285,-0.084,-0.0614,True
110,66,0.7728,0.7738,0.27,-0.138,-0.074,True
110,65,0.7814,0.7783,0.254,-0.143,-0.0759,True
115,66,0.6469,0.6402,-0.108,-3.862,0.1993,True
115,65,0.6475,0.6459,-0.12,-3.858,0.1844,True
120,66,0.537,0.5301,-0.674,1.014,-0.4548,False
120,65,0.5374,0.5258,-0.684,1.015,-0.4492,False
125,66,0.578,0.5566,-5.214,-0.421,0.2044,False
160,130,0.512,0.4955,0.834,0.871,-0.0092,False
160,129,0.51,0.5015,3.186,1.938,0.3814,False
165,135,0.5705,0.5476,0.276,0.712,-0.0039,False
165,134,0.5683,0.5509,0.28,0.715,-0.0069,False
170,136,0.5888,0.5692,0.417,0.713,-0.0271,False
170,135,0.5888,0.5692,0.417,0.713,-0.0271,False
175,134,0.6794,0.6401,-2.505,-0.079,0.0142,True
175,135,0.6773,0.6486,-2.488,-0.071,0.0263,True
180,133,0.696,0.6399,0.788,0.687,-0.0748,True
180,132,0.6988,0.659,0.804,0.688,-0.0082,True
185,132,0.7463,0.6747,0.905,0.241,0.0377,True
185,133,0.7384,0.7146,0.907,0.232,0.1142,True
190,135,0.6511,0.6132,0.74,0.027,0.092,True
190,134,0.6395,0.6061,0.741,0.028,0.0903,True
195,141,0.5982,0.5518,0.538,0.001,0.0984,False
195,142,0.6023,0.58,0.534,0.007,0.0905,False
200,148,0.6828,0.6626,0.044,-0.195,0.088,True
200,147,0.691,0.6682,0.039,-0.199,0.0917,True
205,151,0.691,0.6501,-0.14,-0.198,0.0434,True
205,152,0.681,0.6374,-0.14,-0.196,0.0435,True
210,156,0.7193,0.6275,-0.074,-0.131,0.0287,True
210,155,0.7222,0.6318,-0.073,-0.135,0.0292,True
215,162,0.7108,0.6649,-0.02,0.343,-0.0393,True
215,161,0.6943,0.6594,-0.021,0.344,-0.0393,True
220,166,0.6625,0.6358,0.089,0.587,-0.0234,True
220,167,0.6625,0.6327,0.089,0.585,-0.0237,True
225,186,0.687,0.6379,0.194,0.767,-0.0438,True
225,187,0.6844,0.6312,0.2,0.77,-0.0414,True
230,130,0.5942,0.5754,0.305,0.841,-0.0858,False
230,131,0.5851,0.5754,0.294,0.846,-0.0821,False
235,126,0.599,0.5767,0.382,0.958,-0.1029,False
235,127,0.6007,0.5711,0.379,0.958,-0.101,False
240,122,0.6745,0.6327,0.418,1.025,-0.0534,True
240,123,0.6753,0.6323,0.416,1.028,-0.0541,True
245,116,0.662,0.6427,-0.496,0.376,0.0684,True
245,115,0.6692,0.5942,-0.2,-0.036,0.0009,False
250,111,0.8406,0.8102,-0.739,0.172,0.0633,True
250,112,0.855,0.8357,-0.741,0.166,0.0638,True
255,110,0.8431,0.7925,-0.816,0.138,0.0625,True
255,111,0.8552,0.8043,-0.819,0.142,0.0613,True
260,78,0.7918,0.669,-1.081,-0.034,0.0167,True
260,79,0.785,0.6605,-1.082,-0.026,0.0141,True
265,111,0.8712,0.805,-1.193,0.03,0.0388,True
265,110,0.8602,0.8007,-1.192,0.029,0.0391,True
270,110,0.871,0.838,-1.266,-0.01,0.0258,True
