query,cand,dbow,coarse,refined,accepted
127,81,0.052,0.9954,0.7808,True
341,244,0.0503,0.9979,0.6109,True
343,246,0.0578,1.0,0.6288,True
344,247,0.0833,1.0,0.7316,True
344,246,0.0647,1.0,0.7489,True
345,247,0.0635,1.0,0.6851,True
346,248,0.0728,0.9978,0.6605,True
346,249,0.0652,1.0,0.6408,True
347,252,0.0671,1.0,0.7843,True
347,251,0.0545,1.0,0.7521,True
348,252,0.0508,1.0,0.7084,True
349,252,0.0809,1.0,0.5931,False
350,253,0.0634,1.0,0.5854,False
428,112,0.0551,0.9594,0.5798,False
429,112,0.0632,0.9448,0.5978,False
429,114,0.0512,0.9573,0.6943,True
430,115,0.0508,0.9982,0.8988,True
431,115,0.0898,0.9964,0.8612,True
431,114,0.0665,0.9964,0.8612,True
434,117,0.0521,0.983,0.8399,True
450,133,0.1157,0.2496,0.3631,False
451,134,0.105,0.9342,0.5813,False
451,153,0.055,0.9949,0.5267,False
452,134,0.117,0.9914,0.6932,True
452,153,0.0834,0.9914,0.6915,True
453,136,0.1579,0.9983,0.5514,False
453,135,0.0887,0.9948,0.5846,False
454,137,0.0522,0.9591,0.5105,False
455,138,0.0861,0.9967,0.6843,True
456,137,0.0847,0.9968,0.6305,True
456,139,0.076,0.9968,0.6656,True
457,139,0.1637,0.9792,0.7151,True
457,137,0.0922,0.9792,0.7792,True
458,141,0.0892,0.9863,0.8366,True
458,142,0.0783,0.9863,0.8239,True
459,150,0.088,0.9923,0.8626,True
459,148,0.0756,0.9923,0.8278,True
460,141,0.0926,0.9955,0.8486,True
460,147,0.0611,0.9955,0.8469,True
461,148,0.0915,0.9925,0.8581,True
461,142,0.0828,0.9925,0.8703,True
462,142,0.1348,0.9883,0.8474,True
462,143,0.0994,0.9839,0.8507,True
463,143,0.1053,0.9941,0.7974,True
463,146,0.081,0.9868,0.881,True
464,142,0.0724,0.9985,0.8616,True
464,141,0.0583,0.9985,0.8756,True
465,149,0.0577,0.9954,0.8593,True
465,145,0.0568,0.9954,0.8626,True
466,150,0.1057,0.9828,0.8208,True
467,149,0.0706,0.9789,0.6815,True
467,147,0.059,0.9789,0.6753,True
608,40,0.0501,0.9904,0.1756,False
