query,cand,coarse,refined,dx,dy,dth,accepted
75,45,0.4488,0.4135,0.739,0.836,-0.0418,False
80,50,0.5203,0.5121,0.857,0.703,-0.0178,False
80,49,0.5203,0.5122,0.857,0.703,-0.0178,False
85,55,0.5316,0.4432,0.826,0.447,-0.0099,False
85,54,0.5521,0.4458,0.787,0.438,-0.0103,False
90,60,0.9159,0.6983,0.537,0.319,-0.0145,True
90,59,0.9159,0.6925,0.539,0.321,-0.0148,True
95,63,0.9636,0.7268,0.039,-0.045,0.0074,True
95,64,0.9636,0.7302,0.04,-0.043,0.0074,True
100,70,0.9836,0.8104,0.219,-0.095,0.0359,True
100,69,0.9836,0.8215,0.21,-0.098,0.0375,True
105,61,0.9851,0.6765,0.18,-0.102,-0.0195,True
105,62,0.9868,0.669,0.18,-0.098,-0.0196,True
110,66,0.9574,0.7606,0.209,-0.153,-0.0337,True
110,65,0.9557,0.7491,0.192,-0.165,-0.0431,True
115,66,0.5257,0.456,0.303,0.068,-0.0603,False
115,65,0.5226,0.4635,0.305,0.062,-0.0512,False
120,66,0.1559,0.4341,0.478,0.074,-0.0489,False
120,65,0.1559,0.4337,0.478,0.074,-0.049,False
125,66,0.0502,0.4731,-0.146,-0.117,0.0445,False
160,130,0.5292,0.4553,0.624,1.023,0.0617,False
160,129,0.393,0.4931,0.654,0.863,0.0226,False
165,135,0.5235,0.4888,0.467,0.812,0.0375,False
165,134,0.5255,0.4965,0.468,0.815,0.0376,False
170,136,0.4375,0.3944,0.097,0.596,-0.0774,False
170,135,0.4375,0.3948,0.096,0.596,-0.0777,False
175,134,0.4608,0.3759,0.882,0.868,0.1364,False
175,135,0.4014,0.3767,0.869,0.901,0.1596,False
180,133,0.7673,0.4013,0.807,0.571,0.1728,False
180,132,0.8757,0.4285,0.875,0.63,0.1485,False
185,132,0.7193,0.3647,0.564,0.433,-0.0183,False
185,133,0.7039,0.3732,0.555,0.421,-0.0205,False
190,134,0.8399,0.2769,0.393,0.138,-0.0204,False
190,133,0.8083,0.3029,0.407,0.109,0.0024,False
195,140,0.8478,0.2381,0.334,-0.024,-0.0097,False
195,139,0.8478,0.236,0.333,-0.024,-0.0098,False
200,147,0.9344,0.5792,0.222,-0.022,-0.0292,False
200,146,0.9363,0.5674,0.256,0.014,-0.0313,False
205,150,0.9979,0.6594,0.128,-0.122,-0.0309,True
205,151,0.9979,0.6285,0.109,-0.121,-0.024,True
210,156,0.9959,0.6565,0.173,-0.117,-0.028,False
210,155,0.9959,0.6616,0.171,-0.111,-0.0277,False
215,162,0.998,0.4966,0.116,0.115,0.0125,False
215,161,0.996,0.5053,0.121,0.104,0.015,False
220,166,0.9075,0.2805,-0.086,0.107,-0.0277,False
220,167,0.9075,0.2803,-0.086,0.107,-0.0277,False
225,187,0.8851,0.3166,-0.04,0.209,6.2582,False
225,188,0.8871,0.3165,-0.041,0.214,6.2589,False
230,128,0.9426,0.3809,-0.148,0.265,-0.0091,False
230,129,0.9406,0.3728,-0.149,0.269,-0.0103,False
235,125,0.7759,0.353,-0.143,0.212,-0.0397,False
235,124,0.7793,0.3672,-0.158,0.236,-0.029,False
240,117,0.6287,0.3549,-0.223,0.483,-0.0235,False
240,116,0.6356,0.4027,-0.164,0.589,-0.0452,False
245,113,0.9886,0.3004,0.742,0.817,0.0243,False
245,112,0.9886,0.2969,0.747,0.833,0.0401,False
250,81,0.9962,0.5092,0.213,0.727,0.0879,False
250,82,0.9962,0.5084,0.213,0.735,0.0895,False
255,79,1.0,0.7276,0.103,0.683,0.0461,True
255,77,1.0,0.7257,0.102,0.683,0.0459,True
260,78,1.0,0.7576,-0.185,0.595,0.0591,True
260,79,1.0,0.7671,-0.187,0.596,0.0597,True
265,80,0.9868,0.6003,-0.278,0.548,0.0418,True
265,77,0.9868,0.6138,-0.285,0.56,0.0407,True
270,76,0.9871,0.4894,-0.332,0.516,0.0246,False
270,81,0.9871,0.4873,-0.331,0.514,0.0247,False
275,94,0.9968,0.8281,-0.195,0.033,0.0493,True
275,93,0.9968,0.831,-0.195,0.036,0.0495,True
280,95,0.9984,0.8562,-0.082,-0.066,0.0721,True
280,99,0.9984,0.7721,-0.083,-0.066,0.0721,True
285,108,0.9913,0.7378,0.01,-0.075,0.0031,True
285,67,0.9913,0.737,0.004,-0.067,0.0032,True
290,61,0.9965,0.6885,-0.02,0.003,-0.0086,True
290,89,0.9965,0.6968,-0.019,-0.001,-0.0092,True
295,59,0.9569,0.4329,-0.304,0.17,0.0067,False
295,60,0.9569,0.4352,-0.306,0.17,0.0065,False
300,57,0.7241,0.4209,-0.521,0.21,0.0063,False
300,58,0.7222,0.4238,-0.532,0.211,0.0082,False
305,55,0.8119,0.416,-0.521,0.057,-0.0049,False
305,56,0.8153,0.4159,-0.543,0.065,-0.006,False
310,53,0.6957,0.4631,-0.8,0.127,-0.0624,False
310,54,0.7297,0.4689,-0.778,0.132,-0.0644,False
315,51,0.7883,0.5929,-0.39,0.045,0.001,False
315,52,0.7817,0.5942,-0.435,0.049,-0.0119,False
320,49,0.9158,0.6842,-0.257,0.0,0.0064,True
320,50,0.9122,0.6635,-0.256,-0.005,0.006,True
325,47,0.9545,0.6813,-0.179,0.012,0.0234,True
325,48,0.9526,0.6925,-0.177,0.009,0.0224,True
330,51,0.9801,0.6238,-0.415,-0.091,0.0238,True
330,50,0.9801,0.6404,-0.411,-0.095,0.0236,True
335,52,0.9517,0.4908,-0.031,-0.013,-0.0098,False
335,53,0.9517,0.4817,-0.031,-0.013,-0.0095,False
340,56,0.955,0.5236,-0.269,-0.183,0.0205,False
340,57,0.9622,0.5174,-0.271,-0.198,0.0216,False
345,53,0.9359,0.4667,-0.27,-0.188,-0.0376,False
345,52,0.9359,0.4627,-0.273,-0.183,-0.041,False
350,45,0.9379,0.5651,-0.43,-0.079,-0.0588,False
350,46,0.9428,0.5571,-0.441,-0.072,-0.0541,False
355,43,0.7662,0.3946,-0.077,0.202,0.032,False
355,44,0.8358,0.4801,-0.236,0.299,0.0257,False
360,41,0.5171,0.3782,0.013,0.28,-0.0315,False
360,42,0.5171,0.3698,0.013,0.282,-0.0318,False
365,10,0.3388,0.4761,0.819,0.855,-0.1174,False
365,6,0.3388,0.4761,0.819,0.855,-0.1174,False
370,10,0.9048,0.4681,0.562,1.036,-0.1127,False
370,6,0.9048,0.4681,0.562,1.036,-0.1127,False
375,10,0.9799,0.4105,0.628,1.273,-0.1167,False
375,6,0.9799,0.411,0.628,1.273,-0.1167,False
380,10,0.921,0.6844,0.901,1.466,-0.1219,True
380,6,0.921,0.6812,0.901,1.466,-0.1219,True
