query,cand,coarse,refined,dx,dy,dth,accepted
70,40,2,0.0,,,,False
70,39,1,0.0,,,,False
75,45,4,0.0,,,,False
75,44,6,0.0,,,,False
80,50,59,0.608,,,,True
80,49,42,0.56,,,,True
85,55,2,0.0,,,,False
85,54,2,0.0,,,,False
90,60,1,0.0,,,,False
90,55,1,0.0,,,,False
95,54,0,0.0,,,,False
95,65,0,0.0,,,,False
100,57,92,0.702,,,,True
100,58,113,0.801,,,,True
105,57,11,0.0,,,,False
105,58,13,0.0,,,,False
110,57,2,0.0,,,,False
110,58,5,0.0,,,,False
115,57,5,0.0,,,,False
115,58,3,0.0,,,,False
155,125,0,0.0,,,,False
155,124,1,0.0,,,,False
160,129,2,0.0,,,,False
160,128,2,0.0,,,,False
165,127,7,0.0,,,,False
165,128,1,0.0,,,,False
170,125,4,0.0,,,,False
170,126,5,0.0,,,,False
175,125,2,0.0,,,,False
175,126,7,0.0,,,,False
180,129,102,0.791,,,,True
180,130,30,0.526,,,,True
185,136,13,0.0,,,,False
185,135,10,0.0,,,,False
190,140,82,0.726,,,,True
190,141,34,0.654,,,,True
195,143,11,0.0,,,,False
195,144,233,0.844,,,,True
200,150,101,0.664,,,,True
200,151,56,0.651,,,,True
205,154,7,0.0,,,,False
205,155,12,0.0,,,,False
210,180,7,0.0,,,,False
210,179,5,0.0,,,,False
215,124,3,0.0,,,,False
215,125,3,0.0,,,,False
220,119,2,0.0,,,,False
220,120,3,0.0,,,,False
225,114,2,0.0,,,,False
225,113,2,0.0,,,,False
230,109,1,0.0,,,,False
230,108,2,0.0,,,,False
235,104,2,0.0,,,,False
235,103,5,0.0,,,,False
240,99,3,0.0,,,,False
240,58,0,0.0,,,,False
245,73,15,0.833,,,,True
245,66,24,0.667,,,,True
250,71,187,0.81,,,,True
250,69,292,0.893,,,,True
255,75,107,0.733,,,,True
255,76,142,0.755,,,,True
260,96,12,0.0,,,,False
260,54,72,0.847,,,,True
265,89,23,0.821,,,,True
265,86,17,0.81,,,,True
270,91,3,0.0,,,,False
270,92,1,0.0,,,,False
275,241,76,0.792,,,,True
275,59,1,0.0,,,,False
280,79,4,0.0,,,,False
280,52,2,0.0,,,,False
285,79,1,0.0,,,,False
285,80,6,0.0,,,,False
290,79,4,0.0,,,,False
290,258,8,0.0,,,,False
295,79,1,0.0,,,,False
295,258,2,0.0,,,,False
300,79,1,0.0,,,,False
300,258,10,0.0,,,,False
305,258,5,0.0,,,,False
305,259,5,0.0,,,,False
310,280,2,0.0,,,,False
310,279,2,0.0,,,,False
315,285,0,0.0,,,,False
315,284,0,0.0,,,,False
320,290,0,0.0,,,,False
320,289,4,0.0,,,,False
325,287,3,0.0,,,,False
325,288,4,0.0,,,,False
330,286,3,0.0,,,,False
330,287,4,0.0,,,,False
335,290,7,0.0,,,,False
335,291,4,0.0,,,,False
340,310,2,0.0,,,,False
340,291,5,0.0,,,,False
345,315,10,0.0,,,,False
345,314,12,0.0,,,,False
350,9,62,0.886,,,,True
350,315,14,0.0,,,,False
355,9,95,0.819,,,,True
360,9,185,0.761,,,,True
365,9,139,0.808,,,,True
