query,cand,coarse,refined,dx,dy,dth,accepted
75,45,0.451,0.4478,2.433,-0.886,0.0651,False
80,50,0.4809,0.4684,3.602,1.617,-0.0416,False
80,49,0.4809,0.4684,3.602,1.617,-0.0416,False
85,55,0.459,0.4487,-5.869,1.795,-0.1658,False
85,54,0.4531,0.4462,-5.895,1.707,-0.1272,False
90,60,0.4521,0.4412,0.529,0.574,0.0052,False
90,59,0.4476,0.4495,3.325,0.997,-0.3312,False
95,62,0.5211,0.5061,2.702,-2.602,-0.2157,False
95,61,0.5206,0.5169,2.678,-2.597,-0.1841,False
100,60,0.5087,0.5013,4.042,-2.502,-0.2819,False
100,61,0.509,0.5027,3.231,-2.693,0.0699,False
105,59,0.5197,0.5075,4.059,-2.87,0.3455,False
105,60,0.5202,0.5198,4.09,-2.919,0.3209,False
110,68,0.5029,0.4998,3.6,-2.944,-0.4269,False
110,67,0.5029,0.4977,3.577,-2.875,-0.3535,False
115,66,0.5182,0.5129,0.545,-3.561,0.2756,False
115,65,0.5182,0.5135,0.579,-3.554,0.2765,False
120,66,0.5112,0.5128,0.109,-3.197,-0.2494,False
120,65,0.5112,0.5128,0.109,-3.197,-0.2494,False
125,66,0.5108,0.5058,-0.706,-3.215,-0.2471,False
125,65,0.5097,0.5032,-0.696,-3.067,-0.1922,False
160,130,0.4768,0.4654,3.904,2.602,0.4542,False
160,129,0.4724,0.4682,4.001,2.625,0.4529,False
165,135,0.4544,0.4491,0.25,0.735,-0.0258,False
165,134,0.4489,0.4394,0.255,0.737,-0.0246,False
170,136,0.5037,0.4969,4.724,3.39,0.4945,False
170,135,0.5037,0.4969,4.724,3.39,0.4945,False
175,134,0.5481,0.5259,-2.836,-0.481,-0.0563,False
175,135,0.5471,0.5215,-2.813,-0.483,-0.056,False
180,133,0.5082,0.5024,-5.614,-0.689,-0.0931,False
180,132,0.509,0.4932,-5.153,-0.731,-0.0381,False
185,132,0.5078,0.4943,-5.005,2.856,-0.0669,False
185,133,0.5097,0.5019,-4.992,2.917,-0.0134,False
190,134,0.495,0.4964,-6.153,2.402,0.5947,False
190,133,0.487,0.4833,-6.177,2.347,0.6372,False
195,140,0.4799,0.4699,-5.963,2.773,0.357,False
195,139,0.4799,0.4699,-5.963,2.773,0.357,False
200,147,0.4888,0.4771,-5.855,1.132,-0.4173,False
200,146,0.4922,0.4892,-5.988,1.698,-0.445,False
205,150,0.4499,0.4478,2.294,-0.524,0.1075,False
205,151,0.4502,0.44,2.278,-0.555,0.114,False
210,156,0.4895,0.4967,3.008,-1.012,0.0455,False
210,155,0.4783,0.4721,2.929,-0.184,0.1213,False
215,162,0.4347,0.4373,-5.7,2.491,0.5977,False
215,161,0.4368,0.447,-5.683,2.526,0.6203,False
220,166,0.4512,0.4398,-6.077,3.216,0.508,False
220,167,0.4512,0.4398,-6.077,3.216,0.508,False
225,187,0.4827,0.4777,-5.293,3.534,6.1315,False
225,188,0.4827,0.4724,-5.289,3.517,6.1275,False
230,128,0.5054,0.486,-5.895,0.065,5.8989,False
230,127,0.4672,0.4695,-5.171,0.662,5.739,False
235,125,0.4907,0.4783,-4.707,2.058,-0.4086,False
235,124,0.5018,0.4939,-5.116,2.575,-0.5261,False
240,117,0.4422,0.4357,-1.541,3.561,-0.5556,False
240,116,0.4427,0.4524,-1.503,3.551,-0.5788,False
245,66,0.472,0.4665,3.127,-1.915,6.0214,False
245,112,0.4698,0.4583,3.15,-1.936,6.0546,False
250,81,0.4454,0.431,2.876,-1.815,-0.1608,False
250,76,0.4463,0.4318,2.874,-1.838,-0.1801,False
255,79,0.4696,0.4696,-6.102,3.605,-0.1625,False
255,78,0.4696,0.4696,-6.102,3.605,-0.1625,False
260,78,0.5047,0.4906,4.678,-1.823,-0.2528,False
260,79,0.5047,0.4906,4.678,-1.823,-0.2528,False
265,79,0.4261,0.4327,3.084,-1.898,-0.2409,False
265,77,0.4261,0.4306,3.126,-1.925,-0.2365,False
270,80,0.3754,0.3663,0.437,3.468,-0.1462,False
270,81,0.3781,0.3677,0.441,3.455,-0.149,False
275,73,0.4728,0.4635,5.708,2.661,0.5538,False
275,62,0.4751,0.4729,5.7,2.687,0.5596,False
280,61,0.4439,0.4336,4.745,3.138,-0.2976,False
280,108,0.4412,0.4312,-2.143,2.307,-0.3894,False
285,74,0.4407,0.4462,6.106,-2.994,-0.2428,False
285,75,0.4366,0.4367,6.092,-3.026,-0.2449,False
290,253,0.4623,0.4653,6.081,-2.585,6.0241,False
290,252,0.4535,0.4471,6.038,-2.592,6.0405,False
295,254,0.4155,0.4155,-4.286,3.029,0.3721,False
295,88,0.4155,0.4155,-4.286,3.029,0.3721,False
300,269,0.3707,0.3745,6.129,-2.16,-0.0372,False
300,268,0.3658,0.3607,5.936,-2.044,0.0052,False
305,256,0.4751,0.483,-6.128,3.793,-0.0089,False
305,257,0.4751,0.483,-6.128,3.793,-0.0089,False
310,257,0.4896,0.4882,-5.302,3.952,0.1079,False
310,258,0.4896,0.4882,-5.302,3.952,0.1079,False
315,257,0.4931,0.4889,-5.43,3.715,-0.1634,False
315,256,0.4931,0.4889,-5.43,3.715,-0.1634,False
320,269,0.5019,0.4962,-5.48,3.548,-0.0487,False
320,256,0.5019,0.4962,-5.48,3.548,-0.0487,False
325,295,0.4713,0.4453,-2.518,2.912,0.2258,False
325,294,0.471,0.4737,-3.87,3.267,0.4663,False
330,299,0.4671,0.4443,5.875,2.555,-0.2496,False
330,300,0.4743,0.4651,5.702,2.548,-0.2709,False
335,298,0.4824,0.4718,5.545,-2.92,-0.4071,False
335,297,0.4793,0.4478,-6.038,2.718,-0.0542,False
340,293,0.4579,0.4431,-5.93,3.376,-0.2054,False
340,292,0.4579,0.4533,-6.171,3.217,-0.1022,False
345,297,0.4738,0.4721,-5.886,2.982,-0.0309,False
345,298,0.4741,0.4724,-5.844,3.092,-0.0591,False
350,300,0.4995,0.4912,6.02,2.246,0.0016,False
350,301,0.5026,0.5003,5.92,2.193,0.011,False
355,325,0.4973,0.5013,1.999,-4.78,0.3513,False
355,324,0.4989,0.5085,1.986,-4.766,0.3546,False
360,326,0.5474,0.5364,4.905,2.327,-0.054,False
360,325,0.5474,0.5364,4.905,2.327,-0.054,False
365,10,0.503,0.502,-0.224,0.148,-0.4028,False
365,6,0.503,0.502,-0.224,0.148,-0.4028,False
370,10,0.51,0.4966,-0.671,0.689,-0.2693,False
370,6,0.51,0.4966,-0.671,0.689,-0.2693,False
375,10,0.4858,0.4888,1.822,0.571,-0.3715,False
375,6,0.4858,0.4888,1.822,0.571,-0.3715,False
380,10,0.4907,0.4943,-0.045,0.358,-0.6864,False
380,6,0.4907,0.4943,-0.045,0.358,-0.6864,False
