query,cand,coarse,refined,dx,dy,dth,accepted
55,25,4,0.0,,,,False
60,29,6,0.0,,,,False
60,30,2,0.0,,,,False
65,32,0,0.0,,,,False
65,31,0,0.0,,,,False
75,29,4,0.0,,,,False
75,31,5,0.0,,,,False
80,28,4,0.0,,,,False
80,27,7,0.0,,,,False
85,27,0,0.0,,,,False
85,28,2,0.0,,,,False
90,30,7,0.0,,,,False
90,31,76,0.661,,,,True
95,46,5,0.0,,,,False
95,45,1,0.0,,,,False
100,47,35,0.778,,,,True
100,48,8,0.0,,,,False
105,52,8,0.0,,,,False
105,51,2,0.0,,,,False
110,55,46,0.697,,,,True
110,54,59,0.686,,,,True
115,59,50,0.667,,,,True
115,58,30,0.75,,,,True
120,63,4,0.0,,,,False
120,64,1,0.0,,,,False
125,85,5,0.0,,,,False
125,86,2,0.0,,,,False
130,84,4,0.0,,,,False
130,83,3,0.0,,,,False
135,22,4,0.0,,,,False
135,21,10,0.0,,,,False
140,19,0,0.0,,,,False
140,18,0,0.0,,,,False
145,15,1,0.0,,,,False
145,14,0,0.0,,,,False
150,17,5,0.0,,,,False
150,16,0,0.0,,,,False
155,8,379,0.924,,,,True
155,9,137,0.77,,,,True
