query,cand,coarse,refined,accepted
33,0,0.5804,0.5489,False
34,0,0.5694,0.5461,False
38,0,0.5667,0.5352,False
39,0,0.5184,0.4995,False
41,0,0.5223,0.4942,False
42,10,0.5217,0.4872,False
42,0,0.5217,0.4872,False
47,0,0.523,0.4958,False
49,0,0.5227,0.5086,False
49,10,0.5227,0.5086,False
52,0,0.5206,0.4975,False
55,0,0.5227,0.5106,False
63,0,0.517,0.5002,False
80,0,0.5287,0.5182,False
104,0,0.5624,0.5448,False
108,0,0.5307,0.522,False
133,0,0.5314,0.5248,False
228,0,0.5311,0.4959,False
302,200,0.5414,0.4991,False
304,200,0.5423,0.5223,False
312,280,0.5339,0.5169,False
316,0,0.5449,0.514,False
318,230,0.5209,0.5153,False
319,230,0.5645,0.5429,False
319,0,0.5305,0.5076,False
321,270,0.5274,0.5241,False
328,230,0.5468,0.5313,False
333,230,0.5433,0.5325,False
381,344,0.5373,0.5168,False
382,338,0.5661,0.5275,False
383,338,0.5193,0.5228,False
383,337,0.5193,0.5241,False
384,340,0.5544,0.5506,False
384,290,0.5177,0.4978,False
385,300,0.5257,0.5112,False
385,344,0.5612,0.5529,False
386,290,0.5137,0.505,False
386,280,0.5228,0.4597,False
386,337,0.5526,0.5411,False
387,300,0.5265,0.5119,False
387,310,0.519,0.5108,False
388,300,0.5186,0.5104,False
389,290,0.5131,0.5097,False
390,280,0.5095,0.4936,False
391,270,0.5134,0.5004,False
392,270,0.5249,0.5131,False
393,0,0.5052,0.4924,False
394,200,0.664,0.6172,True
395,200,0.5538,0.5136,False
