query,cand,dbow,coarse,refined,accepted
146,91,0.0672,0.5924,0.5822,False
147,91,0.05,0.5965,0.5824,False
150,99,0.0615,0.5871,0.5824,False
189,97,0.0545,0.5668,0.5494,False
379,277,0.0516,0.5753,0.5626,False
381,279,0.052,0.5509,0.556,False
382,280,0.0534,0.599,0.595,False
383,284,0.0754,0.5773,0.5563,False
384,283,0.0721,0.5819,0.5654,False
384,282,0.0511,0.5876,0.5684,False
385,284,0.0636,0.5872,0.5758,False
385,282,0.0599,0.5924,0.5928,False
386,284,0.0836,0.5719,0.5706,False
386,285,0.0503,0.5723,0.5686,False
387,285,0.081,0.5571,0.5544,False
388,287,0.0792,0.5694,0.5531,False
468,125,0.0583,0.5417,0.525,False
469,127,0.0562,0.5953,0.5077,False
469,132,0.0562,0.593,0.5181,False
471,130,0.0721,0.5505,0.524,False
471,129,0.0507,0.5524,0.5256,False
488,153,0.0861,0.5267,0.523,False
488,154,0.0721,0.5263,0.5127,False
489,154,0.108,0.5406,0.5345,False
490,155,0.1199,0.5429,0.5379,False
490,174,0.055,0.5456,0.5338,False
491,155,0.1067,0.5311,0.5165,False
491,174,0.0834,0.5311,0.5165,False
492,156,0.0728,0.5885,0.5319,False
493,157,0.0823,0.5756,0.5598,False
494,157,0.1077,0.6073,0.5278,False
494,159,0.0702,0.6074,0.5751,False
495,160,0.1002,0.5887,0.5632,False
495,158,0.0866,0.5886,0.5632,False
496,160,0.1767,0.5893,0.5815,False
496,158,0.0954,0.5893,0.5815,False
497,162,0.0892,0.5915,0.5852,False
497,163,0.0783,0.5915,0.5852,False
498,171,0.088,0.6301,0.5988,False
498,169,0.0756,0.6301,0.5988,False
499,162,0.0926,0.6346,0.6112,True
499,168,0.0611,0.6346,0.6112,True
500,169,0.0915,0.642,0.6092,True
500,163,0.0828,0.642,0.6093,True
501,163,0.1348,0.6373,0.6079,True
501,164,0.0994,0.6373,0.6079,True
502,164,0.1053,0.6351,0.6093,True
502,167,0.081,0.6351,0.6093,True
503,163,0.0724,0.6436,0.6063,True
503,162,0.0583,0.6436,0.6063,True
504,170,0.0577,0.6328,0.61,True
504,166,0.0568,0.6328,0.5938,False
505,171,0.1057,0.628,0.588,False
506,170,0.0706,0.621,0.5869,False
506,168,0.059,0.621,0.5868,False
703,41,0.0695,0.5706,0.5473,False
703,42,0.0686,0.5722,0.5104,False
704,42,0.0625,0.5741,0.5598,False
