query,cand,dbow,coarse,refined,accepted
127,81,0.052,18,0.9,True
341,244,0.0503,58,0.734,True
343,246,0.0578,54,0.844,True
344,247,0.0833,36,0.706,True
344,246,0.0647,32,0.696,True
345,247,0.0635,28,0.583,True
346,248,0.0728,45,0.763,True
346,249,0.0652,66,0.93,True
347,252,0.0671,17,0.531,True
347,251,0.0545,23,0.622,True
348,252,0.0508,19,0.613,True
349,252,0.0809,44,0.863,True
350,253,0.0634,66,0.88,True
428,112,0.0551,67,0.918,True
429,112,0.0632,56,0.862,True
429,114,0.0512,74,0.937,True
430,115,0.0508,56,0.875,True
431,115,0.0898,95,0.905,True
431,114,0.0665,67,0.931,True
434,117,0.0521,46,0.852,True
450,133,0.1157,16,0.889,True
451,134,0.105,28,0.778,True
451,153,0.055,12,0.0,False
452,134,0.117,25,0.806,True
452,153,0.0834,14,0.0,False
453,136,0.1579,23,0.92,True
453,135,0.0887,19,0.679,True
454,137,0.0522,26,0.839,True
455,138,0.0861,35,0.778,True
456,137,0.0847,32,0.78,True
456,139,0.076,20,0.625,True
457,139,0.1637,36,0.947,True
457,137,0.0922,15,0.682,True
458,141,0.0892,12,0.0,False
458,142,0.0783,7,0.0,False
459,150,0.088,12,0.0,False
459,148,0.0756,14,0.0,False
460,141,0.0926,10,0.0,False
460,147,0.0611,12,0.0,False
461,148,0.0915,14,0.0,False
461,142,0.0828,9,0.0,False
462,142,0.1348,16,0.941,True
462,143,0.0994,13,0.0,False
463,143,0.1053,19,0.905,True
463,146,0.081,17,0.85,True
464,142,0.0724,25,0.926,True
464,141,0.0583,15,0.75,True
465,149,0.0577,12,0.0,False
465,145,0.0568,10,0.0,False
466,150,0.1057,16,0.842,True
467,149,0.0706,14,0.0,False
467,147,0.059,5,0.0,False
608,40,0.0501,20,0.69,True
