kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
0,1781020195.41097,0.0,0.0,0.0,lidar,native_s2s,bnb,proximity,-1.0
1,1781020197.477869,-0.0909,-0.0753,0.00501,lidar,native_s2s,bnb,proximity,0.9726
2,1781020199.542723,-0.1245,-0.1088,0.00556,lidar,native_s2s,bnb,proximity,0.9837
3,1781020201.632478,-0.1404,-0.1259,0.00703,lidar,native_s2s,bnb,proximity,0.9701
4,1781020203.73224,-0.1703,-0.1556,0.00622,lidar,native_s2s,bnb,proximity,0.9671
5,1781020205.837855,-0.1895,-0.1743,0.00758,lidar,native_s2s,bnb,proximity,0.9667
6,1781020207.932102,-0.2208,-0.2089,0.00686,lidar,native_s2s,bnb,proximity,0.9764
7,1781020210.024702,-0.2606,-0.2456,0.00813,lidar,native_s2s,bnb,proximity,0.915
8,1781020212.12489,-0.2912,-0.2755,0.00831,lidar,native_s2s,bnb,proximity,0.9628
9,1781020214.217849,-0.3176,-0.3093,0.00791,lidar,native_s2s,bnb,proximity,0.96
10,1781020216.312679,-0.2748,-0.3303,-0.00871,lidar,native_s2s,bnb,proximity,0.9254
11,1781020218.402375,-0.0223,-0.4019,-0.10272,lidar,native_s2s,bnb,proximity,0.8239
12,1781020220.183922,0.2278,-0.4716,-0.18726,lidar,native_s2s,bnb,proximity,0.8709
13,1781020221.55373,0.4779,-0.5336,-0.17616,lidar,native_s2s,bnb,proximity,0.8686
14,1781020222.599145,0.7397,-0.5461,-0.17833,lidar,native_s2s,bnb,proximity,0.8204
15,1781020223.75165,1.0086,-0.5754,-0.18481,lidar,native_s2s,bnb,proximity,0.7969
16,1781020224.792859,1.2627,-0.612,-0.19538,lidar,native_s2s,bnb,proximity,0.7324
17,1781020225.840605,1.531,-0.6474,-0.21815,lidar,native_s2s,bnb,proximity,0.6692
18,1781020226.877924,1.7989,-0.6855,-0.24618,lidar,native_s2s,bnb,proximity,0.6229
19,1781020227.909042,2.039,-0.6846,-0.02846,lidar,native_s2s,bnb,proximity,0.5639
20,1781020229.157966,2.3128,-0.6514,0.02155,lidar,native_s2s,bnb,proximity,0.5372
21,1781020230.410324,2.7558,-0.3654,0.07657,lidar,native_s2s,bnb,proximity,0.5181
22,1781020230.619725,2.6757,-0.65,-0.09231,lidar,native_s2s,bnb,proximity,0.5104
23,1781020230.723973,2.9244,-0.2267,0.04293,lidar,native_s2s,bnb,proximity,0.5177
24,1781020231.35272,2.7933,-0.6693,-0.23827,lidar,native_s2s,bnb,proximity,0.5187
25,1781020231.563837,3.1689,-0.2213,-0.04494,lidar,native_s2s,bnb,proximity,0.5188
26,1781020232.70662,3.0162,-0.9454,0.35286,lidar,native_s2s,bnb,proximity,0.516
27,1781020232.810779,2.7552,-0.8352,0.33074,lidar,native_s2s,bnb,proximity,0.5001
28,1781020232.915179,3.472,-0.3225,0.01781,lidar,native_s2s,bnb,proximity,0.5564
29,1781020233.01886,3.0927,-0.8888,0.34747,lidar,native_s2s,bnb,proximity,0.5005
30,1781020233.12271,3.4447,-0.3291,0.04255,lidar,native_s2s,bnb,proximity,0.5551
31,1781020233.435724,3.1952,-0.8375,0.39041,lidar,native_s2s,bnb,proximity,0.5099
32,1781020233.644105,3.6372,-0.2887,0.08954,lidar,native_s2s,bnb,proximity,0.5564
33,1781020233.852575,2.8321,-0.8057,0.38125,lidar,native_s2s,bnb,proximity,0.503
34,1781020234.060797,3.6915,-0.2897,0.09056,lidar,native_s2s,bnb,proximity,0.556
35,1781020234.269187,2.9239,-0.7699,0.36083,lidar,native_s2s,bnb,proximity,0.5115
36,1781020234.580415,3.8782,-0.2699,0.0764,lidar,native_s2s,bnb,proximity,0.7712
37,1781020235.939807,4.1311,-0.2535,0.03932,lidar,native_s2s,bnb,proximity,0.8241
38,1781020236.98239,4.3817,-0.2409,0.04269,lidar,native_s2s,bnb,proximity,0.8435
39,1781020238.239324,4.6396,-0.2291,0.04829,lidar,native_s2s,bnb,proximity,0.8662
40,1781020239.383036,4.8461,-0.2468,-0.17858,lidar,native_s2s,bnb,proximity,0.8237
41,1781020240.108219,4.9754,-0.2981,-0.41024,lidar,native_s2s,bnb,proximity,0.8867
42,1781020241.554247,5.1694,-0.461,-0.61031,lidar,native_s2s,bnb,proximity,0.885
43,1781020243.01216,5.3547,-0.6627,-0.81099,lidar,native_s2s,bnb,proximity,0.8536
44,1781020244.257272,5.5091,-0.8645,-0.81862,lidar,native_s2s,bnb,proximity,0.9117
45,1781020245.40036,5.6701,-0.9879,-0.59256,lidar,native_s2s,bnb,proximity,0.8515
46,1781020246.027545,5.788,-1.0352,-0.37704,lidar,native_s2s,bnb,proximity,0.8594
47,1781020246.658924,5.9474,-1.0382,-0.14316,lidar,native_s2s,bnb,proximity,0.8731
48,1781020247.704913,6.1976,-1.0424,0.06805,lidar,native_s2s,bnb,proximity,0.8593
49,1781020248.753316,6.4531,-0.9509,0.29283,lidar,native_s2s,bnb,proximity,0.7862
50,1781020249.370024,6.573,-0.8861,0.52727,lidar,native_s2s,bnb,proximity,0.834
51,1781020250.719754,6.7802,-0.7234,0.60802,lidar,native_s2s,bnb,proximity,0.8511
52,1781020251.859959,6.9938,-0.5726,0.58847,lidar,native_s2s,bnb,proximity,0.8677
53,1781020252.999161,7.2263,-0.4199,0.4363,lidar,native_s2s,bnb,proximity,0.8746
54,1781020254.028619,7.4756,-0.3479,0.29841,lidar,native_s2s,bnb,proximity,0.8977
55,1781020255.182649,7.7395,-0.3023,0.19464,lidar,native_s2s,bnb,proximity,0.9187
56,1781020256.223881,7.9891,-0.2679,0.10215,lidar,native_s2s,bnb,proximity,0.8988
57,1781020257.367937,8.2503,-0.2571,0.11891,lidar,native_s2s,bnb,proximity,0.9074
58,1781020258.407693,8.511,-0.2425,0.09718,lidar,native_s2s,bnb,proximity,0.8931
59,1781020259.456129,8.7756,-0.2228,0.0847,lidar,native_s2s,bnb,proximity,0.8775
60,1781020260.4991,9.0273,-0.186,0.16283,lidar,native_s2s,bnb,proximity,0.9075
61,1781020261.538247,9.2863,-0.1278,0.1553,lidar,native_s2s,bnb,proximity,0.9213
62,1781020262.161972,9.4281,-0.0696,0.3656,lidar,native_s2s,bnb,proximity,0.8857
63,1781020263.416894,9.6069,-0.0205,0.15611,lidar,native_s2s,bnb,proximity,0.894
64,1781020265.505531,9.8525,-0.0349,-0.00115,lidar,native_s2s,bnb,proximity,0.9224
65,1781020267.068168,10.1015,-0.0637,-0.10482,lidar,native_s2s,bnb,proximity,0.9004
66,1781020269.152232,10.2596,-0.0938,-0.11739,lidar,native_s2s,bnb,proximity,0.915
67,1781020270.413959,10.0077,-0.0821,-0.33865,lidar,native_s2s,bnb,proximity,0.8905
68,1781020270.931659,9.8765,-0.0503,-0.58246,lidar,native_s2s,bnb,proximity,0.8791
69,1781020271.667275,9.6799,0.0264,-0.79349,lidar,native_s2s,bnb,proximity,0.8541
70,1781020272.084588,9.5785,0.0862,-1.00953,lidar,native_s2s,bnb,proximity,0.8424
71,1781020272.605026,9.4879,0.1943,-1.25541,lidar,native_s2s,bnb,proximity,0.8177
72,1781020274.684557,9.4545,0.0127,-1.41907,lidar,native_s2s,bnb,proximity,0.8844
73,1781020275.833861,9.5083,-0.2551,-1.43066,lidar,native_s2s,bnb,proximity,0.8583
74,1781020276.868482,9.5342,-0.5218,-1.46393,lidar,native_s2s,bnb,proximity,0.8592
75,1781020277.910044,9.5455,-0.7914,-1.57032,lidar,native_s2s,bnb,proximity,0.9062
76,1781020278.96064,9.5556,-1.0485,-1.53239,lidar,native_s2s,bnb,proximity,0.891
77,1781020280.317555,9.5621,-1.3086,-1.4656,lidar,native_s2s,bnb,proximity,0.9049
78,1781020281.877645,9.5898,-1.5688,-1.49192,lidar,native_s2s,bnb,proximity,0.832
79,1781020283.964061,9.5426,-1.4233,-1.49738,lidar,native_s2s,bnb,proximity,0.9177
80,1781020284.899053,9.5286,-1.1532,-1.52249,lidar,native_s2s,bnb,proximity,0.8885
81,1781020285.837184,9.4764,-0.9153,-1.30866,lidar,native_s2s,bnb,proximity,0.897
82,1781020286.460884,9.4356,-0.7755,-1.09305,lidar,native_s2s,bnb,proximity,0.8122
83,1781020286.877033,9.3751,-0.6419,-0.87537,lidar,native_s2s,bnb,proximity,0.8498
84,1781020287.397015,9.2801,-0.5403,-0.62431,lidar,native_s2s,bnb,proximity,0.8651
85,1781020287.921645,9.1844,-0.4701,-0.3677,lidar,native_s2s,bnb,proximity,0.873
86,1781020288.337477,9.0956,-0.4191,-0.15644,lidar,native_s2s,bnb,proximity,0.8885
87,1781020288.851851,8.9683,-0.3927,0.0958,lidar,native_s2s,bnb,proximity,0.8886
88,1781020289.888251,8.7146,-0.4377,0.0437,lidar,native_s2s,bnb,proximity,0.9125
89,1781020291.236595,8.8343,-0.3953,0.25322,lidar,native_s2s,bnb,proximity,0.9192
90,1781020292.066423,8.9399,-0.2984,0.47436,lidar,native_s2s,bnb,proximity,0.916
91,1781020292.793964,9.4383,0.0564,0.67983,lidar,native_s2s,bnb,proximity,0.9432
92,1781020294.040677,9.5274,0.2297,0.91239,lidar,native_s2s,bnb,proximity,0.8854
93,1781020295.179973,9.5896,0.4517,1.12547,lidar,native_s2s,bnb,proximity,0.9013
94,1781020296.531493,9.5945,0.7139,1.29017,lidar,native_s2s,bnb,proximity,0.8989
95,1781020297.679907,9.582,0.9378,1.51196,lidar,native_s2s,bnb,proximity,0.9092
96,1781020298.918954,9.5777,1.1664,1.60702,lidar,native_s2s,bnb,proximity,0.9374
97,1781020300.164459,9.5056,1.4278,1.60684,lidar,native_s2s,bnb,proximity,0.96
98,1781020302.036172,9.5133,1.1772,1.58518,lidar,native_s2s,bnb,proximity,0.9143
99,1781020303.077651,9.4882,0.9257,1.55477,lidar,native_s2s,bnb,proximity,0.8571
100,1781020304.017676,9.4632,0.6577,1.58263,lidar,native_s2s,bnb,proximity,0.8783
101,1781020304.753879,9.6665,0.3861,1.50606,lidar,native_s2s,bnb,proximity,0.8358
102,1781020305.273732,9.6395,0.2474,1.26138,lidar,native_s2s,bnb,proximity,0.7874
103,1781020305.792651,9.5995,0.1218,1.02978,lidar,native_s2s,bnb,proximity,0.823
104,1781020306.829431,9.4974,-0.0106,0.78158,lidar,native_s2s,bnb,proximity,0.8825
105,1781020307.355252,9.4172,-0.0957,0.56697,lidar,native_s2s,bnb,proximity,0.8698
106,1781020309.419373,9.6107,0.0192,0.42007,lidar,native_s2s,bnb,proximity,0.927
107,1781020311.49933,9.7986,0.1024,0.23702,lidar,native_s2s,bnb,proximity,0.9361
108,1781020313.062659,10.0683,0.103,0.09007,lidar,native_s2s,bnb,proximity,0.9135
109,1781020314.313779,10.3298,0.1058,-0.01878,lidar,native_s2s,bnb,proximity,0.9013
110,1781020315.456797,10.604,0.0989,-0.02039,lidar,native_s2s,bnb,proximity,0.9
111,1781020316.599221,10.8563,0.0775,0.01918,lidar,native_s2s,bnb,proximity,0.8831
112,1781020317.738062,11.1254,0.0627,-0.0058,lidar,native_s2s,bnb,proximity,0.8548
113,1781020318.6708,11.39,0.0493,-0.00989,lidar,native_s2s,bnb,proximity,0.8244
114,1781020319.806005,11.6663,0.0202,-0.02655,lidar,native_s2s,bnb,dbow,0.8919
115,1781020320.842256,11.9334,0.0301,0.04043,lidar,native_s2s,bnb,dbow,0.8749
116,1781020321.783881,12.1875,0.0279,0.03592,lidar,native_s2s,bnb,dbow,0.8729
117,1781020322.709162,12.443,0.0369,0.0252,lidar,native_s2s,bnb,dbow,0.8602
