query,cand,accepted,rx,ry,rth
75,45,False,,,
80,50,False,,,
80,49,False,,,
85,55,False,,,
85,54,False,,,
90,60,True,0.4011,0.1175,0.29642
90,59,True,0.645,0.1632,0.37468
95,63,True,0.1991,0.851,1.34083
95,64,True,-0.1951,0.8781,1.49734
100,70,True,-0.3481,0.1682,2.58481
100,69,True,-0.4148,0.2204,2.37407
105,62,True,0.0717,-0.0799,0.08807
105,61,True,0.2446,-0.0168,0.30494
110,66,True,0.2602,0.133,0.06358
110,65,True,0.4177,0.119,0.0442
202,148,True,0.2753,0.0448,0.08566
206,152,True,-0.0118,0.014,-0.12103
207,153,False,,,
207,154,False,,,
208,154,False,,,
208,155,False,,,
209,155,True,0.1279,0.0177,-0.02415
210,158,False,,,
210,156,False,,,
211,156,False,,,
211,158,False,,,
212,159,False,,,
212,158,False,,,
256,76,True,-0.1403,0.0627,-0.12816
256,75,True,0.1108,0.0834,-0.09948
257,77,True,-0.1508,0.0743,-0.10278
257,80,True,0.0151,0.0378,-0.00977
258,78,True,-0.1648,0.0381,-0.01459
277,91,True,-0.0665,-0.0384,0.09784
280,92,True,0.001,-0.0187,0.11102
282,93,True,0.0079,0.0052,0.07325
283,93,True,0.1657,0.0419,0.13301
283,95,True,-0.315,-0.0252,-0.25772
285,100,False,,,
285,99,False,,,
287,99,True,0.1418,-0.0762,0.06301
290,98,True,0.1083,-0.0426,0.02837
290,96,True,0.1105,0.0132,0.03299
291,98,True,0.0091,-0.0528,0.01476
291,99,True,0.2701,-0.0633,0.04393
292,100,True,0.416,-0.1077,0.01683
292,99,True,0.1461,-0.0911,0.036
293,99,True,-0.0227,-0.1005,0.02067
293,100,True,0.2491,-0.1133,0.00112
294,100,True,0.0809,-0.1209,0.1028
