kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
0,1781020195.360955,0.0,0.0,1.5708,vo,visual_vo,pnp,dbow,0.0
1,1781020197.361027,-0.0003,0.0005,1.57056,vo,visual_vo,pnp,dbow,123.0
2,1781020199.362119,0.0001,0.0001,1.57078,vo,visual_vo,pnp,dbow,148.0
3,1781020201.362614,0.0,-0.0002,1.57078,vo,visual_vo,pnp,dbow,146.0
4,1781020203.361125,-0.0014,-0.0005,1.57015,vo,visual_vo,pnp,dbow,149.0
5,1781020204.360345,-0.002,-0.0007,1.56981,vo,visual_vo,pnp,dbow,103.0
6,1781020206.361702,-0.0018,-0.0007,1.56991,vo,visual_vo,pnp,dbow,156.0
7,1781020208.362541,-0.0008,0.0002,1.57038,vo,visual_vo,pnp,dbow,160.0
8,1781020210.365334,-0.0017,0.0,1.56992,vo,visual_vo,pnp,dbow,162.0
9,1781020212.366386,-0.0009,-0.0001,1.57035,vo,visual_vo,pnp,dbow,155.0
10,1781020214.370211,-0.001,-0.0016,1.5721,vo,visual_vo,pnp,dbow,131.0
11,1781020215.573307,-0.0016,0.0343,1.55603,vo,visual_vo,pnp,dbow,94.0
12,1781020216.506386,0.0004,0.0538,1.54937,vo,visual_vo,pnp,dbow,89.0
13,1781020217.173216,0.003,0.122,1.52447,vo,visual_vo,pnp,dbow,71.0
14,1781020217.842755,-0.0261,0.2692,1.47544,vo,visual_vo,pnp,dbow,50.0
15,1781020218.510388,-0.0112,0.3961,1.4482,vo,visual_vo,pnp,dbow,63.0
16,1781020219.176537,0.0154,0.4952,1.42784,vo,visual_vo,pnp,dbow,56.0
17,1781020219.84273,0.0128,0.6012,1.39064,vo,visual_vo,pnp,dbow,38.0
18,1781020220.508902,0.0402,0.7096,1.39234,vo,visual_vo,pnp,dbow,37.0
19,1781020221.175316,0.0919,0.8015,1.39975,vo,visual_vo,pnp,dbow,36.0
20,1781020221.844545,0.1067,0.9204,1.41281,vo,visual_vo,pnp,dbow,47.0
21,1781020222.511878,0.1177,1.0516,1.42439,vo,visual_vo,pnp,dbow,50.0
22,1781020223.177728,0.1387,1.1939,1.41943,vo,visual_vo,pnp,dbow,58.0
23,1781020223.843625,0.1582,1.3355,1.41127,vo,visual_vo,pnp,dbow,60.0
24,1781020224.510514,0.1703,1.4744,1.40413,vo,visual_vo,pnp,dbow,53.0
25,1781020225.178164,0.1805,1.6186,1.39246,vo,visual_vo,pnp,dbow,47.0
