query,cand,accepted,rx,ry,rth
268,217,True,-0.0337,0.0158,-0.10996
269,218,True,-0.0322,-0.0005,-0.0869
269,219,True,-0.1258,0.0215,0.11472
270,219,True,0.1154,0.019,-0.09392
272,222,True,-0.0237,0.0459,-0.09451
272,221,True,0.2167,0.0631,-0.07047
273,223,True,0.0094,0.0142,-0.08454
334,137,True,-0.2056,0.5381,0.05953
334,138,True,-0.2017,0.5681,-0.1299
336,139,True,0.1577,0.5519,0.11553
337,140,True,0.4623,0.6366,0.20878
337,141,True,0.3939,0.545,0.11099
338,149,True,0.5787,0.4945,0.04624
338,145,True,0.1432,0.5357,0.0193
339,147,True,0.4445,0.5489,0.03521
339,143,True,0.5972,0.5102,0.01555
340,150,True,0.6903,0.486,0.04129
340,143,True,0.3233,0.519,-0.01039
341,150,True,0.427,0.4997,0.1279
341,152,True,0.3317,0.0432,0.25723
390,49,True,-0.0938,-0.052,1.71745
390,47,True,-0.1229,-0.0461,1.46855
395,50,True,0.0078,0.4116,0.59591
395,51,True,-0.1292,0.408,0.64036
400,358,True,-0.048,0.0265,-3.11549
400,357,True,0.205,0.0584,-3.06344
405,362,True,-0.0194,-0.2858,2.38761
405,361,True,0.1875,-0.2398,2.59931
410,42,True,0.067,-0.0636,-0.12733
410,43,True,-0.0875,-0.0931,-0.13268
415,35,True,-0.1,-0.0102,0.19248
415,34,True,0.0579,-0.0139,0.13325
420,24,False,,,
420,25,True,-0.0664,-0.0485,0.16842
425,13,True,0.1674,-0.2219,0.08611
425,14,True,0.0352,-0.2555,0.13489
430,10,False,,,
430,3,False,,,
435,10,False,,,
435,6,False,,,
440,10,False,,,
440,6,False,,,
