query,cand,accepted,rx,ry,rth
70,40,False,,,
70,39,False,,,
75,45,False,,,
75,44,False,,,
80,50,True,0.6949,0.1226,0.01469
80,49,False,,,
85,55,False,,,
85,54,False,,,
90,56,False,,,
90,55,False,,,
95,65,False,,,
95,63,False,,,
100,60,False,,,
100,57,True,0.0349,0.0823,0.13055
105,58,True,1.0459,0.2689,0.07327
105,59,True,1.0894,0.4201,0.18566
110,58,False,,,
110,59,False,,,
115,58,False,,,
115,59,False,,,
155,125,False,,,
155,124,False,,,
160,130,False,,,
160,129,False,,,
165,128,False,,,
165,129,False,,,
170,127,False,,,
170,128,False,,,
175,127,False,,,
175,126,False,,,
180,129,True,0.0128,-0.393,0.21195
180,128,True,0.2448,-0.2066,0.41843
185,133,False,,,
185,134,False,,,
190,140,True,0.0624,0.0026,0.54859
190,141,True,-0.1752,0.001,0.56713
195,143,False,,,
195,144,True,-0.1051,0.0448,-0.07257
200,150,True,-0.0152,0.0433,-0.09751
200,151,True,-0.2428,0.0038,0.11492
205,154,True,0.1026,-0.1221,-0.54486
205,155,True,-0.1637,-0.1371,-0.3646
210,180,False,,,
210,131,False,,,
215,127,False,,,
215,126,False,,,
220,121,False,,,
220,122,False,,,
225,115,False,,,
225,116,False,,,
230,110,False,,,
230,111,False,,,
235,106,False,,,
235,105,False,,,
240,101,False,,,
240,100,False,,,
245,66,False,,,
245,67,True,0.0389,0.0179,-0.53146
250,71,True,0.0482,0.0301,0.02954
250,70,True,0.2206,0.039,0.01418
255,76,True,-0.0149,-0.0796,0.19522
255,77,True,0.08,-0.1358,-0.04888
260,53,True,0.0396,-0.0455,0.27754
260,80,True,-0.1479,-0.1015,0.33571
265,92,True,0.0225,-0.0151,-0.2019
265,87,True,-0.046,-0.108,0.00562
270,92,True,-0.0551,0.017,0.2286
270,86,True,0.0976,0.0556,0.48398
275,60,False,,,
275,57,False,,,
280,51,False,,,
280,52,False,,,
285,46,False,,,
285,47,False,,,
290,43,False,,,
290,42,False,,,
295,40,False,,,
295,39,False,,,
300,39,False,,,
300,38,False,,,
305,37,False,,,
305,38,False,,,
310,38,False,,,
310,39,False,,,
315,34,False,,,
315,35,False,,,
320,34,False,,,
320,33,False,,,
325,289,False,,,
325,288,False,,,
330,286,False,,,
330,287,False,,,
335,291,False,,,
335,290,False,,,
340,31,True,0.1346,0.1039,0.17094
340,30,True,0.375,0.0937,-0.04757
345,26,True,0.1312,0.0181,-0.0385
345,27,True,-0.1494,0.0017,-0.0208
350,22,True,-0.1169,0.0704,0.07274
350,21,True,0.151,0.0669,-0.03497
355,16,True,0.1032,0.0468,0.11483
355,17,True,-0.1404,0.0415,0.1308
360,11,True,0.0495,-0.044,0.04393
360,12,True,-0.1981,-0.0513,0.10858
365,10,True,0.0845,-0.0525,0.05352
365,8,False,,,
