query,cand,accepted,rx,ry,rth
35,1,False,,,
35,2,False,,,
75,45,False,,,
80,50,False,,,
80,49,False,,,
85,55,False,,,
85,54,False,,,
90,60,True,0.1442,0.0791,0.29939
90,59,True,0.3609,0.0927,0.38493
95,63,False,,,
95,62,False,,,
100,70,False,,,
100,62,False,,,
105,60,True,0.5978,0.049,0.32055
105,61,True,0.3302,0.0388,0.32698
110,66,True,0.1899,0.1139,0.04826
110,65,True,0.4077,0.1308,0.05648
115,66,False,,,
115,65,False,,,
120,66,False,,,
120,65,False,,,
125,66,False,,,
160,130,False,,,
160,129,False,,,
165,135,False,,,
165,134,False,,,
170,136,False,,,
170,135,False,,,
175,134,False,,,
175,135,False,,,
180,133,False,,,
180,132,False,,,
185,132,False,,,
185,133,False,,,
190,134,False,,,
190,133,False,,,
195,140,False,,,
195,139,False,,,
200,147,True,0.2374,-0.0062,0.49605
200,146,True,0.4832,-0.0732,0.26227
205,152,False,,,
205,151,True,-0.0151,0.038,-0.11676
210,157,True,-0.052,0.0678,-0.03657
210,156,True,0.1545,0.0646,-0.00245
215,162,True,-0.2634,-0.0661,-0.22964
215,161,True,-0.0711,-0.2973,-0.34195
220,166,False,,,
220,165,False,,,
225,187,False,,,
225,188,False,,,
230,129,False,,,
230,128,False,,,
235,125,False,,,
235,126,False,,,
240,118,False,,,
240,120,False,,,
245,113,False,,,
245,114,False,,,
250,75,False,,,
250,81,False,,,
255,77,False,,,
255,79,False,,,
260,78,True,-0.1165,0.0257,0.09
260,79,True,0.0307,0.0351,0.10857
265,83,True,-0.0487,-0.0865,0.27521
265,82,True,-0.1253,-0.0539,0.46678
270,86,False,,,
270,85,False,,,
275,94,True,0.033,0.0066,0.03496
275,101,True,0.3035,0.0014,-0.07409
280,99,True,-0.1423,-0.1394,0.13333
280,95,True,-0.1083,-0.0288,0.11388
285,108,False,,,
285,68,False,,,
290,89,False,,,
290,60,False,,,
295,55,False,,,
295,56,False,,,
300,51,False,,,
300,52,False,,,
305,49,False,,,
305,50,False,,,
310,48,False,,,
310,49,False,,,
315,48,False,,,
315,49,False,,,
320,48,False,,,
320,49,False,,,
325,47,False,,,
325,46,False,,,
330,49,False,,,
330,48,False,,,
335,53,False,,,
335,52,False,,,
340,57,True,-0.6043,0.1427,0.0259
340,56,True,-0.3398,0.1514,0.0406
345,51,False,,,
345,52,True,-0.2155,0.4968,-0.549
350,42,False,,,
350,43,False,,,
355,36,True,0.4905,0.0794,0.0457
355,34,True,0.5947,0.0761,0.04163
360,21,True,0.4544,0.0223,-0.12685
360,24,True,0.1721,0.0643,-0.03186
365,18,True,-0.0543,0.1032,0.1716
365,17,True,0.2491,0.1318,0.15651
370,13,True,0.1379,-0.0234,0.13333
370,12,True,0.3765,-0.0105,0.15188
375,9,False,,,
375,10,True,0.0769,-0.0626,0.05507
380,9,False,,,
380,10,True,0.0646,-0.062,0.05494
