query,cand,accepted,rx,ry,rth
70,40,False,,,
70,39,False,,,
75,45,False,,,
75,44,False,,,
80,50,True,0.6812,0.1134,0.17495
80,49,True,0.9368,0.1137,0.1565
85,55,True,-0.1333,0.6599,1.27949
85,54,True,0.2585,0.6452,1.07739
90,60,True,-0.5752,0.3683,2.20067
90,55,True,-0.136,0.7479,1.52925
95,54,True,0.001,-0.0327,0.46152
95,65,True,-0.0456,-0.1303,2.12536
100,57,True,0.0953,0.0773,0.02556
100,58,True,0.181,0.1005,0.14744
105,57,False,,,
105,58,False,,,
110,57,False,,,
110,58,False,,,
115,57,False,,,
115,58,False,,,
155,125,False,,,
155,124,False,,,
160,129,False,,,
160,128,False,,,
165,127,False,,,
165,128,False,,,
170,125,True,0.4599,-1.5776,2.51817
170,126,True,-0.054,-1.6503,2.29727
175,125,True,0.2073,-0.9294,1.4323
175,126,True,-0.1576,-0.9615,1.21212
180,129,True,0.008,-0.3408,0.04303
180,130,True,-0.2173,-0.3467,-0.16971
185,135,True,0.0154,-0.596,0.37173
185,136,True,-0.0405,-0.591,0.58965
190,140,True,0.0797,0.0256,0.3043
190,141,True,-0.1965,0.0251,0.31495
195,143,True,0.1119,-0.0659,-0.3491
195,144,True,-0.0,-0.1381,-0.11298
200,150,True,-0.0484,0.0194,-0.00302
200,151,True,-0.1492,-0.0068,0.24286
205,154,True,0.0517,-0.1924,-0.43049
205,155,True,-0.1956,-0.2085,-0.33206
210,180,True,0.0498,-0.1425,2.34342
210,179,True,0.3104,-0.1264,2.23721
215,124,True,-0.0069,0.2222,3.11484
215,125,True,-0.2428,0.1901,2.97844
220,119,True,0.044,0.2073,3.13222
220,120,True,-0.2304,0.1864,-3.13933
225,113,True,0.1244,0.059,-2.92077
225,114,True,-0.1516,0.039,-2.90842
230,108,True,0.1215,0.0066,2.97574
230,109,True,-0.1405,0.0057,-3.09367
235,104,True,-0.1344,0.0334,-3.06994
235,103,True,0.121,0.0557,-3.08019
240,99,True,-0.0155,-0.0131,-2.95698
240,59,True,0.0494,0.0483,-2.46865
245,73,True,-0.0009,0.0686,-0.529
245,67,True,-0.1265,0.048,-0.16625
250,69,True,-0.0443,-0.0059,0.11561
250,71,True,0.1121,-0.003,0.14299
255,76,True,-0.0068,-0.1691,0.06599
255,75,True,-0.0782,-0.1604,0.31674
260,96,True,-0.0277,0.0526,0.19742
260,77,True,-0.0342,0.0583,0.88592
265,86,True,0.0802,-0.0127,0.07265
265,89,True,-0.0788,-0.0326,0.04296
270,92,True,0.0851,-0.0622,0.68526
270,91,True,-0.0974,-0.0925,0.43667
275,98,True,0.0325,-0.0372,2.90525
275,241,True,0.0636,-0.064,-0.50502
280,52,True,-0.4157,0.0802,3.04086
280,79,True,-0.4342,0.0193,-3.12239
285,50,True,-1.1562,0.0478,-3.13491
285,51,True,-1.4164,0.1326,3.06822
290,48,False,,,
290,49,False,,,
295,46,True,-1.2737,-1.145,-2.0129
295,47,True,-1.4229,-1.2871,-1.91946
300,44,True,-1.5701,-1.1563,2.92468
300,45,True,-1.6674,-1.3661,3.04662
305,42,True,-1.345,-0.7914,1.77601
305,43,True,-1.5713,-0.8377,1.78392
310,40,True,-0.5096,-0.5945,1.5399
310,41,True,-0.7825,-0.4749,1.31737
315,38,False,,,
315,39,False,,,
320,290,True,0.1403,-0.8767,2.70743
320,289,True,0.4483,-0.7857,2.92113
325,287,True,-0.0161,-0.0796,2.76076
325,288,True,-0.1749,-0.088,2.53467
330,286,True,0.0862,0.0088,3.11045
330,287,True,-0.1701,-0.0115,2.91112
335,38,True,-0.1265,0.7839,0.11058
335,37,True,-0.1715,0.7824,0.34332
340,35,True,-1.0056,-0.2229,0.88701
340,36,True,-1.2888,0.0267,0.65016
345,33,False,,,
345,34,False,,,
350,31,False,,,
350,9,False,,,
355,9,False,,,
355,29,False,,,
360,9,False,,,
365,9,False,,,
