query,cand,accepted,rx,ry,rth
70,40,False,,,
70,39,False,,,
75,45,False,,,
75,44,False,,,
80,50,True,0.7302,0.1234,0.1861
80,49,True,0.987,0.1238,0.1674
85,55,True,-0.0869,0.6851,1.31573
85,54,True,0.3093,0.6525,1.12287
90,60,True,-0.5668,0.4171,2.2043
90,55,True,-0.0933,0.7826,1.53741
95,54,True,0.053,-0.018,0.48137
95,65,True,-0.0665,-0.1006,2.12454
100,57,True,0.1431,0.1201,0.01196
100,58,True,0.2211,0.1475,0.13238
105,57,True,1.5762,0.3574,0.12405
105,58,True,1.6117,0.5532,0.24447
110,57,False,,,
110,58,False,,,
115,57,False,,,
115,58,False,,,
155,125,False,,,
155,124,False,,,
160,129,False,,,
160,128,False,,,
165,127,True,0.5123,-2.1127,-3.03096
165,128,True,-0.1315,-2.1836,3.01962
170,126,True,0.0152,-1.7158,2.31481
170,125,True,0.5399,-1.6268,2.53717
175,125,True,0.2799,-0.9047,1.45316
175,126,True,-0.0806,-0.9533,1.23486
180,129,True,0.0633,-0.3266,0.06449
180,130,True,-0.1613,-0.3449,-0.15057
185,136,True,-0.0496,-0.5608,0.59157
185,137,True,-0.1123,-0.5621,0.79973
190,140,True,0.0912,0.0556,0.31003
190,141,True,-0.1897,0.0545,0.31969
195,143,True,0.1176,-0.0343,-0.35904
195,144,True,0.0011,-0.1069,-0.12326
200,150,True,-0.0284,0.0667,-0.03029
200,151,True,-0.1385,0.0439,0.21551
205,154,True,0.0428,-0.1828,-0.45727
205,155,True,-0.2103,-0.2045,-0.35869
210,180,True,0.0704,-0.1829,2.33781
210,179,True,0.3325,-0.1685,2.23127
215,124,True,0.0327,0.2302,3.11754
215,125,True,-0.2045,0.197,2.9824
220,119,True,0.0982,0.2184,3.13544
220,120,True,-0.1765,0.1985,-3.13625
225,114,True,-0.1239,0.0826,-2.91035
225,113,True,0.1455,0.0953,-2.92447
230,109,True,-0.0722,0.0561,-3.11525
230,108,True,0.2015,0.0417,2.9632
235,104,True,-0.0425,0.0802,-3.08511
235,103,True,0.2237,0.1022,-3.09377
240,99,True,0.0338,0.0193,-2.93418
240,57,True,-0.058,0.1205,-2.81199
245,73,True,-0.0139,0.1326,-0.52344
245,66,True,0.118,0.1386,-0.27746
250,71,True,0.0863,0.0635,0.14211
250,69,True,-0.0696,0.0655,0.11255
255,75,True,-0.0636,-0.13,0.31969
255,76,True,0.0148,-0.1419,0.06828
260,96,True,0.0003,0.0586,0.20502
260,54,True,-0.0398,-0.0157,0.46193
265,89,True,-0.064,-0.0647,0.04765
265,86,True,0.098,-0.0437,0.06521
270,91,True,-0.0398,-0.1202,0.44501
270,92,True,0.1472,-0.0724,0.69353
275,98,True,0.0711,-0.0153,2.92297
275,59,True,-0.0444,0.0166,-2.72198
280,52,True,-0.3846,0.1029,3.06282
280,79,True,-0.4617,0.0407,-3.11675
285,50,True,-1.2554,0.1018,-3.09851
285,51,True,-1.5073,0.1901,3.10517
290,48,True,-1.5063,-0.3276,-2.18024
290,49,True,-1.7755,-0.2531,-2.24195
295,46,True,-1.3212,-1.1093,-1.99459
295,47,True,-1.4706,-1.2527,-1.90225
300,44,True,-1.5411,-1.1132,2.89993
300,45,True,-1.6495,-1.3213,3.02166
305,42,True,-1.3098,-0.7624,1.76106
305,43,True,-1.5402,-0.8159,1.78288
310,40,True,-0.476,-0.6291,1.5512
310,41,True,-0.7429,-0.4765,1.30963
315,38,True,-0.2438,0.5218,1.78913
315,39,True,-0.3948,0.564,1.57295
320,290,True,0.1092,-0.8591,2.6798
320,289,True,0.4158,-0.7737,2.89589
325,287,True,-0.108,-0.046,2.74182
325,286,True,0.1543,0.0099,2.94972
330,286,True,0.0106,0.0373,3.10349
330,287,True,-0.2366,0.0342,2.89857
335,38,True,-0.1054,0.8073,0.12036
335,37,True,-0.1516,0.8156,0.35132
340,35,True,-0.9968,-0.2473,0.90513
340,36,False,,,
345,33,True,-1.4038,-1.0235,0.61465
345,34,True,-1.5281,-1.219,0.73795
350,31,False,,,
350,32,False,,,
355,9,False,,,
355,29,False,,,
360,9,False,,,
365,9,False,,,
