query,cand,accepted,rx,ry,rth
75,45,False,,,
80,50,False,,,
80,49,False,,,
85,55,False,,,
85,54,False,,,
90,60,True,0.4011,0.1175,0.29642
90,59,True,0.645,0.1632,0.37468
95,63,True,0.1991,0.851,1.34083
95,64,True,-0.1951,0.8781,1.49734
100,70,True,-0.3481,0.1682,2.58481
100,69,True,-0.4148,0.2204,2.37407
105,62,True,0.0717,-0.0799,0.08807
105,61,True,0.2446,-0.0168,0.30494
110,66,True,0.2602,0.133,0.06358
110,65,True,0.4177,0.119,0.0442
115,66,False,,,
115,65,False,,,
120,66,False,,,
120,65,False,,,
125,66,False,,,
160,130,False,,,
160,129,False,,,
165,135,False,,,
165,134,False,,,
170,136,False,,,
170,135,False,,,
175,134,False,,,
175,135,True,-2.5694,-1.5543,3.11754
180,129,True,1.9374,-1.3436,2.46158
180,128,True,2.2067,-1.308,2.47024
185,134,True,0.3222,-0.8534,1.3223
185,133,True,0.7398,-0.7366,1.49436
190,138,True,-0.1482,-0.3535,0.07891
190,139,True,-0.3755,-0.3278,-0.16423
195,147,True,-0.2242,-0.7719,1.10061
195,146,True,-0.1717,-0.7468,0.89718
200,149,True,-0.3075,-0.0182,0.53667
200,150,True,-0.5407,-0.084,0.75154
205,152,True,-0.1631,0.0226,0.13678
205,153,True,-0.3093,-0.008,0.36446
210,157,True,-0.1247,-0.0311,-0.03436
210,156,True,0.1383,0.0112,-0.0141
215,162,True,-0.1879,-0.1328,-0.2199
215,161,False,,,
220,166,True,-0.5289,-0.9979,-1.01821
220,167,True,-0.8786,-0.8669,-1.23827
225,135,True,0.2276,0.048,2.74163
225,187,True,0.51,0.3058,2.00281
230,130,False,,,
230,131,False,,,
235,125,True,0.1316,0.2417,-2.74053
235,124,True,0.3478,0.2898,-2.57803
240,121,True,-0.0638,0.0332,3.01768
240,120,True,0.1171,0.0159,2.82123
245,116,True,-0.3352,0.0992,3.13978
245,115,True,-0.0611,0.0664,3.05949
250,110,True,-0.4498,-0.0201,-2.84763
250,111,True,-0.7374,0.0226,-2.89839
255,66,True,-0.4589,-0.5086,-1.69238
255,65,True,-0.2977,-0.5041,-1.70917
260,80,True,0.2992,0.0165,0.13677
260,77,True,0.1084,0.0272,0.04531
265,83,True,-0.1258,-0.1351,0.27505
265,74,True,0.0169,-0.1616,0.78441
270,87,True,-0.0987,-0.0647,0.34583
270,86,True,-0.2152,-0.0776,0.59795
275,94,True,0.0038,0.0037,0.11782
275,95,True,-0.2038,-0.0076,-0.10805
280,99,True,-0.1737,-0.1156,0.09816
280,95,True,-0.1821,-0.0037,0.16899
285,108,True,0.0986,-0.0326,2.72397
285,250,True,-0.0029,-0.0103,-0.58896
290,88,True,0.0018,0.0997,-3.08785
290,89,True,-0.1396,0.0883,2.99901
295,88,True,-1.2469,-0.0114,3.13383
295,61,True,-1.3519,0.049,3.00843
300,59,False,,,
300,60,False,,,
305,57,False,,,
305,58,False,,,
310,55,False,,,
310,56,False,,,
315,53,False,,,
315,54,False,,,
320,51,True,-1.1099,-0.6987,1.15533
320,52,True,-1.3605,-0.7173,1.16738
325,49,True,-0.568,0.2892,1.6074
325,50,True,-0.6256,0.4198,1.37318
330,47,True,-0.2006,0.8081,1.01601
330,48,True,-0.2777,0.8513,0.8044
335,52,False,,,
335,53,True,-0.435,0.6307,-0.55776
340,56,True,-0.2152,0.1707,-0.03515
340,55,True,0.0497,0.1721,-0.12624
345,52,True,-0.3422,0.2956,-0.60896
345,299,True,0.377,-0.3233,2.58359
350,45,False,,,
350,46,False,,,
355,43,False,,,
355,44,False,,,
360,41,False,,,
360,42,False,,,
365,10,False,,,
365,6,False,,,
370,10,False,,,
370,6,False,,,
375,10,True,0.0422,-0.0929,0.05566
375,6,True,0.0002,-0.2159,0.04569
380,10,False,,,
380,6,False,,,
