query,cand,accepted,rx,ry,rth
35,1,False,,,
35,2,False,,,
75,45,False,,,
80,50,False,,,
80,49,False,,,
85,55,False,,,
85,54,False,,,
90,60,True,0.477,0.1309,0.29703
90,59,True,0.7213,0.185,0.37489
95,63,True,0.1903,0.8845,1.34689
95,64,True,-0.2063,0.9117,1.50223
100,70,True,-0.3907,0.2107,2.59777
100,69,True,-0.4458,0.2708,2.38781
105,62,True,-0.0611,-0.1093,0.14373
105,61,True,0.1234,-0.0751,0.36006
110,66,True,0.2793,0.1472,0.10204
110,65,True,0.4485,0.1347,0.08791
115,66,False,,,
115,65,False,,,
120,66,False,,,
120,65,False,,,
125,66,False,,,
160,130,False,,,
160,129,False,,,
165,135,False,,,
165,134,False,,,
170,136,False,,,
170,135,False,,,
175,134,False,,,
175,135,False,,,
180,133,False,,,
180,132,False,,,
185,132,False,,,
185,133,False,,,
190,134,False,,,
190,133,True,0.6972,-0.0964,0.86363
195,140,True,0.1984,-0.431,0.02088
195,139,True,0.5529,-0.3364,0.23565
200,149,True,-0.1324,0.0603,0.52392
200,148,True,0.1366,0.0602,0.52654
205,152,True,-0.0675,0.2384,0.11241
205,153,True,-0.2332,0.1934,0.35946
210,157,True,-0.0832,0.0741,-0.0467
210,156,True,0.178,0.1154,-0.02114
215,161,True,0.1236,-0.0843,-0.40855
215,162,True,-0.1394,-0.1036,-0.23824
220,166,True,-0.1909,-0.796,-1.01759
220,165,True,0.1283,-0.8832,-0.90305
225,187,True,0.3273,0.2042,2.00678
225,188,True,0.0508,0.1909,2.08944
230,129,True,0.0358,-0.4693,3.13786
230,130,True,-0.2271,-0.467,-3.12963
235,125,True,0.0453,-0.5929,-2.76516
235,124,False,,,
240,120,True,0.2204,-0.0513,2.92402
240,119,False,,,
245,114,True,0.3994,0.012,-3.09233
245,115,True,0.1268,-0.0163,3.12439
250,111,False,,,
250,110,True,-0.1399,-0.0715,-2.94973
255,66,False,,,
255,65,False,,,
260,80,True,-0.0596,1.1743,0.25309
260,79,True,-0.2935,1.1979,0.21625
265,110,True,-0.2215,-0.4667,-0.56557
265,111,True,-0.4715,-0.4184,-0.61786
270,66,False,,,
270,65,True,-0.1752,-0.2085,0.58327
275,110,True,-0.5227,0.6222,1.44544
275,109,True,-0.2037,0.6178,1.44197
280,95,True,-0.2036,0.042,0.2075
280,94,True,0.0016,0.0588,0.4393
285,109,True,-0.1101,0.0454,2.8041
285,108,True,0.1641,0.0349,2.69962
290,87,True,-0.053,0.0559,-3.06618
290,86,True,-0.1745,0.0695,-2.80267
295,57,True,-0.1087,-0.1546,-3.13044
295,56,True,0.1397,-0.1683,-3.11494
300,52,True,-0.0605,0.1576,-2.94296
300,53,True,-0.3634,0.1034,-2.7908
305,50,True,-0.1981,-0.6679,-2.20807
305,49,True,0.1057,-0.6785,-1.97214
310,48,True,0.0327,-0.9918,-2.88845
310,49,True,-0.4564,-0.9814,-3.10798
315,48,True,-0.1302,-1.0287,2.37037
315,47,True,0.3404,-1.0058,2.58241
320,48,True,0.0194,-0.8976,1.68251
320,47,True,0.4574,-0.8474,1.89437
325,44,False,,,
325,45,False,,,
330,43,True,0.0176,0.733,1.67499
330,42,True,0.4634,0.7056,1.48932
335,299,True,-0.093,-0.5487,2.49097
335,298,True,0.1593,-0.5433,2.72024
340,57,True,-0.306,0.1965,0.10315
340,56,False,,,
345,298,True,0.3594,-0.3951,2.87214
345,299,True,0.1369,-0.4546,2.64091
350,42,True,-0.1559,0.1739,0.48185
350,43,True,-0.4699,0.1392,0.67833
355,36,True,-0.0867,-0.0559,0.03579
355,34,True,0.1382,-0.0526,0.01441
360,22,True,-0.1693,0.1675,0.05715
360,20,True,0.2211,0.213,-0.05737
365,16,False,,,
365,15,False,,,
370,11,True,0.414,-0.0136,0.12754
370,12,True,0.1534,0.0452,0.21431
375,9,True,-0.0375,-0.1629,0.03095
375,10,True,-0.0408,-0.0787,0.03034
380,9,False,,,
380,10,False,,,
