query,cand,accepted,rx,ry,rth
342,246,True,0.0051,0.0042,-0.17501
344,248,True,0.0247,0.0368,0.09883
347,252,True,-0.0628,0.0389,-0.09618
347,250,True,0.1771,0.067,-0.05756
348,254,True,-0.1909,0.0401,0.14725
349,254,True,-0.0948,0.0429,0.03822
350,254,True,0.0017,0.0191,-0.07635
351,256,True,-0.13,0.0158,0.00201
428,111,True,0.0065,0.0598,-0.10272
435,117,True,0.1152,0.034,0.02628
436,117,True,0.0614,0.0313,0.02144
438,115,True,0.0233,0.0348,0.09217
453,134,True,-0.1339,-0.0167,0.02094
454,135,True,-0.0775,-0.0477,0.05523
454,137,False,,,
455,135,True,0.0271,-0.0554,0.06884
455,153,False,,,
456,136,True,-0.0071,-0.0353,0.01689
456,137,True,-0.1016,-0.0917,-0.03805
458,139,True,-0.1183,-0.0698,-0.12735
459,138,True,0.1363,-0.0714,-0.02677
459,137,True,0.236,0.0063,0.1677
460,140,True,-0.0262,-0.0943,0.0215
460,138,True,0.2378,-0.037,0.18443
461,151,False,,,
461,141,True,-0.0348,-0.0862,0.14622
462,151,True,0.4048,-0.0709,0.01531
462,148,False,,,
463,148,False,,,
463,142,False,,,
464,143,True,0.021,-0.0572,0.04128
464,142,False,,,
465,148,False,,,
465,147,True,0.0703,-0.0433,0.04754
466,148,False,,,
466,144,True,0.0049,-0.029,0.01064
467,148,False,,,
467,142,False,,,
468,148,False,,,
468,147,False,,,
469,148,False,,,
469,149,True,-0.0293,-0.0668,0.04524
470,151,False,,,
470,149,False,,,
610,40,True,-0.0493,0.006,-0.02781
611,39,True,-0.0082,0.0138,-0.05345
612,38,True,0.0411,0.0194,-0.06641
