query,cand,accepted,rx,ry,rth
342,246,False,,,
344,248,True,-0.1074,0.0542,0.05711
347,252,True,-0.1535,0.0242,-0.12805
347,250,True,0.0518,-0.0128,-0.05372
348,254,True,-0.215,-0.0172,0.13362
349,254,True,-0.1311,-0.0045,0.03231
350,254,False,,,
351,256,True,-0.1573,-0.0154,0.00012
428,111,True,-0.0067,0.0464,-0.09139
435,117,True,0.1024,0.0234,0.02099
436,117,True,0.0495,0.0237,0.01402
438,115,False,,,
453,134,True,0.1372,0.3649,-0.04062
454,135,True,0.2177,0.3007,-0.15174
454,137,True,0.0569,0.2132,-0.36406
455,135,True,0.0171,0.0261,0.03389
455,153,True,0.263,-0.4172,-0.38336
456,136,True,0.0248,-0.0716,0.05584
456,137,False,,,
458,139,True,-0.082,-0.059,-0.14413
459,138,True,0.1744,-0.0308,-0.01198
459,137,True,0.2763,0.0232,0.20236
460,140,True,0.0199,-0.0719,-0.00286
460,138,True,0.2616,0.0122,0.17779
461,151,False,,,
461,141,False,,,
462,151,True,0.4527,-0.1412,0.06007
462,148,True,-0.0835,-0.0995,0.0795
463,148,True,0.0188,-0.0556,0.05388
463,142,True,0.0612,-0.0629,0.06173
464,143,True,0.0827,-0.0215,0.01521
464,142,True,0.2102,-0.0353,0.04433
465,148,True,0.2801,0.0012,0.03126
465,147,True,0.1486,0.0271,-0.03936
466,148,True,0.2558,0.0008,0.02086
466,144,True,0.0588,0.0099,-0.04554
467,148,True,0.149,-0.0317,0.04083
467,142,True,0.1861,-0.0728,0.07343
468,148,True,0.0178,-0.0374,0.02529
468,147,True,-0.1121,0.0098,-0.04824
469,148,True,-0.1407,-0.0275,-0.00465
469,149,True,0.0312,-0.0333,0.02164
470,151,True,0.2243,-0.0705,0.07191
470,149,True,-0.1294,-0.0368,0.10931
610,40,False,,,
611,39,True,-0.0583,0.0498,-0.05613
612,38,True,0.0065,0.0443,-0.05676
