query,cand,accepted,rx,ry,rth
342,246,True,1.1352,1.382,-0.36417
344,248,True,0.0226,1.6086,-0.08436
347,252,True,-0.4767,1.5453,-0.29973
347,250,True,-0.3939,1.4989,-0.21964
348,254,True,-1.0491,1.3342,-0.03004
349,254,True,-0.9623,1.3094,-0.15184
350,254,True,-0.9375,1.2626,-0.26751
351,256,True,-1.3746,1.0138,-0.17984
428,111,False,,,
435,117,False,,,
436,117,False,,,
438,115,False,,,
453,134,True,1.7651,0.8686,-0.10597
454,135,True,1.7642,0.3241,-0.11183
454,137,True,1.5821,-0.0823,-0.31179
455,135,True,1.8967,0.1881,-0.14943
455,153,True,1.7814,-0.7242,-0.29856
456,136,True,1.9984,-0.1629,-0.23462
456,137,True,1.8617,-0.3381,-0.33411
458,139,True,1.7256,-0.9255,-0.46388
459,138,True,2.1027,-0.9152,-0.48047
459,137,True,2.3541,-0.3963,-0.24893
460,140,True,1.7902,-1.2586,-0.40823
460,138,True,2.1986,-0.9135,-0.25985
461,151,False,,,
461,141,False,,,
462,151,True,2.0727,-1.7768,-0.28052
462,148,True,1.5698,-1.7365,-0.27345
463,148,True,1.6965,-1.8083,-0.25882
463,142,True,1.7062,-1.7956,-0.26247
464,143,True,1.5925,-2.0079,-0.33849
464,142,True,1.7954,-1.9524,-0.28635
465,148,True,1.9267,-1.9647,-0.2454
465,147,True,1.6416,-2.052,-0.31923
466,148,True,1.9087,-1.988,-0.2708
466,144,True,1.518,-2.1089,-0.37
467,148,True,1.79,-1.9743,-0.27062
467,142,True,1.7799,-1.9714,-0.28332
468,148,True,1.685,-1.9199,-0.27713
468,147,True,1.4092,-1.9906,-0.35017
469,148,True,1.4628,-1.8458,-0.30803
469,149,True,1.7018,-1.8045,-0.28119
470,151,True,2.0647,-1.6563,-0.24881
470,149,True,1.7601,-1.5858,-0.21967
610,40,False,,,
611,39,False,,,
612,38,False,,,
