query,cand,accepted,rx,ry,rth
50,20,False,,,
50,19,False,,,
55,19,False,,,
55,20,False,,,
60,19,False,,,
60,18,False,,,
65,35,False,,,
65,20,False,,,
70,40,False,,,
70,39,False,,,
75,40,False,,,
75,41,False,,,
80,41,False,,,
80,40,False,,,
85,37,False,,,
85,36,False,,,
90,33,False,,,
90,32,False,,,
95,31,False,,,
95,30,False,,,
100,31,False,,,
100,30,False,,,
105,31,False,,,
105,30,False,,,
110,31,False,,,
110,32,False,,,
115,32,False,,,
115,33,False,,,
165,135,False,,,
165,134,False,,,
170,140,False,,,
170,139,False,,,
175,142,False,,,
175,141,False,,,
180,142,False,,,
180,143,False,,,
190,160,False,,,
190,159,False,,,
195,165,False,,,
195,164,False,,,
200,170,False,,,
200,169,False,,,
205,175,False,,,
205,174,False,,,
210,180,False,,,
210,179,True,0.4104,0.0424,-0.20471
215,184,False,,,
215,185,False,,,
220,189,False,,,
220,190,False,,,
225,189,False,,,
225,190,False,,,
270,240,False,,,
270,239,False,,,
275,240,False,,,
275,241,False,,,
280,240,False,,,
280,239,False,,,
285,239,False,,,
285,240,False,,,
290,241,False,,,
290,242,False,,,
295,244,False,,,
295,243,False,,,
300,251,False,,,
300,252,False,,,
305,257,True,0.0643,-0.0737,0.1401
305,256,True,0.1713,-0.1234,-0.10065
310,261,False,,,
310,260,False,,,
315,268,True,0.1135,-0.6348,0.15945
315,269,False,,,
320,288,False,,,
320,242,False,,,
325,239,False,,,
325,238,False,,,
330,236,False,,,
330,235,False,,,
335,231,False,,,
335,230,False,,,
340,225,False,,,
340,226,False,,,
345,221,False,,,
345,222,False,,,
350,216,False,,,
350,217,False,,,
355,213,False,,,
355,190,False,,,
360,189,False,,,
360,188,False,,,
365,210,False,,,
365,194,False,,,
370,207,False,,,
370,208,False,,,
375,203,True,-0.1201,-0.0307,-0.03095
375,202,False,,,
380,206,False,,,
380,207,False,,,
385,189,False,,,
385,185,False,,,
390,212,False,,,
390,211,False,,,
395,178,False,,,
395,179,False,,,
400,174,False,,,
400,173,False,,,
405,174,False,,,
405,175,False,,,
410,179,False,,,
410,195,False,,,
415,195,False,,,
415,196,False,,,
420,195,False,,,
425,395,False,,,
430,122,False,,,
430,400,True,3.4191,-0.2532,-0.19476
435,122,False,,,
435,405,False,,,
440,122,False,,,
445,122,False,,,
450,122,False,,,
455,122,False,,,
460,122,False,,,
465,122,False,,,
475,445,False,,,
490,14,False,,,
500,470,False,,,
500,469,False,,,
505,475,False,,,
505,474,False,,,
510,473,False,,,
510,472,False,,,
515,468,False,,,
515,469,False,,,
520,466,False,,,
520,467,False,,,
525,467,False,,,
525,466,False,,,
530,468,False,,,
530,467,False,,,
535,14,False,,,
535,490,False,,,
540,14,True,-0.0974,0.0606,-0.0214
540,490,False,,,
545,14,True,-0.0898,0.0532,-0.01986
545,490,False,,,
