kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
0,1782485020.759277,0.0,0.0,0.0,lidar,native_s2s,pnp,proximity,-1.0
1,1782485022.859301,-0.0753,-0.086,-0.00138,lidar,native_s2s,pnp,proximity,0.9787
2,1782485024.940258,-0.0941,-0.1033,-0.0033,lidar,native_s2s,pnp,proximity,0.9831
3,1782485027.025439,-0.1128,-0.1251,-0.00155,lidar,native_s2s,pnp,proximity,0.9654
4,1782485029.115248,-0.134,-0.1488,-0.0013,lidar,native_s2s,pnp,proximity,0.9756
5,1782485031.194267,-0.1456,-0.1651,-0.00349,lidar,native_s2s,pnp,proximity,0.9552
6,1782485033.283308,-0.1658,-0.1885,-0.00122,lidar,native_s2s,pnp,proximity,0.9484
7,1782485035.366665,-0.1789,-0.2092,-0.00214,lidar,native_s2s,pnp,proximity,0.9315
8,1782485037.46856,-0.1937,-0.2224,-0.00167,lidar,native_s2s,pnp,proximity,0.938
9,1782485039.561627,-0.2244,-0.2632,0.00173,lidar,native_s2s,pnp,proximity,0.9663
10,1782485041.648663,-0.2452,-0.2788,-0.00196,lidar,native_s2s,pnp,proximity,0.9469
11,1782485043.748981,-0.2737,-0.3112,0.00164,lidar,native_s2s,pnp,proximity,0.9717
12,1782485045.749313,-0.2992,-0.3388,0.00192,lidar,native_s2s,pnp,proximity,0.9669
13,1782485047.842991,-0.3106,-0.3502,0.00348,lidar,native_s2s,pnp,proximity,0.9715
14,1782485049.927133,-0.3029,-0.3525,-0.00039,lidar,native_s2s,pnp,proximity,0.94
15,1782485050.95999,-0.043,-0.3312,-0.01474,lidar,native_s2s,pnp,proximity,0.7102
16,1782485051.682311,0.2169,-0.3151,-0.02069,lidar,native_s2s,pnp,proximity,0.5838
17,1782485052.303144,0.6449,-0.2889,-0.04098,lidar,native_s2s,pnp,proximity,0.5527
18,1782485052.923178,0.9216,-0.2952,-0.04833,lidar,native_s2s,pnp,proximity,0.5094
19,1782485053.657759,1.1917,-0.2933,-0.07285,lidar,native_s2s,pnp,proximity,0.5188
