query,cand,accepted,rx,ry,rth
35,1,False,,,
35,2,False,,,
50,20,False,,,
50,19,False,,,
55,24,False,,,
55,23,False,,,
60,21,False,,,
60,19,False,,,
65,19,False,,,
65,18,False,,,
70,18,False,,,
70,19,False,,,
75,18,False,,,
75,17,False,,,
80,50,False,,,
80,49,False,,,
85,55,True,0.0246,0.1013,-0.29674
85,54,False,,,
90,55,False,,,
90,54,False,,,
95,53,False,,,
95,52,False,,,
100,48,False,,,
100,47,False,,,
105,45,False,,,
105,44,False,,,
110,40,False,,,
110,42,False,,,
115,40,False,,,
115,38,False,,,
120,40,False,,,
120,38,False,,,
125,40,False,,,
125,38,False,,,
130,40,False,,,
130,38,False,,,
180,150,False,,,
180,149,False,,,
185,155,False,,,
185,154,False,,,
190,156,False,,,
190,155,False,,,
195,156,False,,,
195,155,False,,,
205,175,False,,,
205,174,False,,,
210,180,False,,,
210,176,False,,,
215,185,False,,,
215,176,False,,,
220,190,False,,,
220,189,False,,,
225,195,False,,,
225,194,True,0.9347,-0.2985,-0.3986
230,198,False,,,
230,197,False,,,
235,204,False,,,
235,203,False,,,
280,250,False,,,
280,249,False,,,
285,254,False,,,
285,255,False,,,
290,253,False,,,
290,254,False,,,
295,252,False,,,
295,253,False,,,
300,251,False,,,
300,250,False,,,
305,252,False,,,
305,253,False,,,
310,256,False,,,
310,255,False,,,
315,262,False,,,
315,261,False,,,
320,266,False,,,
320,267,False,,,
325,274,False,,,
325,275,False,,,
330,283,False,,,
330,284,False,,,
335,304,False,,,
335,305,False,,,
340,248,False,,,
340,249,False,,,
345,246,False,,,
345,245,False,,,
350,243,False,,,
350,242,False,,,
355,233,False,,,
355,232,False,,,
360,230,False,,,
360,229,False,,,
365,214,False,,,
365,218,False,,,
370,207,False,,,
370,209,False,,,
375,211,False,,,
375,210,False,,,
380,192,False,,,
380,208,True,0.1408,0.0385,-0.22603
385,219,False,,,
385,213,False,,,
390,218,False,,,
390,214,False,,,
395,365,False,,,
395,226,False,,,
400,366,False,,,
400,225,False,,,
405,212,False,,,
405,211,False,,,
410,190,False,,,
410,191,False,,,
415,185,False,,,
415,184,False,,,
420,176,False,,,
420,177,False,,,
425,175,False,,,
425,174,False,,,
430,159,False,,,
430,160,False,,,
435,155,False,,,
435,154,False,,,
440,150,False,,,
440,149,False,,,
445,145,False,,,
445,146,False,,,
450,140,False,,,
450,139,False,,,
455,129,False,,,
455,128,False,,,
460,123,False,,,
460,124,False,,,
465,123,False,,,
465,124,False,,,
470,123,False,,,
470,122,False,,,
475,111,False,,,
475,112,False,,,
480,49,False,,,
480,48,False,,,
485,87,False,,,
485,52,False,,,
490,87,True,1.1894,-0.5103,-0.43421
490,88,False,,,
495,65,False,,,
495,66,False,,,
500,65,False,,,
500,64,False,,,
505,59,True,-0.0045,0.0466,0.1606
505,60,True,-0.2757,0.0361,0.16514
510,54,False,,,
510,53,False,,,
515,51,False,,,
515,482,False,,,
520,477,False,,,
520,46,False,,,
525,41,False,,,
525,38,False,,,
530,40,False,,,
530,38,False,,,
535,30,False,,,
535,28,False,,,
540,20,True,-0.0688,0.1954,0.17447
540,19,True,0.125,0.1931,0.15857
545,16,True,-0.5145,0.0451,0.00627
545,15,True,-0.2207,0.0464,-0.00977
550,14,True,-0.0885,0.0558,-0.02065
550,13,False,,,
555,13,False,,,
555,14,True,-0.0885,0.0543,-0.02039
