query,cand,accepted,rx,ry,rth
50,20,True,0.4315,-2.7533,3.07997
50,19,True,0.7554,-2.7266,3.09344
55,19,True,0.1371,-2.1283,1.77456
55,18,True,0.3555,-2.1124,1.75189
60,19,True,0.1013,-2.3631,1.80761
60,18,True,0.3122,-2.3462,1.78413
65,20,True,0.3333,-2.9268,3.08948
65,35,True,1.8696,-2.2985,-1.60155
70,40,True,0.8497,-0.6561,-1.15091
70,39,True,0.7525,-0.8888,-1.42747
75,40,True,0.0906,0.2547,-1.03098
75,41,True,-0.0876,0.2646,-0.78519
80,41,True,0.0064,-0.1763,-1.8718
80,42,True,-0.0598,-0.181,-1.65441
85,37,True,-0.0188,-0.1362,2.66108
85,36,True,0.2528,-0.1149,2.64587
90,33,True,-0.0197,-0.1515,2.99232
90,32,True,0.2517,-0.1675,2.82313
95,31,True,0.0448,0.6754,1.66724
95,30,True,0.3035,0.6236,1.44797
100,31,False,,,
100,30,False,,,
105,31,False,,,
105,30,False,,,
110,32,False,,,
110,31,False,,,
115,32,False,,,
115,33,True,-2.4257,1.9,1.16484
165,135,False,,,
165,134,False,,,
170,140,False,,,
170,139,False,,,
175,142,False,,,
175,141,False,,,
180,142,False,,,
180,143,False,,,
190,160,False,,,
190,159,False,,,
195,165,False,,,
195,164,False,,,
200,170,False,,,
200,169,False,,,
205,175,True,2.0961,-0.6345,-1.36249
205,174,False,,,
210,180,True,0.0972,0.0068,-0.49078
210,179,True,0.2388,0.0816,-0.27022
215,184,True,0.1878,-1.1267,-1.05713
215,185,True,-0.2757,-1.1507,-1.2173
220,190,False,,,
220,189,False,,,
225,189,False,,,
225,190,False,,,
270,240,False,,,
270,239,False,,,
275,240,False,,,
275,241,False,,,
280,240,True,-2.2264,-1.8783,2.57819
280,239,True,-1.4791,-2.3526,2.8406
285,236,True,1.5268,-0.937,2.10046
285,235,True,1.7862,-0.9096,2.10148
290,241,True,0.1165,-0.5653,0.23299
290,240,True,0.3816,-0.4778,0.47679
295,243,False,,,
295,244,False,,,
300,251,True,0.0101,-0.2208,0.38454
300,250,True,0.2593,-0.2165,0.35161
305,257,True,0.0775,-0.1172,0.12513
305,256,True,0.1675,-0.162,-0.10185
310,261,True,-0.0414,-0.1714,-0.34612
310,260,True,0.1881,-0.2,-0.52995
315,268,True,0.0862,-0.4534,0.11755
315,269,True,-0.1826,-0.4635,-0.10656
320,288,True,0.672,-0.3716,1.94239
320,242,True,-0.0619,-0.8547,2.21372
325,238,True,0.0643,-0.0898,2.98768
325,237,True,0.3842,-0.0075,-3.10061
330,235,True,0.1275,-0.0711,-2.96696
330,236,True,-0.1178,-0.0892,-2.96927
335,231,True,-0.0324,-0.2362,-3.13314
335,230,True,0.1946,-0.1602,-2.87341
340,225,True,0.0329,-0.0992,2.70048
340,226,True,-0.084,-0.0961,2.92618
345,221,True,0.1064,0.2495,-3.12323
345,222,True,-0.16,0.2479,-3.10562
350,216,True,0.0956,0.0297,-2.86888
350,217,True,-0.1584,0.0216,-2.94697
355,190,True,0.0478,-0.3354,1.04122
355,213,True,-0.0365,0.375,2.20617
360,189,True,0.0736,-0.0047,-0.23675
360,188,True,-0.1002,-0.0464,-0.51085
365,210,True,-0.008,0.0159,0.57904
