query,cand,accepted,rx,ry,rth
50,20,True,0.5586,-2.7133,3.10561
50,19,True,0.882,-2.6848,3.11907
55,19,True,0.1389,-2.115,1.76319
55,20,True,-0.1777,-2.1336,1.74921
60,19,True,0.152,-2.3798,1.84107
60,18,True,0.3646,-2.3648,1.81791
65,20,True,0.4625,-2.9293,3.13821
65,35,True,1.878,-2.2409,-1.57436
70,40,True,0.8587,-0.6332,-1.15079
70,39,True,0.7657,-0.868,-1.42724
75,40,True,0.061,0.2781,-1.0222
75,41,True,-0.1122,0.2867,-0.77975
80,41,True,-0.0253,-0.1679,-1.86894
80,42,True,-0.0944,-0.1824,-1.6502
85,37,True,-0.0372,-0.1084,2.66009
85,36,True,0.2343,-0.0884,2.64592
90,33,True,-0.038,-0.1172,2.99765
90,32,True,0.2362,-0.1303,2.82801
95,31,True,0.0436,0.7093,1.67521
95,30,True,0.3089,0.6588,1.45607
100,31,True,-0.008,1.5741,2.02966
100,30,True,0.4451,1.5124,1.80988
105,31,False,,,
105,30,True,0.7455,1.6286,2.04329
110,32,False,,,
110,31,False,,,
115,32,False,,,
115,33,False,,,
165,135,False,,,
165,134,False,,,
170,140,True,0.5888,1.4862,1.51435
170,139,True,1.0699,1.2766,1.28362
175,142,True,-0.1949,2.7444,1.22041
175,141,True,0.5694,2.7306,1.04873
180,142,True,0.0557,3.9672,1.47263
180,143,True,-1.0806,3.8494,1.70171
190,160,False,,,
195,165,True,0.8562,-2.9204,-1.59325
195,164,True,0.4779,-3.0934,-1.80665
200,170,False,,,
200,169,False,,,
205,175,True,2.349,-0.6411,-1.42348
205,174,False,,,
210,180,True,0.1448,-0.0101,-0.4617
210,179,True,0.2937,0.0789,-0.2476
215,184,True,0.2307,-1.1669,-1.05199
215,185,True,-0.2496,-1.1948,-1.21353
220,190,False,,,
220,189,False,,,
225,189,False,,,
225,190,False,,,
270,240,False,,,
270,239,False,,,
275,240,False,,,
275,241,False,,,
280,240,False,,,
280,239,False,,,
285,239,True,0.2715,-1.4115,1.67869
285,240,True,-0.2855,-1.4404,1.40877
290,241,True,0.2154,-0.5987,0.26299
290,242,True,-0.1301,-0.6354,0.15561
295,244,True,-0.092,-0.5445,-0.11302
295,243,True,0.2547,-0.5062,0.01866
300,251,True,0.0589,-0.181,0.40251
300,252,True,-0.1959,-0.2005,0.41811
305,257,True,0.0674,-0.0829,0.12598
305,256,True,0.1686,-0.1178,-0.09864
310,261,True,-0.062,-0.1336,-0.34759
310,260,True,0.1682,-0.1606,-0.53282
315,268,True,0.0744,-0.4578,0.11798
315,269,True,-0.1974,-0.4629,-0.1053
320,288,True,0.6622,-0.4111,1.94502
320,242,True,0.105,-0.9432,2.26506
325,239,True,-0.1301,-0.0472,2.90595
325,238,True,0.1428,-0.0192,3.03426
330,236,True,-0.0847,-0.0553,-2.96092
330,235,True,0.1676,-0.0292,-2.95463
335,231,True,-0.0029,-0.212,-3.13629
335,230,True,0.2167,-0.133,-2.87659
340,225,True,0.0489,-0.0864,2.69767
340,226,True,-0.0716,-0.0803,2.9234
345,221,True,0.1671,0.2673,-3.13394
345,222,True,-0.0941,0.2641,-3.11653
350,217,True,-0.0672,0.0566,-2.94143
350,216,True,0.1872,0.0731,-2.86376
355,213,True,-0.0042,0.3691,2.19058
355,190,True,0.0695,-0.3976,1.03518
360,189,True,0.0793,-0.0497,-0.2391
360,188,True,-0.1051,-0.0954,-0.51258
365,210,True,-0.0064,0.0448,0.59279
365,194,True,-0.0188,0.1096,0.22454
370,207,True,-0.0105,0.0353,0.1718
370,208,True,0.1731,-0.0218,-0.12923
375,203,True,-0.1091,-0.0402,-0.01923
375,202,True,0.1491,-0.035,-0.13753
380,206,True,-0.126,0.2472,-0.71225
380,207,True,0.1941,0.2738,-0.84584
385,189,True,-0.0881,-0.1759,-2.54328
385,190,True,0.2212,-0.1453,-2.3434
390,212,True,-0.0624,0.0047,-2.411
390,208,True,-0.024,0.1865,-1.6537
395,178,True,0.039,-0.0862,3.00026
395,179,True,-0.2424,-0.0984,2.94849
400,173,True,0.0729,-0.0761,-3.11077
400,174,True,-0.1853,-0.1146,-3.08446
405,168,True,-0.1302,-0.2703,3.08202
405,167,True,-0.0528,-0.2358,2.83193
410,162,True,0.0505,0.1586,2.35652
410,163,True,-0.2065,0.1409,2.36753
415,146,True,-0.1247,0.547,-1.35552
415,145,True,0.0983,0.5752,-1.24983
420,144,True,0.0871,-0.0359,-2.54801
420,145,True,-0.1623,-0.0542,-2.41459
425,140,True,-0.0988,-0.069,2.97393
425,139,True,0.0389,-0.0839,2.7459
430,135,True,-0.096,0.0058,2.96367
430,134,True,0.2005,0.0396,2.94535
435,130,True,0.0207,0.0171,-3.13797
435,129,True,0.3163,0.0162,3.07917
440,125,True,0.065,0.0232,3.09141
440,126,True,-0.1963,0.0066,3.11958
445,114,True,0.1886,0.1529,-3.09959
445,115,True,-0.0494,0.1414,-3.12574
450,110,True,-0.1119,0.0565,2.847
450,109,True,0.1623,0.0414,2.5839
455,102,True,0.0047,-0.0713,0.34325
455,103,True,0.1487,-0.0902,0.1075
460,109,True,0.0927,-0.2,2.66389
460,110,True,-0.0843,-0.2019,2.9374
465,96,True,0.0501,-0.2513,-2.90503
465,97,True,-0.156,-0.2586,-2.75287
470,34,True,0.0691,0.3608,-0.09941
470,35,True,-0.2285,0.343,-0.00559
475,39,True,-0.1435,0.3759,-0.08738
475,75,True,-0.2495,-0.3592,1.21675
480,72,True,-0.002,0.0994,-9e-05
480,43,True,0.065,0.1946,-0.23478
485,67,True,-0.0611,0.034,0.003
485,48,True,0.0799,0.1718,-0.00696
490,52,True,-0.0338,-0.0226,-0.49474
490,51,True,0.0856,-0.0409,-0.71502
495,67,True,0.0127,0.1448,0.09961
495,66,True,-0.2088,0.1256,-0.0861
500,44,True,0.1038,0.0206,-0.08712
500,71,True,-0.0985,-0.1033,-0.01737
505,74,True,-0.0499,0.1939,-1.23634
505,75,True,0.0056,0.2545,-1.01212
510,37,True,0.0394,-0.0016,-3.02962
510,85,True,-0.0075,-0.1328,0.59412
515,91,True,-0.0406,0.1104,0.45037
515,90,True,0.1396,0.0656,0.2236
520,30,True,-0.0666,0.2306,1.58546
520,29,True,0.139,0.2164,1.35171
525,28,True,0.0096,-0.0184,0.43935
525,27,True,0.1259,-0.0343,0.22071
530,22,True,0.149,0.0712,-0.1979
530,23,True,-0.1302,0.0484,-0.17513
535,17,True,0.0299,0.0591,0.13966
535,18,True,-0.226,0.047,0.14257
540,3,True,-0.1216,0.0488,-0.01848
540,12,True,-0.1186,0.0552,-0.01873
545,12,True,-0.1206,0.0283,-0.00746
545,3,True,-0.1257,0.0205,-0.00705
