query,cand,accepted,rx,ry,rth
84,54,True,-0.1062,0.1429,0.02116
166,39,False,,,
167,35,False,,,
231,110,False,,,
344,52,False,,,
344,49,False,,,
345,53,False,,,
381,316,True,0.1042,-0.0266,0.03361
447,50,False,,,
447,52,False,,,
451,220,False,,,
451,225,False,,,
452,225,False,,,
453,224,False,,,
453,223,False,,,
454,222,False,,,
454,221,False,,,
455,218,True,0.261,-0.0835,0.10368
455,228,True,0.1704,-0.0003,-0.06741
456,231,False,,,
456,227,False,,,
457,231,False,,,
457,232,False,,,
459,232,False,,,
459,231,False,,,
475,250,True,-0.0844,-0.0374,0.08977
478,250,True,0.0559,-0.0198,0.07573
575,121,False,,,
594,41,False,,,
595,36,False,,,
595,175,False,,,
600,174,False,,,
600,176,False,,,
606,49,False,,,
606,52,False,,,
608,50,False,,,
610,54,False,,,
610,84,False,,,
612,83,False,,,
612,54,False,,,
613,56,False,,,
613,83,False,,,
614,83,False,,,
615,57,False,,,
615,81,False,,,
616,80,False,,,
616,59,False,,,
617,80,False,,,
618,60,False,,,
618,63,False,,,
619,61,False,,,
621,74,False,,,
621,61,False,,,
626,76,False,,,
626,77,False,,,
628,77,False,,,
634,79,False,,,
635,82,False,,,
635,54,False,,,
636,83,False,,,
636,84,False,,,
650,97,True,-0.5801,-0.1509,0.08251
658,102,False,,,
658,533,False,,,
659,102,False,,,
660,425,False,,,
678,24,False,,,
682,17,True,-0.0712,0.0367,-0.0051
683,11,True,0.0245,0.0632,-0.02819
683,1,True,0.0355,0.04,-0.02127
684,14,True,-0.029,0.057,-0.0276
684,1,True,-0.0284,0.0496,-0.02459
685,2,True,-0.0882,0.0585,-0.02522
686,12,True,-0.0876,0.0496,-0.02279
688,2,True,-0.0903,0.0627,-0.0262
689,2,True,-0.0889,0.058,-0.02461
689,7,True,-0.0853,0.0541,-0.02395
690,7,True,-0.0882,0.0537,-0.02373
690,2,True,-0.0864,0.0542,-0.0239
693,2,True,-0.0902,0.0592,-0.02533
694,2,True,-0.0874,0.0521,-0.02328
695,2,True,-0.0856,0.057,-0.02499
695,12,True,-0.0867,0.0524,-0.02371
696,13,True,-0.0895,0.0609,-0.02559
696,1,True,-0.0875,0.0608,-0.02577
