query,cand,accepted,rx,ry,rth
84,54,True,-0.1235,0.0338,0.06003
166,39,False,,,
167,35,False,,,
231,110,False,,,
344,52,False,,,
344,49,False,,,
345,53,False,,,
381,316,False,,,
447,50,False,,,
447,52,False,,,
451,220,True,0.4192,1.5336,0.39047
451,225,True,0.8831,1.1398,0.04259
452,225,True,1.1134,1.3309,0.01213
453,224,True,0.8048,1.4201,0.0853
453,223,True,0.8107,1.4181,0.0809
454,222,True,0.5795,1.4716,-0.07006
454,221,True,0.422,1.5099,0.03248
455,218,True,0.0009,1.4795,0.14436
455,228,True,0.2002,1.7915,0.0402
456,231,True,-0.1641,1.217,0.25219
456,227,False,,,
457,231,True,-0.2345,1.1909,0.03613
457,232,True,-0.277,1.0466,0.20505
459,232,True,-0.6319,0.9409,-0.09228
459,231,True,-0.6274,1.1754,-0.27744
475,250,False,,,
478,250,False,,,
575,121,True,0.1859,-0.0738,0.501
594,41,True,-0.6868,0.1717,0.01359
595,36,True,1.0194,0.1642,-0.41643
595,175,False,,,
600,174,False,,,
600,176,False,,,
606,49,True,-0.1344,0.2508,-0.10866
606,52,True,-0.6507,0.0605,0.35682
608,50,True,0.052,0.1886,-0.23095
610,54,True,-0.3749,0.0521,0.21024
610,84,True,-0.2418,0.0308,0.14807
612,83,True,-0.1792,0.0967,-0.02284
612,54,True,0.0117,0.1103,-0.09014
613,56,True,-0.2037,0.1201,-0.03489
613,83,True,0.1227,0.0385,-0.14271
614,83,True,0.353,0.0184,-0.06612
615,57,True,-0.0259,0.1253,0.01369
615,81,True,0.007,0.0591,-0.01279
616,80,True,-0.0868,0.0762,0.04414
616,59,True,-0.3411,0.1323,0.03017
617,80,True,0.2055,0.0716,0.00203
618,60,True,-0.1342,0.1029,-0.12157
618,63,True,-0.5768,-0.0557,0.45864
619,61,True,-0.0776,0.1143,-0.15923
621,74,True,-0.2243,-0.1956,0.02749
621,61,True,0.1876,0.0292,-0.49395
626,76,True,-0.2158,-0.0391,0.16316
626,77,True,-0.0641,-0.0373,-0.20957
628,77,True,-0.4309,0.0034,0.14263
634,79,True,-0.4201,-0.0049,0.07586
635,82,True,0.1645,-0.0021,0.14834
635,54,True,0.5774,-0.1008,0.01511
636,83,True,0.1324,-0.0727,0.05879
636,84,True,0.4231,-0.1807,-0.06729
650,97,True,-0.2585,-0.01,-0.02541
658,102,False,,,
658,533,False,,,
659,102,False,,,
660,425,False,,,
678,24,False,,,
682,17,True,-0.1293,0.0538,0.0008
683,11,True,0.0034,0.1021,-0.03162
683,1,True,0.0038,0.099,-0.03029
684,14,True,-0.0582,0.0953,-0.0315
684,1,True,-0.0646,0.09,-0.0308
685,2,True,-0.1147,0.0872,-0.02687
686,12,True,-0.1212,0.0881,-0.02745
688,2,True,-0.106,0.0851,-0.02706
689,2,True,-0.1074,0.0849,-0.02676
689,7,True,-0.0985,0.0885,-0.02731
690,7,True,-0.1035,0.0848,-0.02626
690,2,True,-0.1086,0.0825,-0.02664
693,2,True,-0.1259,0.0812,-0.0243
694,2,True,-0.1247,0.0823,-0.02674
695,2,True,-0.1307,0.0818,-0.02454
695,12,True,-0.1236,0.089,-0.02592
696,13,True,-0.1182,0.086,-0.02798
696,1,True,-0.1239,0.0821,-0.02833
