query,cand,accepted,rx,ry,rth
84,54,True,0.0286,0.6345,0.02413
166,39,False,,,
167,35,False,,,
231,110,False,,,
344,52,False,,,
344,49,False,,,
345,53,False,,,
381,316,True,-1.3921,-0.6178,0.01874
447,50,False,,,
447,52,False,,,
451,220,True,-0.1831,1.3208,0.46903
451,225,True,0.2131,1.162,0.11912
452,225,True,0.85,1.1676,0.001
453,224,True,0.5138,1.2561,0.08959
453,223,True,0.501,1.1806,0.07387
454,222,True,0.3758,1.3093,-0.04872
454,221,True,0.127,1.341,0.07336
455,218,True,-0.3482,1.5966,0.16654
455,228,True,0.1924,1.9886,0.00842
456,231,True,-0.0717,1.346,0.20999
456,227,True,0.2764,1.7055,-0.38169
457,231,True,-0.1147,1.218,-0.00484
457,232,True,-0.1633,1.1002,0.16252
459,232,True,-0.6226,0.8945,-0.05294
459,231,True,-0.6028,1.0921,-0.22033
475,250,True,0.186,0.1807,0.05995
478,250,False,,,
575,121,False,,,
594,41,False,,,
595,36,False,,,
595,175,False,,,
600,174,False,,,
600,176,False,,,
606,49,False,,,
606,52,False,,,
608,50,False,,,
610,54,False,,,
610,84,False,,,
612,83,True,-0.2209,0.0783,-0.04055
612,54,False,,,
613,56,True,-0.1629,0.7348,-0.06851
613,83,True,0.1154,0.0366,-0.13397
614,83,True,0.2901,-0.0405,-0.01115
615,57,True,0.1191,0.7487,-0.00696
615,81,True,-0.0749,0.0308,0.04689
616,80,True,-0.2015,0.011,0.02766
616,59,True,-0.3579,0.6992,0.01599
617,80,True,0.0596,0.0395,0.07171
618,60,True,-0.2544,0.6563,-0.07959
618,63,True,-0.9359,0.2327,0.50955
619,61,True,-0.3199,0.6154,-0.12734
621,74,True,-0.4737,-0.1793,0.08347
621,61,True,-0.0995,0.4853,-0.49193
626,76,True,-0.1902,-0.0238,0.14106
626,77,True,-0.048,-0.048,-0.23905
628,77,True,-0.2705,0.139,0.15382
634,79,True,0.002,0.0005,0.17708
635,82,True,0.5572,0.0108,0.21507
635,54,True,1.216,0.4375,0.00749
636,83,True,0.5914,-0.1151,0.09334
636,84,True,0.8855,-0.2458,-0.04641
650,97,True,-0.3254,0.5011,-0.01216
658,102,False,,,
658,533,False,,,
659,102,True,0.2577,-0.3904,-0.15089
660,425,False,,,
678,24,True,-0.6219,0.482,0.11259
682,17,True,0.5901,0.9062,-0.07778
683,11,False,,,
683,1,False,,,
684,14,False,,,
684,1,False,,,
685,2,False,,,
686,12,False,,,
688,2,True,0.3932,0.9518,-0.07256
689,2,True,0.4427,0.9598,-0.07366
689,7,True,0.4899,0.8635,-0.12956
690,7,True,0.2394,0.6479,-0.15384
690,2,True,0.1614,0.6326,-0.0795
693,2,False,,,
694,2,False,,,
695,2,False,,,
695,12,False,,,
696,13,False,,,
696,1,False,,,
