query,cand,accepted,rx,ry,rth
24,0,False,,,
24,4,False,,,
24,1,False,,,
28,0,False,,,
28,5,False,,,
28,4,False,,,
32,0,False,,,
32,9,False,,,
32,5,False,,,
36,0,False,,,
36,9,False,,,
36,5,False,,,
40,0,False,,,
40,9,False,,,
40,5,False,,,
44,12,False,,,
44,0,False,,,
44,11,False,,,
48,16,False,,,
48,15,False,,,
48,14,False,,,
52,18,False,,,
52,19,False,,,
52,17,False,,,
56,17,False,,,
56,18,False,,,
56,16,False,,,
60,38,False,,,
60,17,False,,,
60,37,False,,,
64,38,False,,,
64,37,False,,,
64,32,False,,,
68,38,False,,,
68,37,False,,,
68,36,False,,,
72,42,False,,,
72,41,False,,,
72,40,False,,,
76,40,False,,,
76,39,False,,,
76,38,False,,,
80,33,False,,,
80,34,False,,,
80,32,False,,,
84,29,False,,,
84,28,False,,,
84,27,False,,,
88,28,False,,,
88,29,False,,,
88,27,False,,,
92,29,False,,,
92,30,False,,,
92,31,False,,,
96,30,False,,,
96,31,False,,,
96,29,False,,,
100,30,False,,,
100,31,False,,,
100,32,False,,,
104,31,False,,,
104,30,False,,,
128,108,False,,,
132,109,False,,,
132,110,False,,,
132,111,False,,,
136,109,False,,,
136,110,False,,,
136,111,False,,,
140,109,False,,,
140,110,False,,,
140,111,False,,,
144,114,False,,,
144,113,False,,,
144,109,False,,,
148,118,False,,,
148,117,False,,,
148,116,False,,,
152,122,False,,,
152,121,False,,,
152,120,False,,,
156,124,False,,,
156,123,False,,,
156,125,False,,,
160,126,False,,,
160,125,False,,,
160,127,False,,,
164,127,False,,,
164,128,False,,,
164,126,False,,,
168,128,False,,,
168,129,False,,,
168,127,False,,,
172,129,False,,,
172,128,False,,,
172,130,False,,,
176,129,False,,,
176,130,False,,,
176,131,False,,,
180,129,False,,,
180,130,False,,,
180,128,False,,,
184,129,False,,,
184,128,False,,,
184,130,False,,,
188,156,False,,,
188,155,False,,,
188,128,False,,,
192,172,False,,,
192,171,False,,,
192,160,False,,,
196,172,False,,,
196,171,False,,,
196,164,False,,,
200,168,False,,,
200,172,False,,,
200,171,False,,,
204,170,False,,,
204,169,False,,,
204,172,False,,,
208,174,False,,,
208,173,False,,,
208,172,False,,,
212,182,False,,,
212,181,False,,,
212,180,False,,,
216,181,False,,,
216,180,False,,,
216,182,False,,,
220,180,False,,,
220,181,False,,,
220,179,False,,,
224,179,False,,,
224,178,False,,,
224,177,False,,,
256,226,False,,,
256,225,False,,,
256,224,False,,,
260,230,False,,,
260,229,False,,,
260,228,False,,,
264,232,False,,,
264,231,False,,,
264,233,False,,,
268,231,False,,,
268,232,False,,,
268,230,False,,,
272,231,False,,,
272,230,False,,,
272,232,False,,,
276,230,False,,,
276,231,False,,,
276,232,False,,,
280,232,True,0.0977,-0.4611,0.26432
280,233,True,-0.1059,-0.4459,0.00184
280,231,False,,,
284,236,False,,,
284,237,False,,,
284,238,False,,,
288,243,False,,,
288,244,True,-0.1612,-0.1499,0.48962
288,242,False,,,
292,247,True,0.1083,0.0247,0.21608
292,248,False,,,
292,246,False,,,
296,250,True,0.0295,0.0659,0.00688
296,249,True,0.1578,-0.0158,-0.27702
296,251,True,-0.0427,0.0985,0.23493
300,254,True,-0.0903,0.0188,-0.05283
300,253,True,0.1765,0.0008,-0.18372
300,255,True,-0.3821,0.0682,0.1416
304,257,True,0.0443,-0.1711,-0.2923
304,256,False,,,
304,255,False,,,
308,260,False,,,
308,259,False,,,
308,261,False,,,
312,280,False,,,
312,279,False,,,
312,281,False,,,
316,228,False,,,
316,229,False,,,
316,227,False,,,
320,224,False,,,
320,223,False,,,
320,225,False,,,
324,220,False,,,
324,221,False,,,
324,219,False,,,
328,216,False,,,
328,217,False,,,
328,218,False,,,
332,213,False,,,
332,214,False,,,
332,212,False,,,
336,209,False,,,
336,210,False,,,
336,208,False,,,
340,205,False,,,
340,206,False,,,
340,191,False,,,
344,198,False,,,
344,193,False,,,
344,194,False,,,
348,198,False,,,
348,194,False,,,
348,197,False,,,
352,202,False,,,
