kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
0,1782491776.429572,0.0,0.0,0.0,lidar,native_s2s,pnp,proximity,-1.0
1,1782491778.508254,-0.0874,-0.1,0.00211,lidar,native_s2s,pnp,proximity,0.9764
2,1782491780.578155,-0.1089,-0.1205,0.00126,lidar,native_s2s,pnp,proximity,0.9776
3,1782491782.64582,-0.1346,-0.1455,0.00141,lidar,native_s2s,pnp,proximity,0.9768
4,1782491784.712893,-0.1536,-0.1647,0.00169,lidar,native_s2s,pnp,proximity,0.9792
5,1782491786.785621,-0.1753,-0.1841,0.00031,lidar,native_s2s,pnp,proximity,0.9413
6,1782491788.863947,-0.1968,-0.2069,0.00211,lidar,native_s2s,pnp,proximity,0.9414
7,1782491790.949747,-0.2153,-0.2222,-5e-05,lidar,native_s2s,pnp,proximity,0.9611
8,1782491793.038412,-0.2433,-0.2463,0.00097,lidar,native_s2s,pnp,proximity,0.9335
9,1782491795.111565,-0.269,-0.2801,0.004,lidar,native_s2s,pnp,proximity,0.9724
10,1782491797.198981,-0.2921,-0.3009,0.00298,lidar,native_s2s,pnp,proximity,0.9691
11,1782491799.293491,-0.3043,-0.3243,0.00128,lidar,native_s2s,pnp,proximity,0.9781
12,1782491801.364731,-0.2001,-0.3647,-0.05527,lidar,native_s2s,pnp,proximity,0.9145
13,1782491803.036766,0.0604,-0.3929,-0.16019,lidar,native_s2s,pnp,proximity,0.8212
14,1782491804.294186,0.3075,-0.4309,-0.26026,lidar,native_s2s,pnp,proximity,0.6911
15,1782491805.654297,0.5654,-0.4753,-0.1716,lidar,native_s2s,pnp,proximity,0.5987
16,1782491807.017117,0.8283,-0.4983,-0.18619,lidar,native_s2s,pnp,proximity,0.532
17,1782491808.165888,1.269,-0.5439,-0.14136,lidar,native_s2s,pnp,proximity,0.5338
18,1782491808.899618,1.5236,-0.3411,-0.06763,lidar,native_s2s,pnp,proximity,0.5204
19,1782491809.004469,1.2383,-0.5345,-0.0804,lidar,native_s2s,pnp,proximity,0.5011
20,1782491809.117575,1.5753,-0.3451,-0.07337,lidar,native_s2s,pnp,proximity,0.5099
21,1782491809.740534,1.4006,-0.5312,-0.09859,lidar,native_s2s,pnp,proximity,0.5173
