query,cand,accepted,rx,ry,rth
40,0,False,,,
45,15,False,,,
45,14,False,,,
50,20,False,,,
50,18,False,,,
55,25,False,,,
55,24,False,,,
60,29,False,,,
60,22,False,,,
65,21,False,,,
65,22,False,,,
70,16,False,,,
70,17,False,,,
75,16,False,,,
75,15,False,,,
80,21,False,,,
80,17,False,,,
85,54,False,,,
85,55,False,,,
90,50,False,,,
90,51,False,,,
95,44,False,,,
95,46,False,,,
100,40,False,,,
100,41,False,,,
105,41,False,,,
105,40,False,,,
110,42,False,,,
110,43,False,,,
115,43,False,,,
115,42,False,,,
155,122,False,,,
160,130,False,,,
160,129,False,,,
165,135,False,,,
165,134,False,,,
170,138,False,,,
170,137,False,,,
175,139,False,,,
175,138,False,,,
180,142,False,,,
180,141,False,,,
185,144,False,,,
185,143,False,,,
190,144,False,,,
190,145,False,,,
195,145,False,,,
195,146,False,,,
200,144,False,,,
200,145,False,,,
205,173,False,,,
205,144,False,,,
210,178,False,,,
210,177,False,,,
215,183,False,,,
215,182,False,,,
220,183,False,,,
220,184,False,,,
225,187,False,,,
225,186,False,,,
230,191,False,,,
230,192,False,,,
235,192,False,,,
235,193,False,,,
240,193,False,,,
240,194,False,,,
275,245,False,,,
275,244,False,,,
280,249,False,,,
280,250,False,,,
285,248,False,,,
285,247,False,,,
290,247,False,,,
290,248,False,,,
295,246,False,,,
295,245,False,,,
300,246,False,,,
300,247,False,,,
305,254,False,,,
305,255,False,,,
310,259,False,,,
310,258,False,,,
315,262,False,,,
315,263,True,0.5827,-0.2682,-0.6317
320,270,True,0.0693,0.0371,-0.05026
320,271,True,-0.1543,0.0503,0.04861
325,275,True,0.0841,-0.2129,-0.33277
325,276,True,-0.1413,-0.1926,-0.20231
330,299,False,,,
330,300,False,,,
335,296,False,,,
335,297,False,,,
340,242,False,,,
340,241,False,,,
345,239,False,,,
345,238,False,,,
350,232,False,,,
350,231,False,,,
355,193,False,,,
355,194,False,,,
360,199,False,,,
360,198,False,,,
365,204,False,,,
365,205,False,,,
370,204,False,,,
370,205,False,,,
375,204,True,0.0365,0.1183,-0.32635
375,199,False,,,
380,187,False,,,
380,186,True,0.2981,0.2747,0.02662
385,192,False,,,
385,197,True,-0.0652,0.1336,-0.0317
390,191,False,,,
390,190,False,,,
395,201,False,,,
395,202,False,,,
400,181,False,,,
400,182,False,,,
405,176,False,,,
405,177,False,,,
410,179,False,,,
410,180,False,,,
415,129,False,,,
415,373,False,,,
420,129,False,,,
420,373,False,,,
425,129,False,,,
425,373,False,,,
430,129,False,,,
430,400,False,,,
435,129,False,,,
435,405,False,,,
440,129,False,,,
440,410,False,,,
445,129,False,,,
445,411,False,,,
450,129,False,,,
450,411,False,,,
455,129,False,,,
460,129,False,,,
485,453,False,,,
490,459,False,,,
490,456,False,,,
495,464,False,,,
495,11,False,,,
500,11,False,,,
505,11,False,,,
510,11,False,,,
510,479,False,,,
515,485,False,,,
515,484,False,,,
520,487,False,,,
520,486,False,,,
525,482,False,,,
525,484,False,,,
530,479,False,,,
530,480,False,,,
535,478,False,,,
535,479,False,,,
540,480,False,,,
540,479,False,,,
545,11,False,,,
545,504,False,,,
550,11,False,,,
550,504,False,,,
555,11,False,,,
555,504,False,,,
560,11,False,,,
560,504,False,,,
