query,cand,accepted,rx,ry,rth
50,18,True,0.7104,-2.8606,3.0937
50,17,True,1.2738,-2.7236,-3.08205
55,17,True,0.3004,-2.6239,2.45353
55,18,True,-0.2433,-2.6567,2.34747
60,17,True,0.4163,-2.7338,2.69758
60,18,True,-0.1394,-2.7782,2.59146
65,33,True,1.9347,-1.4262,-1.54647
65,32,True,2.0518,-1.623,-1.64628
70,40,True,0.3866,-0.0549,-1.27213
70,39,True,0.6245,-0.1461,-1.45714
75,41,True,-0.0755,-0.0237,-2.21222
75,40,True,0.0741,-0.0298,-2.42342
80,33,True,0.0741,-0.1547,3.12954
80,34,True,-0.1918,-0.1724,-3.13869
85,28,False,,,
85,29,False,,,
90,29,False,,,
90,28,False,,,
95,30,False,,,
95,31,False,,,
100,30,False,,,
100,31,False,,,
145,115,False,,,
145,114,False,,,
150,120,False,,,
150,119,False,,,
155,123,True,0.1118,0.4711,1.41791
155,124,True,-0.2122,0.4506,1.53399
160,126,False,,,
160,125,False,,,
165,127,False,,,
165,128,False,,,
170,129,False,,,
170,128,False,,,
175,129,False,,,
175,130,False,,,
180,129,True,0.0927,4.0629,-0.22852
180,130,True,-0.9999,3.9713,0.00533
185,128,False,,,
185,129,False,,,
190,158,True,3.2306,0.3689,0.80016
190,157,True,3.5028,-0.1228,0.65007
195,163,False,,,
195,162,False,,,
200,168,True,0.3664,0.4953,1.0096
200,167,True,0.6751,0.4606,0.91518
205,170,True,0.1037,0.6346,0.59137
205,173,True,-0.2091,0.6191,0.69031
210,180,False,,,
210,174,False,,,
215,181,False,,,
215,180,False,,,
220,180,False,,,
220,179,False,,,
260,230,False,,,
260,229,False,,,
265,232,False,,,
265,231,False,,,
270,231,False,,,
270,230,False,,,
275,230,True,0.2355,-1.2108,1.67323
275,231,True,-0.2575,-1.2426,1.45333
280,232,True,0.1088,-0.4483,0.23007
280,231,True,0.3551,-0.3636,0.46872
285,240,True,-0.0031,-0.606,0.45124
285,239,True,0.0241,-0.6191,0.23509
290,245,True,0.0773,-0.1022,0.15107
290,246,True,-0.1713,-0.1259,0.1938
295,250,True,-0.0323,0.0432,0.22626
295,249,True,0.0622,0.0293,-0.02785
300,254,True,-0.0804,0.0252,-0.07393
300,253,True,0.2026,0.0264,-0.20291
305,258,True,0.0542,-0.1894,-0.26828
305,259,True,-0.2328,-0.2093,-0.44474
310,280,True,0.3231,-0.2109,2.28557
310,279,True,0.5447,-0.3003,2.08713
315,229,True,0.0054,0.0423,3.05709
315,230,True,-0.2336,0.0386,2.84392
320,224,True,-0.0217,0.0306,-3.0057
320,223,True,0.2409,0.0672,-2.88656
325,219,True,0.1231,0.0689,2.98747
325,220,True,-0.1527,0.0529,2.9954
330,215,True,-0.105,0.1189,3.07677
330,214,True,0.1786,0.144,3.05715
335,210,True,0.0613,0.0153,-3.08701
335,211,True,-0.1965,0.0039,-3.06756
340,205,True,0.1335,0.095,2.82164
340,206,True,-0.1226,0.0837,2.838
345,197,True,-0.0256,0.2318,0.38481
345,194,True,0.0392,0.2426,0.20681
350,201,True,-0.0246,0.2118,0.24351
350,200,True,-0.1223,0.2009,0.03326
355,202,True,-0.1262,0.007,-0.56437
355,187,True,-0.0449,0.1455,-0.35119
360,184,True,-0.0002,0.0653,0.02211
360,185,True,0.1378,0.0336,-0.23211
365,176,True,0.0305,0.0925,-0.29669
365,179,True,-0.0976,0.0707,-0.14561
370,182,True,0.0605,0.3319,-1.25437
370,183,True,0.2505,0.2844,-1.49111
375,185,True,0.0755,0.087,-2.92077
375,184,True,-0.0726,0.1013,-2.6665
380,166,True,-0.0539,-0.0161,-3.10512
380,165,True,0.2102,0.0039,-3.11254
385,163,True,-0.6109,-0.0548,3.11822
385,164,True,-0.8681,-0.082,3.13391
390,155,True,0.183,-0.5266,-2.74037
390,161,True,-1.08,-0.6426,-2.17281
395,124,True,1.1839,0.2709,-0.16048
395,153,True,-0.4625,-1.2722,-2.12953
400,124,True,1.7811,-0.1887,-1.26297
400,151,True,-1.5663,-1.0249,2.57935
405,149,True,-1.3261,-0.7674,1.63487
405,150,True,-1.6144,-0.4401,1.39609
410,147,True,-0.4969,-0.066,0.63134
410,148,True,-0.7419,-0.1464,0.7453
415,124,True,-0.1026,-0.1882,2.64865
415,123,True,0.1464,-0.1779,2.53202
420,121,True,-0.3351,-0.0205,2.9865
420,122,True,-0.5303,-0.1059,-3.07565
425,112,False,,,
425,119,False,,,
430,106,False,,,
430,107,False,,,
435,104,False,,,
435,105,False,,,
440,102,False,,,
440,103,False,,,
445,100,False,,,
445,101,False,,,
450,98,False,,,
450,99,False,,,
455,96,False,,,
455,97,False,,,
460,80,False,,,
460,94,False,,,
465,33,True,-0.2571,0.0299,-0.31599
465,80,True,0.3393,-0.1793,2.83708
470,39,True,-0.0013,-0.0629,0.03411
470,75,True,0.2756,-0.1584,2.64344
475,70,True,0.3864,0.0517,0.47721
475,41,True,0.4813,-0.2956,-0.5839
480,50,True,0.0469,-0.0757,-0.04704
480,65,True,0.3303,-0.0729,-0.016
485,55,True,0.1309,-0.088,-0.10831
485,60,True,0.2549,-0.1862,-0.34782
490,53,True,-0.0813,0.018,0.01575
490,54,True,-0.1685,-0.0069,0.22964
495,48,True,0.0065,-0.0386,0.10841
495,65,True,-0.237,-0.0859,0.07455
500,70,True,-0.2044,0.077,-0.35634
500,73,True,0.1086,0.1891,0.30258
505,472,True,0.0164,-0.1371,-2.52993
505,473,True,-0.1247,-0.1432,-2.31692
510,80,True,-0.0658,0.2396,0.50429
510,79,True,0.1875,0.2612,0.55793
515,31,True,-0.7283,-0.4296,-3.00974
515,463,True,-0.1,-0.8937,-2.38461
520,18,False,,,
520,29,True,-1.1833,-0.6856,-2.20982
525,18,True,-0.0002,0.1653,3.09434
525,17,True,0.2421,0.2091,-3.08197
530,11,True,0.3975,-0.0086,3.0889
530,15,True,-0.51,-0.0078,-3.0058
535,11,True,-0.0657,-0.0017,3.08328
535,13,True,-0.4517,-0.0584,-3.04645
540,11,True,-0.074,-0.0082,3.08368
540,12,True,-0.1884,-0.0152,3.14119
