kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
0,1782491776.429572,0.0,0.0,0.0,lidar,native_s2m,icp,proximity,-1.0
1,1782491778.508254,-0.0228,0.0007,0.00541,lidar,native_s2m,icp,proximity,0.9352
2,1782491780.578155,-0.0245,-0.003,0.0049,lidar,native_s2m,icp,proximity,0.9377
3,1782491782.64582,-0.0232,-0.0058,0.00484,lidar,native_s2m,icp,proximity,0.9431
4,1782491784.712893,-0.0226,-0.0032,0.00591,lidar,native_s2m,icp,proximity,0.9353
5,1782491786.785621,-0.0223,-0.0048,0.00418,lidar,native_s2m,icp,proximity,0.9174
6,1782491788.863947,-0.0235,-0.0035,0.00608,lidar,native_s2m,icp,proximity,0.9106
7,1782491790.949747,-0.0264,-0.0035,0.00542,lidar,native_s2m,icp,proximity,0.9297
8,1782491793.038412,-0.0304,-0.0176,0.01049,lidar,native_s2m,icp,proximity,0.8963
9,1782491795.111565,-0.0211,-0.0046,0.00706,lidar,native_s2m,icp,proximity,0.9407
10,1782491797.198981,-0.0238,-0.0043,0.00672,lidar,native_s2m,icp,proximity,0.9392
11,1782491799.293491,-0.0182,-0.0048,0.00459,lidar,native_s2m,icp,proximity,0.9354
12,1782491801.364731,0.0958,-0.0081,-0.05287,lidar,native_s2m,icp,proximity,0.8732
13,1782491802.931714,0.3584,-0.0237,-0.15002,lidar,native_s2m,icp,proximity,0.8531
14,1782491804.294186,0.6198,-0.0638,-0.2491,lidar,native_s2m,icp,proximity,0.8613
15,1782491805.654297,0.8791,-0.1014,-0.18223,lidar,native_s2m,icp,proximity,0.8507
16,1782491807.017117,1.1467,-0.1329,-0.19858,lidar,native_s2m,icp,proximity,0.8702
17,1782491808.165888,1.4068,-0.1553,-0.14359,lidar,native_s2m,icp,proximity,0.8803
18,1782491809.214728,1.6711,-0.1487,-0.03615,lidar,native_s2m,icp,proximity,0.8967
19,1782491810.368818,1.9335,-0.1378,-0.0498,lidar,native_s2m,icp,proximity,0.8942
20,1782491811.516842,2.1926,-0.1318,-0.06424,lidar,native_s2m,icp,proximity,0.8904
21,1782491812.668418,2.457,-0.1374,-0.08122,lidar,native_s2m,icp,proximity,0.8644
22,1782491813.714547,2.7083,-0.1364,-0.07505,lidar,native_s2m,icp,proximity,0.8745
23,1782491814.762991,2.9659,-0.1329,-0.09403,lidar,native_s2m,icp,proximity,0.8836
24,1782491815.812523,3.2181,-0.1441,-0.10964,lidar,native_s2m,icp,proximity,0.8766
25,1782491816.949096,3.4758,-0.1629,-0.17308,lidar,native_s2m,icp,proximity,0.8154
26,1782491818.197215,3.7295,-0.2367,-0.36416,lidar,native_s2m,icp,proximity,0.8751
27,1782491819.244461,3.911,-0.3255,-0.58527,lidar,native_s2m,icp,proximity,0.863
28,1782491820.292357,4.042,-0.4407,-0.82523,lidar,native_s2m,icp,proximity,0.8829
29,1782491821.644819,4.1725,-0.6205,-1.03525,lidar,native_s2m,icp,proximity,0.8995
30,1782491822.791956,4.2584,-0.7913,-1.25819,lidar,native_s2m,icp,proximity,0.8968
31,1782491824.877925,4.2719,-0.8601,-1.36978,lidar,native_s2m,icp,proximity,0.9399
32,1782491826.842227,4.2905,-1.0409,-1.59976,lidar,native_s2m,icp,proximity,0.8961
33,1782491828.926563,4.2724,-1.3075,-1.7,lidar,native_s2m,icp,proximity,0.949
34,1782491830.181165,4.2545,-1.5706,-1.71305,lidar,native_s2m,icp,proximity,0.9139
35,1782491831.121279,4.2375,-1.8242,-1.73033,lidar,native_s2m,icp,proximity,0.9233
36,1782491832.17397,4.2139,-2.0762,-1.74435,lidar,native_s2m,icp,proximity,0.9123
37,1782491834.258154,4.1959,-2.248,-1.75573,lidar,native_s2m,icp,proximity,0.9418
38,1782491836.35167,4.1933,-2.2696,-1.76603,lidar,native_s2m,icp,proximity,0.946
39,1782491838.451349,4.1934,-2.2758,-1.76052,lidar,native_s2m,icp,proximity,0.9522
40,1782491840.127236,4.126,-2.5205,-1.94642,lidar,native_s2m,icp,proximity,0.9286
41,1782491840.952377,4.0495,-2.6536,-2.15883,lidar,native_s2m,icp,proximity,0.9159
42,1782491841.575142,3.9699,-2.7466,-2.37103,lidar,native_s2m,icp,proximity,0.9136
43,1782491842.82137,3.771,-2.9001,-2.53493,lidar,native_s2m,icp,proximity,0.8865
44,1782491843.659369,3.6233,-2.977,-2.74811,lidar,native_s2m,icp,proximity,0.8926
45,1782491844.379154,3.4967,-3.0033,-2.99177,lidar,native_s2m,icp,proximity,0.9094
46,1782491845.104841,3.4034,-3.0036,3.07034,lidar,native_s2m,icp,proximity,0.8866
47,1782491846.451569,3.1372,-2.9744,2.99497,lidar,native_s2m,icp,proximity,0.8989
48,1782491847.503224,2.8846,-2.964,3.00807,lidar,native_s2m,icp,proximity,0.9011
49,1782491848.660656,2.6139,-3.0215,3.03605,lidar,native_s2m,icp,proximity,0.883
50,1782491849.706478,2.3546,-3.0316,3.07526,lidar,native_s2m,icp,proximity,0.8837
51,1782491850.755141,2.0944,-3.0323,3.05721,lidar,native_s2m,icp,proximity,0.8681
52,1782491851.810043,1.8296,-3.0217,3.01836,lidar,native_s2m,icp,proximity,0.8583
53,1782491852.847737,1.6073,-2.9547,2.78202,lidar,native_s2m,icp,proximity,0.8813
54,1782491853.265912,1.5342,-2.916,2.5702,lidar,native_s2m,icp,proximity,0.92
55,1782491854.095594,1.4256,-2.8137,2.34099,lidar,native_s2m,icp,proximity,0.9242
56,1782491854.613409,1.3783,-2.7411,2.11853,lidar,native_s2m,icp,proximity,0.9217
57,1782491856.587881,1.3069,-2.5821,1.89197,lidar,native_s2m,icp,proximity,0.9325
58,1782491857.727014,1.3633,-2.7722,2.10951,lidar,native_s2m,icp,proximity,0.9217
59,1782491858.253079,1.4212,-2.8711,2.33804,lidar,native_s2m,icp,proximity,0.9283
60,1782491858.76973,1.5062,-2.9531,2.5838,lidar,native_s2m,icp,proximity,0.9124
61,1782491859.293564,1.5922,-3.0064,2.82842,lidar,native_s2m,icp,proximity,0.9142
62,1782491860.343932,1.8507,-3.0475,3.00197,lidar,native_s2m,icp,proximity,0.9419
63,1782491861.282172,2.1068,-3.0634,3.12237,lidar,native_s2m,icp,proximity,0.9424
64,1782491862.229135,2.3736,-3.0391,3.0664,lidar,native_s2m,icp,proximity,0.9139
65,1782491863.05576,2.6322,-3.0513,3.04806,lidar,native_s2m,icp,proximity,0.9463
66,1782491863.993647,2.9092,-3.0676,3.05712,lidar,native_s2m,icp,proximity,0.9301
67,1782491864.824135,3.1635,-3.0693,-3.1395,lidar,native_s2m,icp,proximity,0.9224
68,1782491865.758639,3.4366,-3.0491,-3.05905,lidar,native_s2m,icp,proximity,0.8945
69,1782491866.699331,3.713,-2.9781,-2.9592,lidar,native_s2m,icp,proximity,0.9155
70,1782491867.321953,3.9208,-2.9286,3.06005,lidar,native_s2m,icp,proximity,0.8717
