query,cand,accepted,rx,ry,rth
24,0,False,,,
24,4,False,,,
24,1,False,,,
28,0,False,,,
28,5,False,,,
28,4,False,,,
32,0,False,,,
32,9,False,,,
32,5,False,,,
36,0,False,,,
36,9,False,,,
36,5,False,,,
40,0,False,,,
40,9,False,,,
40,5,False,,,
44,12,False,,,
44,0,False,,,
44,11,False,,,
48,16,True,2.2804,-2.5073,-3.07034
48,15,True,2.4961,-2.5173,-3.08914
48,14,True,2.9323,-2.3295,-3.03461
52,18,True,0.2635,-2.8422,3.05615
52,19,True,0.0459,-2.8611,3.07122
52,17,True,0.8208,-2.7537,-3.12198
56,17,True,0.3405,-2.5442,2.27263
56,18,True,-0.1945,-2.5837,2.16778
56,16,True,0.7424,-2.4923,2.32818
60,38,True,1.1263,-2.4995,-1.93357
60,37,True,1.1252,-2.5084,-1.94317
60,17,True,0.4965,-2.7308,2.73151
64,38,True,1.0673,-1.6222,-1.45874
64,37,True,1.0747,-1.6305,-1.46824
64,32,True,2.032,-1.8287,-1.62381
68,38,True,0.8333,-0.5841,-1.27597
68,37,True,0.8507,-0.5902,-1.28557
68,36,True,1.0183,-0.5871,-1.29636
72,42,True,-0.0583,0.2481,-1.29188
72,41,True,0.1171,0.2417,-1.50376
72,40,True,0.3138,0.1953,-1.71402
76,40,True,-0.1089,-0.1358,-2.64058
76,39,True,0.1274,-0.1367,-2.82769
76,38,True,0.1307,-0.1285,-2.82278
80,33,True,0.0495,-0.1298,3.13601
80,34,True,-0.2144,-0.1482,-3.134
80,32,True,0.3043,-0.1435,3.03673
84,28,True,0.1578,0.2452,1.90943
84,29,True,-0.1191,0.2536,2.11849
84,27,True,0.3846,0.1763,1.67026
88,28,True,0.1554,1.1651,1.0936
88,29,True,-0.3129,1.1552,1.3028
88,27,True,0.6023,1.0716,0.85433
92,29,False,,,
92,30,False,,,
92,31,False,,,
96,30,False,,,
96,31,False,,,
96,29,False,,,
100,30,False,,,
100,31,False,,,
100,32,False,,,
128,108,False,,,
132,109,False,,,
132,110,False,,,
132,111,False,,,
136,109,False,,,
136,110,False,,,
136,111,False,,,
140,109,False,,,
140,110,False,,,
140,111,False,,,
144,114,True,1.9721,-2.0457,1.80768
144,113,True,2.2304,-2.0448,1.79373
144,109,True,2.4501,-2.0637,1.77797
148,118,True,1.2249,-1.0154,1.25248
148,117,True,1.4825,-1.0201,1.24205
148,116,True,1.5403,-1.0242,1.2424
152,122,True,0.4284,0.1026,1.88379
152,121,True,0.6541,-0.0328,1.66474
152,120,True,0.8868,-0.168,1.48052
156,124,True,-0.162,0.7467,1.36803
156,123,True,0.192,0.7526,1.25126
156,125,True,-0.4186,0.7286,1.37775
160,126,True,-0.1969,1.6473,0.95661
160,125,True,0.036,1.6639,0.98374
160,127,True,-0.4828,1.6338,0.92072
164,127,True,0.0976,2.5486,0.96472
164,128,True,-0.5246,2.516,1.10434
164,126,True,0.335,2.5903,0.99049
168,128,False,,,
168,129,False,,,
168,127,False,,,
172,129,False,,,
172,128,False,,,
172,130,False,,,
176,129,False,,,
176,130,False,,,
176,131,False,,,
180,129,False,,,
180,130,False,,,
180,128,False,,,
184,129,False,,,
184,128,False,,,
184,130,False,,,
188,156,True,3.3661,-0.9507,0.00557
188,155,True,3.431,-1.5487,-0.16801
188,128,True,0.0248,3.8273,1.46593
192,172,True,-0.5616,0.804,1.91172
192,171,True,-0.5599,0.8082,1.9127
192,160,True,2.7588,0.8138,1.28774
196,172,True,-1.0324,1.3336,2.26551
196,171,True,-1.0312,1.336,2.2667
196,164,True,1.6891,1.366,1.60512
200,168,True,0.4174,0.5024,1.0173
200,172,True,-0.5403,0.4908,1.45868
200,171,True,-0.538,0.4938,1.45987
204,170,True,-0.0857,0.511,0.64569
204,169,True,0.2466,0.5078,0.51799
204,172,True,-0.3751,0.4801,0.746
208,174,True,-0.0981,1.2692,0.88178
208,173,True,0.3483,1.2371,0.66465
208,172,True,0.3579,1.2362,0.66493
212,182,False,,,
212,181,False,,,
212,180,False,,,
216,181,False,,,
216,180,False,,,
