query,cand,accepted,rx,ry,rth
24,1,False,,,
24,2,False,,,
24,3,False,,,
28,1,False,,,
28,2,False,,,
28,3,False,,,
32,1,False,,,
32,2,False,,,
32,3,False,,,
36,1,False,,,
36,2,False,,,
36,3,False,,,
40,0,False,,,
40,1,False,,,
40,2,False,,,
44,14,False,,,
44,13,False,,,
44,0,False,,,
48,18,False,,,
48,17,False,,,
48,16,False,,,
52,22,False,,,
52,21,False,,,
52,20,False,,,
56,25,False,,,
56,26,False,,,
56,24,False,,,
60,29,True,1.1297,-2.7945,-2.70362
60,22,True,1.8578,-2.8023,-2.72636
60,26,True,1.2477,-3.0882,-2.806
64,29,True,0.6638,-2.7778,3.13404
64,22,True,1.412,-2.7692,3.11383
64,34,True,0.1123,-3.0272,2.99389
68,21,False,,,
68,17,False,,,
68,22,False,,,
72,17,False,,,
72,19,False,,,
72,21,False,,,
76,17,True,0.0824,-2.7886,2.70773
76,21,False,,,
76,19,True,-0.0523,-2.7927,2.65104
80,50,True,1.54,-1.6391,-1.48061
80,49,True,1.7714,-1.6655,-1.50751
80,48,True,2.0196,-1.7026,-1.52899
84,54,True,0.7737,-0.5716,-1.27401
84,53,True,0.8295,-0.578,-1.27329
84,52,True,0.9033,-0.5952,-1.27527
88,56,True,0.211,0.2017,-1.67227
88,57,True,-0.0655,0.1991,-1.43462
88,58,True,-0.1392,0.2094,-1.21651
92,55,True,-0.0093,-0.1234,-2.79377
92,54,True,0.0884,-0.1281,-2.78636
92,53,True,0.1313,-0.1169,-2.8077
96,49,True,-0.265,-0.1597,3.1192
96,48,True,-0.0027,-0.1479,3.09703
96,50,False,,,
100,43,True,0.0437,0.256,2.01781
100,44,True,-0.248,0.2675,2.15434
100,42,True,0.1986,0.2395,1.80009
104,43,False,,,
104,42,False,,,
104,44,False,,,
108,43,False,,,
108,44,False,,,
108,45,False,,,
112,45,False,,,
112,44,False,,,
112,43,False,,,
116,45,False,,,
116,44,False,,,
116,46,False,,,
120,45,False,,,
148,127,False,,,
148,126,False,,,
148,128,False,,,
152,128,False,,,
152,127,False,,,
152,126,False,,,
156,128,False,,,
156,127,False,,,
156,126,False,,,
160,130,False,,,
160,129,False,,,
160,128,False,,,
164,134,True,1.1029,-1.2137,1.23575
164,133,True,1.3344,-1.2318,1.21969
164,132,True,1.5038,-1.2775,1.19899
168,138,True,0.4274,0.0412,1.95425
168,137,True,0.6401,-0.1354,1.72302
168,136,True,0.8586,-0.3036,1.52764
172,139,True,0.1784,0.7014,1.28176
172,140,True,-0.175,0.7111,1.38576
172,138,True,0.54,0.6302,1.13827
176,141,False,,,
176,142,False,,,
176,140,False,,,
180,143,False,,,
180,144,False,,,
180,142,False,,,
184,144,False,,,
184,145,False,,,
184,143,False,,,
188,145,False,,,
188,144,False,,,
188,146,False,,,
192,145,False,,,
192,146,False,,,
192,147,False,,,
196,145,False,,,
196,146,False,,,
196,147,False,,,
200,145,False,,,
200,144,False,,,
200,146,False,,,
204,172,False,,,
204,144,False,,,
204,145,False,,,
208,188,True,-0.5501,0.6642,1.66678
208,176,True,2.8963,0.5649,1.09766
