query,cand,accepted,rx,ry,rth
24,1,False,,,
24,2,False,,,
24,3,False,,,
28,1,False,,,
28,2,False,,,
28,3,False,,,
32,1,False,,,
32,2,False,,,
32,3,False,,,
36,1,False,,,
36,2,False,,,
36,3,False,,,
40,0,False,,,
40,1,False,,,
40,2,False,,,
44,14,False,,,
44,13,False,,,
44,0,False,,,
48,18,False,,,
48,17,False,,,
48,16,False,,,
52,22,True,2.0862,-2.0844,-1.76912
52,21,True,2.4816,-1.9171,-1.72442
52,20,True,2.2714,-2.1772,-1.74967
56,25,False,,,
56,24,False,,,
56,26,False,,,
60,29,True,0.7233,-2.8177,-2.76229
60,22,True,1.4663,-2.7925,-2.77904
60,26,True,0.8437,-3.0595,-2.86361
64,29,True,0.0764,-2.8546,3.04268
64,22,True,0.7777,-2.8213,3.01767
64,21,True,1.1842,-2.7156,3.05593
68,17,True,0.5773,-2.757,-3.09939
68,19,True,0.4379,-2.7932,3.12216
68,21,False,,,
72,19,True,-0.1247,-2.462,2.25881
72,21,True,-0.2889,-2.4542,2.25661
72,17,True,0.017,-2.4752,2.32563
76,21,True,0.0858,-2.6237,2.77035
76,19,True,0.2734,-2.5545,2.75747
76,17,True,0.4117,-2.5534,2.82871
80,50,True,1.2525,-1.3675,-1.35312
80,49,True,1.4808,-1.3857,-1.37438
80,48,True,1.712,-1.4169,-1.39095
84,54,True,0.312,-0.275,-1.15319
84,53,True,0.3719,-0.2842,-1.15379
84,52,True,0.4515,-0.3953,-1.16309
88,52,True,0.069,0.3946,-1.8039
88,53,True,0.003,0.4208,-1.7943
88,54,True,-0.0403,0.4166,-1.7977
92,50,True,0.1142,0.2731,-2.73214
92,51,True,-0.1384,0.2742,-2.73115
92,49,True,0.3717,0.2829,-2.7487
96,46,True,0.1897,-0.0641,2.85489
96,45,False,,,
96,47,True,0.0064,-0.0194,3.08802
100,43,True,0.0743,0.3068,2.05344
100,42,True,0.2345,0.2756,1.83205
100,41,True,0.4419,0.173,1.61438
104,43,True,0.0201,1.3064,1.37181
104,42,True,0.4111,1.2347,1.14384
104,41,True,0.825,1.0646,0.92415
108,43,False,,,
108,42,False,,,
108,44,False,,,
112,44,False,,,
112,43,False,,,
112,45,False,,,
116,45,False,,,
116,44,False,,,
116,43,False,,,
148,127,False,,,
148,126,False,,,
148,128,False,,,
152,128,False,,,
152,127,False,,,
152,126,False,,,
156,128,False,,,
156,127,False,,,
156,126,False,,,
160,130,False,,,
160,129,False,,,
160,128,False,,,
164,134,True,1.1026,-1.1656,1.22926
164,133,True,1.3311,-1.1783,1.21265
164,132,True,1.4971,-1.2168,1.1914
168,138,True,0.4435,0.0619,1.9615
168,137,True,0.6328,-0.0327,1.70909
168,136,True,0.9009,-0.278,1.53778
172,139,True,0.254,0.7971,1.30478
172,140,True,-0.1023,0.823,1.4085
172,138,True,0.629,0.7145,1.1617
176,142,True,-0.3518,1.6237,0.86678
176,141,True,-0.1154,1.6425,0.89152
176,140,True,0.1553,1.6319,0.89364
180,143,True,0.0386,2.4445,0.93361
180,144,True,-0.5736,2.4101,1.07407
180,142,True,0.2334,2.4567,0.96896
