query,cand,accepted,rx,ry,rth
446,117,False,,,
461,117,False,,,
506,424,True,0.0269,0.0602,0.0156
507,424,True,0.1171,0.0078,-0.16774
511,428,True,-0.0073,0.0559,0.01074
512,429,True,-0.0223,0.0583,0.01961
512,430,True,-0.1808,0.0641,0.08877
596,330,False,,,
597,332,False,,,
598,329,False,,,
598,328,False,,,
599,329,False,,,
599,326,False,,,
600,334,False,,,
600,332,False,,,
601,327,False,,,
601,332,False,,,
602,334,False,,,
602,336,False,,,
603,337,False,,,
604,337,False,,,
604,323,False,,,
605,337,False,,,
605,323,False,,,
717,245,True,0.2103,-0.0124,0.14759
814,58,False,,,
817,57,False,,,
817,58,False,,,
819,59,True,0.1125,-0.0188,-0.14176
823,61,True,0.1293,-0.0471,0.05339
827,75,False,,,
827,69,False,,,
831,75,False,,,
831,76,False,,,
832,73,False,,,
833,72,False,,,
835,78,False,,,
836,82,False,,,
836,83,False,,,
838,82,False,,,
839,81,False,,,
839,78,False,,,
840,81,False,,,
841,83,False,,,
842,83,False,,,
842,82,False,,,
844,88,True,-0.3903,-0.1401,0.15609
844,112,True,-0.3868,-0.0831,0.08323
845,88,True,-0.2281,-0.104,0.08508
845,89,True,-0.3541,-0.0772,0.08344
846,88,True,-0.0851,-0.1251,0.02605
846,87,True,0.084,-0.0794,-0.00572
847,88,True,0.0816,-0.1047,-0.05676
848,87,True,0.4045,-0.0752,0.02675
848,88,True,0.2294,-0.0694,0.04023
849,90,True,0.0678,-0.0957,-0.06006
849,89,True,0.2394,-0.0568,0.04664
850,111,True,0.3183,-0.1129,-0.03455
850,91,True,0.0627,-0.0988,-0.05147
855,96,False,,,
855,105,False,,,
856,97,True,-0.0279,-0.1173,0.23178
857,104,False,,,
857,98,False,,,
859,103,False,,,
859,98,True,0.1699,-0.1959,-0.12732
860,101,True,-0.004,-0.0857,0.02872
861,101,True,-0.0538,-0.0902,0.01617
862,100,True,-0.1708,-0.0957,0.00744
862,101,True,-0.1841,-0.0976,0.01818
863,104,True,0.0287,-0.1456,-0.21885
863,98,True,-0.0268,-0.2031,-0.02317
864,103,False,,,
864,104,True,-0.1045,-0.0763,0.10516
865,105,True,-0.1345,-0.0614,0.11045
867,93,True,0.0147,-0.0031,0.06026
867,108,True,0.0257,-0.0587,0.03244
868,92,True,0.0039,-0.0075,0.0474
868,91,True,0.1698,-0.0181,0.03887
869,91,True,-0.0092,-0.0233,0.03544
869,92,True,-0.1803,-0.0244,0.05071
870,90,True,-0.018,-0.0333,0.02229
870,91,True,-0.1889,-0.017,0.02723
871,114,True,0.4723,-0.1199,-0.05961
871,113,True,0.2751,-0.0852,-0.00126
872,88,True,-0.0763,-0.0627,0.12173
872,89,True,-0.2359,-0.0644,0.13326
873,88,True,-0.2745,-0.0966,0.12727
873,87,True,-0.1184,-0.0754,0.10733
874,88,True,-0.4563,-0.1676,0.14435
874,844,True,-0.0809,-0.0029,-0.0169
971,939,False,,,
972,938,False,,,
976,946,False,,,
977,944,False,,,
978,947,False,,,
978,946,False,,,
979,943,False,,,
980,938,False,,,
981,947,False,,,
981,940,False,,,
982,952,False,,,
982,947,False,,,
983,946,False,,,
983,948,False,,,
984,952,False,,,
984,951,False,,,
985,955,False,,,
985,954,False,,,
986,950,False,,,
986,953,False,,,
987,950,False,,,
987,954,False,,,
988,955,False,,,
988,953,False,,,
989,952,False,,,
989,950,False,,,
990,955,False,,,
990,952,False,,,
991,952,False,,,
991,950,False,,,
992,952,False,,,
992,958,True,0.0001,-0.0001,9e-05
993,962,False,,,
993,958,False,,,
994,955,False,,,
994,959,False,,,
995,955,False,,,
995,965,False,,,
996,959,False,,,
996,965,False,,,
997,962,False,,,
997,963,False,,,
998,962,False,,,
998,952,False,,,
999,965,False,,,
999,961,False,,,
1000,955,False,,,
1000,962,False,,,
1001,968,False,,,
1001,952,False,,,
1002,955,False,,,
1002,966,False,,,
1003,963,False,,,
1003,973,False,,,
1004,959,False,,,
1004,971,False,,,
1005,963,False,,,
1005,947,False,,,
1006,966,False,,,
1006,958,False,,,
1007,955,True,-0.0005,-0.0003,6e-05
1007,945,False,,,
1008,965,False,,,
1008,968,False,,,
1009,965,False,,,
1009,971,False,,,
1010,973,False,,,
1010,967,False,,,
1011,962,False,,,
1011,966,False,,,
1012,962,False,,,
1012,979,False,,,
1013,959,True,-0.0003,-0.0002,0.00015
1013,970,False,,,
1014,970,True,0.0003,-0.0001,8e-05
1014,984,False,,,
1015,965,False,,,
1015,985,False,,,
1016,963,True,-0.0007,-0.0004,0.00042
1016,970,True,-0.0003,-0.0002,0.00022
1017,972,False,,,
1017,979,False,,,
1018,962,False,,,
1018,963,False,,,
1019,967,False,,,
1019,955,False,,,
1020,968,False,,,
1020,962,False,,,
1021,959,False,,,
1021,979,False,,,
1022,965,False,,,
1022,958,False,,,
1023,988,False,,,
1023,965,False,,,
1024,959,False,,,
1024,979,True,-0.0005,-0.0002,0.00014
1025,963,False,,,
1025,994,False,,,
