query,cand,accepted,rx,ry,rth
93,73,True,1.084,-0.5323,0.04718
94,73,False,,,
95,75,False,,,
95,74,False,,,
95,73,True,0.5682,-0.5881,0.07533
96,75,True,-0.1378,-0.033,0.15161
96,73,True,0.16,0.2136,0.14428
96,76,True,-0.2994,-0.0571,0.16089
97,72,True,0.0614,-0.4954,0.05435
97,73,False,,,
97,74,False,,,
176,47,False,,,
280,178,False,,,
285,218,False,,,
288,265,False,,,
413,357,True,-0.0301,-0.0161,0.12287
419,361,False,,,
420,362,True,0.0194,0.0332,-0.14789
420,364,True,-0.2372,0.0217,0.11213
421,364,True,-0.1022,0.0368,0.03784
421,362,True,0.1562,0.003,-0.21862
421,365,True,-0.3134,0.0357,0.13642
422,364,True,0.0352,0.0386,-0.03295
422,365,True,-0.1737,0.0468,0.0666
423,365,True,-0.0355,0.0266,-0.05525
424,367,True,-0.2894,-0.0364,-0.0266
424,366,True,-0.1223,0.0021,-0.16055
425,367,False,,,
459,38,False,,,
482,47,False,,,
484,44,False,,,
484,50,False,,,
485,282,True,-0.2304,0.2261,0.16348
485,281,True,-0.0851,0.2183,0.158
485,284,True,-0.1247,0.2294,0.13358
486,283,True,-0.0846,0.2332,-0.01761
486,279,True,0.356,0.2337,-0.03988
486,282,True,-0.0759,0.226,-0.02054
487,284,True,0.0104,0.2272,-0.06336
487,279,True,0.3285,0.2237,-0.05527
487,278,True,0.2725,0.9043,-0.054
488,282,True,-0.2298,0.2178,-0.06388
488,281,True,-0.0844,0.2104,-0.06992
488,284,True,-0.1294,0.2261,-0.0956
489,285,True,0.0127,-0.4866,-0.17639
489,278,True,-0.0072,0.9092,-0.1294
489,277,True,-0.1012,1.0077,0.09017
490,278,True,-0.2555,0.9256,-0.38047
490,277,True,-0.343,0.9785,-0.17167
490,281,True,-0.4282,0.2543,-0.34294
491,277,False,,,
491,286,True,-0.0885,-0.4335,-0.43688
491,281,False,,,
492,276,False,,,
492,288,False,,,
494,241,False,,,
497,243,False,,,
505,43,False,,,
506,254,False,,,
506,185,False,,,
506,264,False,,,
509,254,False,,,
510,257,False,,,
511,264,False,,,
512,259,True,-0.211,0.1109,-0.13482
551,43,False,,,
551,48,False,,,
552,185,False,,,
552,43,False,,,
553,182,False,,,
553,184,False,,,
553,180,False,,,
554,185,False,,,
555,182,False,,,
555,181,False,,,
556,97,False,,,
557,185,False,,,
558,185,False,,,
559,185,False,,,
561,187,False,,,
561,185,False,,,
561,186,False,,,
562,189,False,,,
562,187,False,,,
562,191,False,,,
563,191,False,,,
563,190,False,,,
563,189,False,,,
564,191,False,,,
564,189,False,,,
565,191,False,,,
565,187,False,,,
566,194,False,,,
567,194,False,,,
568,195,False,,,
568,194,False,,,
568,196,False,,,
582,211,False,,,
583,210,False,,,
583,211,False,,,
583,209,False,,,
584,211,False,,,
585,212,False,,,
585,210,False,,,
585,213,False,,,
586,211,False,,,
586,212,False,,,
586,210,False,,,
587,212,False,,,
587,219,False,,,
587,213,False,,,
588,214,False,,,
588,216,False,,,
588,213,False,,,
589,215,False,,,
591,219,False,,,
591,215,False,,,
648,557,False,,,
655,633,False,,,
664,53,False,,,
664,50,False,,,
670,54,False,,,
670,51,False,,,
670,49,False,,,
672,53,False,,,
673,51,False,,,
673,55,False,,,
673,54,False,,,
674,48,False,,,
675,71,False,,,
675,49,False,,,
676,54,False,,,
676,57,False,,,
676,53,False,,,
678,67,False,,,
679,68,False,,,
680,56,False,,,
681,71,False,,,
682,69,False,,,
682,71,False,,,
682,98,False,,,
683,71,False,,,
683,69,False,,,
683,97,False,,,
684,77,False,,,
684,98,False,,,
684,97,False,,,
685,96,False,,,
685,76,False,,,
685,95,False,,,
686,75,False,,,
686,74,False,,,
686,76,False,,,
687,77,False,,,
687,95,False,,,
687,75,False,,,
688,76,False,,,
688,94,False,,,
688,95,False,,,
689,78,False,,,
689,80,False,,,
689,79,False,,,
690,81,False,,,
690,78,False,,,
690,80,False,,,
691,92,False,,,
691,81,False,,,
691,76,False,,,
692,76,False,,,
692,93,False,,,
692,80,False,,,
693,82,False,,,
693,78,False,,,
694,85,False,,,
694,86,False,,,
694,83,False,,,
695,85,False,,,
695,87,False,,,
695,83,False,,,
696,84,False,,,
697,86,False,,,
697,85,False,,,
697,87,False,,,
698,86,False,,,
698,87,False,,,
698,88,False,,,
699,88,False,,,
699,87,False,,,
700,89,False,,,
700,88,False,,,
700,80,False,,,
701,79,False,,,
701,92,False,,,
701,91,False,,,
702,78,False,,,
702,91,False,,,
702,76,False,,,
703,78,False,,,
703,93,False,,,
703,95,False,,,
704,94,False,,,
704,95,False,,,
704,76,False,,,
705,685,False,,,
705,73,False,,,
705,95,False,,,
706,75,False,,,
706,685,True,-0.0966,-0.0148,-0.00515
706,97,False,,,
707,74,False,,,
708,686,True,-0.7655,0.4179,-0.14304
708,95,False,,,
708,98,False,,,
717,108,False,,,
718,107,False,,,
718,106,True,-3.0338,-2.0779,-0.09733
719,109,False,,,
719,108,False,,,
719,107,False,,,
720,108,True,-2.3431,-2.5408,0.06744
721,108,False,,,
721,107,False,,,
722,108,False,,,
723,108,False,,,
729,484,False,,,
737,254,False,,,
773,753,False,,,
774,754,False,,,
775,754,False,,,
776,755,False,,,
776,754,False,,,
776,756,False,,,
777,757,False,,,
778,757,False,,,
778,756,True,0.0227,-0.0396,0.00364
778,758,True,-0.2568,-0.0906,0.00313
779,757,True,0.295,0.0138,0.00386
779,755,True,-0.2553,-0.0956,-0.01212
780,755,False,,,
780,759,False,,,
780,757,False,,,
781,756,False,,,
781,758,False,,,
781,759,False,,,
782,761,False,,,
782,759,False,,,
782,760,False,,,
783,761,False,,,
783,763,False,,,
783,759,False,,,
784,759,False,,,
784,764,False,,,
784,757,False,,,
785,762,False,,,
785,763,False,,,
785,765,False,,,
786,764,False,,,
786,759,False,,,
786,762,False,,,
