query,cand,accepted,rx,ry,rth
446,117,False,,,
461,117,False,,,
506,424,True,0.0845,0.0924,0.04432
507,424,True,0.1945,0.0927,-0.14533
511,428,True,-0.1637,0.0214,0.03065
512,429,True,-0.1019,0.0328,0.03089
512,430,True,-0.2112,0.0245,0.09856
596,330,False,,,
597,332,False,,,
598,329,False,,,
598,328,False,,,
599,329,False,,,
599,326,False,,,
600,334,False,,,
600,332,False,,,
601,327,False,,,
601,332,False,,,
602,334,False,,,
602,336,False,,,
603,337,False,,,
604,337,False,,,
604,323,False,,,
605,337,False,,,
605,323,False,,,
717,245,False,,,
814,58,False,,,
817,57,False,,,
817,58,False,,,
819,59,False,,,
823,61,False,,,
827,75,False,,,
827,69,False,,,
831,75,False,,,
831,76,False,,,
832,73,False,,,
833,72,False,,,
835,78,False,,,
836,82,False,,,
836,83,False,,,
838,82,False,,,
839,81,False,,,
839,78,False,,,
840,81,False,,,
841,83,False,,,
842,83,False,,,
842,82,False,,,
844,88,False,,,
844,112,False,,,
845,88,False,,,
845,89,False,,,
846,88,False,,,
846,87,False,,,
847,88,False,,,
848,87,False,,,
848,88,False,,,
849,90,False,,,
849,89,False,,,
850,111,False,,,
850,91,False,,,
855,96,False,,,
855,105,False,,,
856,97,False,,,
857,104,False,,,
857,98,False,,,
859,103,False,,,
859,98,False,,,
860,101,False,,,
861,101,False,,,
862,100,False,,,
862,101,False,,,
863,104,False,,,
863,98,False,,,
864,103,False,,,
864,104,False,,,
865,105,False,,,
867,93,False,,,
867,108,False,,,
868,92,False,,,
868,91,False,,,
869,91,False,,,
869,92,False,,,
870,90,False,,,
870,91,False,,,
871,114,False,,,
871,113,False,,,
872,88,False,,,
872,89,False,,,
873,88,False,,,
873,87,False,,,
874,88,False,,,
874,844,True,-0.57,0.5637,0.04041
971,939,True,0.4615,0.0266,-0.00052
972,938,True,0.2001,-0.0432,0.01004
976,946,True,0.3405,0.0148,0.00712
977,944,True,0.3169,0.0155,0.00557
978,947,True,0.3082,0.0133,0.00191
978,946,True,0.323,0.0113,0.00069
979,943,True,0.2153,0.0152,0.00573
980,938,True,0.1806,-0.0234,0.00113
981,947,True,0.3026,0.0286,0.00262
981,940,True,0.3114,0.0204,0.00309
982,952,True,0.2724,0.0217,0.00845
982,947,True,0.3162,0.0214,0.00311
983,946,True,0.3296,0.0085,0.00094
983,948,True,0.3023,0.0117,0.00313
984,952,True,0.2887,0.018,0.01094
984,951,True,0.2966,0.019,0.00983
985,955,True,0.0119,0.0559,0.008
985,954,True,0.2098,0.04,0.00896
986,950,True,0.2944,0.0071,0.00421
986,953,True,0.2473,0.0344,0.00483
987,950,True,0.305,-0.0134,0.00565
987,954,True,0.2112,0.0545,0.00029
988,955,True,0.0342,0.0669,-0.00077
988,953,True,0.2745,0.0151,0.00601
989,952,True,0.3451,0.0056,0.00866
989,950,True,0.3402,-0.0347,0.00878
990,955,True,0.0847,0.0377,0.00816
990,952,True,0.3524,-0.0183,0.0144
991,952,True,0.3716,-0.0147,0.01676
991,950,True,0.373,-0.05,0.01683
992,952,True,0.3999,-0.0279,0.02249
992,958,True,0.0052,-0.0189,0.01481
993,962,True,-0.0469,-0.0046,-0.00114
993,958,True,-0.0341,0.0115,-0.00087
994,955,True,0.149,0.0623,0.00953
994,959,True,-0.0077,0.0314,0.00152
995,955,True,0.1648,0.06,0.01014
995,965,True,0.0225,0.0167,0.00034
996,959,False,,,
996,965,False,,,
997,962,True,-0.0186,0.0317,-0.00282
997,963,True,-0.0139,0.0228,-0.00236
998,962,True,-0.0117,0.0307,-0.00141
998,952,True,0.4325,0.0076,0.01682
999,965,True,0.0186,0.0137,0.00025
999,961,True,0.0048,0.0296,-0.00057
1000,955,False,,,
