query,cand,accepted,rx,ry,rth
60,30,False,,,
60,29,False,,,
65,34,False,,,
65,33,False,,,
70,32,False,,,
70,33,False,,,
75,31,False,,,
75,32,False,,,
80,30,False,,,
80,29,False,,,
85,31,False,,,
85,30,False,,,
90,35,False,,,
90,34,False,,,
95,45,False,,,
95,44,False,,,
100,48,True,-0.0871,-0.0743,0.02977
100,47,True,0.1656,-0.0892,0.01536
105,53,True,0.0063,-0.089,0.04385
105,52,True,0.0655,-0.137,-0.19663
110,58,True,0.0006,-0.082,-0.12878
110,59,True,-0.0924,-0.0512,0.14178
115,63,False,,,
115,62,False,,,
120,87,False,,,
120,88,False,,,
125,27,False,,,
125,28,False,,,
130,22,False,,,
130,23,False,,,
135,16,False,,,
135,17,False,,,
140,14,False,,,
140,13,False,,,
145,14,False,,,
145,13,False,,,
150,9,True,-0.0619,-0.0162,0.02818
150,8,True,0.1977,-0.0187,0.0582
