kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
0,1781016122.967208,0.0,0.0,0.0,lidar,native_s2s,pnp,proximity,-1.0
1,1781016125.029663,-0.093,-0.125,-0.00272,lidar,native_s2s,pnp,proximity,0.9839
2,1781016127.098071,-0.1184,-0.1473,-0.00207,lidar,native_s2s,pnp,proximity,0.9754
3,1781016129.17237,-0.1688,-0.1996,-0.00031,lidar,native_s2s,pnp,proximity,0.9879
4,1781016131.247017,-0.1909,-0.2273,-0.00121,lidar,native_s2s,pnp,proximity,0.9763
5,1781016133.321741,-0.2168,-0.2481,-0.00621,lidar,native_s2s,pnp,proximity,0.9571
6,1781016135.398174,-0.2562,-0.286,-0.00449,lidar,native_s2s,pnp,proximity,0.9714
7,1781016137.472511,-0.2747,-0.317,-0.0042,lidar,native_s2s,pnp,proximity,0.9429
8,1781016139.543311,-0.2434,-0.3427,-0.00773,lidar,native_s2s,pnp,proximity,0.8147
9,1781016141.099449,0.0144,-0.3529,0.01607,lidar,native_s2s,pnp,proximity,0.8497
10,1781016142.147624,0.272,-0.354,0.00748,lidar,native_s2s,pnp,proximity,0.8518
11,1781016143.077029,0.5254,-0.3414,-0.01094,lidar,native_s2s,pnp,proximity,0.7953
12,1781016144.225608,0.796,-0.3487,-0.02224,lidar,native_s2s,pnp,proximity,0.8419
13,1781016145.358826,1.0647,-0.3601,-0.03261,lidar,native_s2s,pnp,proximity,0.7867
14,1781016145.782672,1.1311,-0.3904,-0.24828,lidar,native_s2s,pnp,proximity,0.796
15,1781016146.823617,1.3465,-0.4965,-0.46759,lidar,native_s2s,pnp,proximity,0.8217
16,1781016147.753077,1.4912,-0.6322,-0.68122,lidar,native_s2s,pnp,proximity,0.7598
17,1781016148.479806,1.5966,-0.7571,-0.89468,lidar,native_s2s,pnp,proximity,0.8135
18,1781016149.418234,1.7474,-0.9618,-0.97429,lidar,native_s2s,pnp,proximity,0.7902
19,1781016149.941435,1.8634,-1.0494,-0.75427,lidar,native_s2s,pnp,proximity,0.7876
20,1781016151.088708,2.0982,-1.1734,-0.56568,lidar,native_s2s,pnp,proximity,0.772
21,1781016151.824673,2.3242,-1.2092,-0.34377,lidar,native_s2s,pnp,proximity,0.7134
22,1781016152.763065,2.5848,-1.2409,-0.19998,lidar,native_s2s,pnp,proximity,0.6878
23,1781016153.704155,2.8767,-1.2218,0.0421,lidar,native_s2s,pnp,proximity,0.6147
24,1781016154.855227,3.1284,-1.1993,0.06335,lidar,native_s2s,pnp,proximity,0.6556
25,1781016156.003337,3.3868,-1.1748,0.04877,lidar,native_s2s,pnp,proximity,0.5813
26,1781016157.044495,3.664,-1.1696,0.02044,lidar,native_s2s,pnp,proximity,0.5884
27,1781016157.570147,4.0143,-1.1093,0.02526,lidar,native_s2s,pnp,proximity,0.5699
28,1781016158.708389,4.2825,-1.0846,0.00987,lidar,native_s2s,pnp,proximity,0.5535
29,1781016160.581494,4.5877,-0.9902,0.14547,lidar,native_s2s,pnp,proximity,0.5144
30,1781016160.995402,4.5681,-0.8848,0.39218,lidar,native_s2s,pnp,proximity,0.4774
31,1781016161.617914,4.8408,-0.8851,0.33854,lidar,native_s2s,pnp,proximity,0.4972
32,1781016162.859713,4.9889,-0.7348,0.5507,lidar,native_s2s,pnp,proximity,0.804
33,1781016163.904884,5.1391,-0.548,0.78795,lidar,native_s2s,pnp,proximity,0.8153
34,1781016164.523715,5.181,-0.4071,1.02608,lidar,native_s2s,pnp,proximity,0.8346
35,1781016165.562966,5.2192,-0.176,1.2601,lidar,native_s2s,pnp,proximity,0.8057
36,1781016166.695269,5.1869,0.0597,1.47898,lidar,native_s2s,pnp,proximity,0.8274
37,1781016167.940697,5.1289,0.3181,1.55792,lidar,native_s2s,pnp,proximity,0.8525
