query,cand,accepted,rx,ry,rth
55,25,False,,,
60,29,False,,,
60,30,False,,,
65,32,False,,,
65,31,False,,,
70,31,False,,,
70,32,False,,,
75,29,False,,,
75,31,False,,,
80,28,False,,,
80,27,False,,,
85,27,False,,,
85,28,False,,,
90,30,False,,,
90,31,True,0.8734,-0.1635,0.09862
95,46,False,,,
95,45,False,,,
100,47,True,-0.4509,-0.1253,0.64865
100,48,False,,,
105,50,True,-0.1481,-0.0841,0.20942
105,49,False,,,
110,54,True,0.0628,-0.0461,0.08764
110,55,True,-0.1524,-0.0391,0.18202
115,59,True,-0.0509,-0.0602,-0.0265
115,58,True,0.1812,-0.1225,-0.30158
120,64,False,,,
120,63,False,,,
125,85,False,,,
125,86,False,,,
130,84,False,,,
130,83,False,,,
135,22,False,,,
135,21,False,,,
140,19,False,,,
140,18,False,,,
145,15,False,,,
145,14,False,,,
150,17,False,,,
150,16,False,,,
155,8,True,-0.0221,-0.0171,0.03978
155,7,False,,,
