query,cand,accepted,rx,ry,rth
60,30,False,,,
60,29,False,,,
65,34,True,0.0213,-1.6592,-2.98179
65,33,False,,,
70,32,False,,,
70,33,False,,,
75,31,True,-0.4971,-2.9243,2.72668
75,32,False,,,
80,29,True,0.4851,-1.3518,2.12763
80,30,True,-0.0818,-1.4322,1.90963
85,30,True,0.1779,-0.4431,0.89191
85,31,True,-0.0949,-0.4668,0.86968
90,34,True,0.2399,-0.5087,-0.45965
90,35,True,-0.1139,-0.5588,-0.68998
95,45,True,-0.004,-0.4609,1.14089
95,44,True,0.1959,-0.4634,1.01175
100,48,True,-0.0911,-0.1183,0.02814
100,47,True,0.1676,-0.0965,0.0122
105,53,True,0.0301,-0.1258,0.0311
105,52,True,0.0965,-0.1589,-0.19785
110,58,True,0.0262,-0.0753,-0.12228
110,59,True,-0.0604,-0.0723,0.11821
115,63,True,0.054,-0.3385,-0.58857
115,62,True,0.261,-0.2524,-0.34085
120,87,True,0.0883,0.053,2.34946
120,88,True,-0.1776,0.0521,2.53918
125,27,True,0.0471,0.1641,-3.06637
125,28,True,-0.1976,0.1532,3.07124
130,22,True,0.0071,0.1743,-3.10553
130,23,True,-0.1927,0.1665,2.92888
135,16,True,0.0315,0.0088,3.04419
135,17,True,-0.1648,-0.0043,-3.02264
140,14,True,-0.025,0.7573,1.75949
140,13,True,0.2994,0.7338,1.54215
145,13,True,0.049,0.1574,0.36559
145,14,True,-0.1465,0.1401,0.58278
150,9,True,-0.1187,-0.0526,0.02509
150,8,True,0.1539,-0.0324,0.05291
