query,cand,accepted,rx,ry,rth
60,30,False,,,
60,29,False,,,
65,34,True,0.2122,-1.6699,-2.94501
65,33,True,0.6905,-1.557,-2.72042
70,32,True,0.7033,-2.0731,-2.45481
70,33,True,0.1052,-2.1918,-2.67151
75,31,True,0.7037,-2.1124,2.92306
75,32,True,-0.0019,-2.2272,2.71941
80,30,True,0.0104,-1.4758,1.92519
80,31,True,-0.2543,-1.4862,1.91998
85,31,True,-0.055,-0.4625,0.89574
85,30,True,0.205,-0.4465,0.8979
90,35,True,-0.0604,-0.5917,-0.66772
90,34,True,0.3058,-0.5284,-0.43331
95,45,True,-0.0418,-0.4423,1.12017
95,44,True,0.1658,-0.4363,0.99408
100,48,True,-0.0985,-0.0841,0.01246
100,47,True,0.1619,-0.0587,-0.0033
105,53,True,0.018,-0.1072,0.02437
105,52,True,0.0843,-0.1361,-0.20607
110,58,True,0.0127,-0.0776,-0.12364
110,59,True,-0.0706,-0.0763,0.11835
115,63,True,0.0694,-0.332,-0.58821
115,62,True,0.2709,-0.2464,-0.34068
120,88,True,-0.1398,0.0597,2.54381
120,87,True,0.1325,0.0603,2.36078
125,28,True,-0.1426,0.1638,3.07645
125,27,True,0.0976,0.1789,-3.05972
130,22,True,0.0564,0.197,-3.11217
130,23,True,-0.14,0.176,2.92231
135,16,True,0.0502,0.0345,3.03039
135,17,True,-0.1521,0.0251,-3.03644
140,14,True,-0.0176,0.802,1.75437
140,13,True,0.3175,0.7757,1.53682
145,13,True,0.0367,0.1942,0.3686
145,14,True,-0.1642,0.1743,0.58669
150,9,True,-0.1001,-0.0111,0.02376
150,8,True,0.1687,0.0054,0.05208
