query,cand,accepted,rx,ry,rth
55,25,False,,,
60,29,False,,,
60,30,False,,,
65,32,True,1.1583,-1.258,-2.59528
65,31,True,1.5876,-0.8943,-2.38291
70,32,False,,,
70,31,False,,,
75,31,False,,,
75,29,True,2.7441,-1.4912,2.8176
80,29,True,0.4758,-1.4736,2.33052
80,31,True,-0.1279,-1.553,2.12464
85,31,True,-0.1046,-0.5722,1.18025
85,29,True,0.2984,-0.5189,1.38625
90,34,True,-0.0602,-0.3965,-0.56577
90,35,True,-0.393,-0.393,-0.804
95,45,False,,,
95,44,True,-0.0636,-0.9862,1.02135
100,46,True,-0.2066,-0.2011,0.58665
100,45,True,0.059,-0.2071,0.58883
105,50,True,-0.1602,-0.1284,0.18127
105,49,True,-0.0771,-0.1257,-0.04424
110,54,True,0.1495,-0.0784,0.05924
110,55,True,-0.1014,-0.0846,0.15604
115,59,True,0.0135,-0.0728,-0.02087
115,60,True,-0.1031,-0.0869,0.21832
120,65,False,,,
120,64,False,,,
125,85,True,0.7013,-0.2471,1.64856
125,86,True,0.5451,-0.0786,1.90038
130,27,True,0.0558,0.194,-3.058
130,26,True,0.4001,0.2467,-3.05207
135,23,True,-0.2238,0.1564,2.93176
135,22,True,0.0329,0.1757,-3.11025
140,16,True,0.0276,0.0293,3.03689
140,15,True,0.2244,-0.0346,2.82377
145,13,True,0.1906,0.7257,1.51164
145,14,True,-0.0411,0.7635,1.72788
150,13,True,-0.0479,0.1241,0.35402
150,14,True,-0.1453,0.1281,0.56948
155,8,True,-0.072,-0.0777,0.02656
155,7,True,-0.0459,-0.1075,0.02648
