query,cand,accepted,rx,ry,rth
55,25,False,,,
60,29,False,,,
60,30,False,,,
65,32,True,1.259,-1.2861,-2.52475
65,31,True,1.6791,-0.8995,-2.31365
70,32,True,0.8183,-2.0028,-2.4154
70,31,True,1.4168,-1.69,-2.20285
75,31,False,,,
75,32,False,,,
80,29,True,0.5308,-1.4629,2.31526
80,31,True,-0.0607,-1.4967,2.15837
85,31,True,-0.0993,-0.5212,1.2196
85,29,True,0.2697,-0.4797,1.39853
90,34,True,0.0336,-0.3177,-0.49756
90,35,True,-0.2798,-0.3478,-0.74471
95,44,True,-0.0447,-0.9768,1.00896
95,45,True,-0.2667,-0.9692,1.07868
100,46,True,-0.1622,-0.1758,0.54361
100,45,True,0.1132,-0.1879,0.54226
105,50,True,-0.0267,-0.1506,0.10554
105,51,True,-0.1449,-0.1433,0.31875
110,55,True,-0.0802,-0.0325,0.07966
110,54,True,0.1809,-0.035,-0.00856
115,60,True,-0.1007,-0.1339,0.191
115,59,True,0.0058,-0.1133,-0.04016
120,64,True,-0.0356,-0.4742,-0.70976
120,65,True,-0.2713,-0.4661,-0.92724
125,87,True,0.1244,-0.1626,2.15575
125,86,False,,,
130,27,False,,,
130,26,True,0.3425,0.2363,-3.01265
135,22,True,0.0422,0.1926,-3.1312
135,23,True,-0.1893,0.1808,2.91695
140,16,True,0.0444,0.0863,3.03027
140,17,True,-0.1279,0.0812,-3.03847
145,13,True,0.2174,0.8691,1.48579
145,14,True,-0.0598,0.9021,1.6996
150,13,True,-0.0939,0.1693,0.37092
150,14,True,-0.2208,0.1546,0.58597
155,7,True,-0.0931,-0.0809,0.02524
155,8,True,-0.1236,-0.0552,0.02868
