pair_id,label,inliers,scan,evidence
0,T,32,0.633,img+scan
1,T,24,0.636,img+scan
2,F,0,0.0,none
3,F,10,0.307,none
4,F,10,0.257,none
5,F,15,0.325,none
6,F,10,0.111,none
7,T,13,0.437,scan
8,T,7,0.499,scan
9,T,16,0.55,scan
10,F,10,0.0,none
11,T,41,0.673,img+scan
12,T,46,0.728,img+scan
13,T,39,0.758,img+scan
14,T,43,0.835,img+scan
15,F,0,0.143,none
16,F,0,0.0,none
17,T,0,0.839,scan
18,T,7,0.888,scan
19,T,0,0.9,scan
20,T,0,0.898,scan
21,T,0,0.932,scan
22,T,0,0.606,scan
23,T,0,0.852,scan
24,F,0,0.079,none
25,T,0,0.684,scan
26,T,0,0.823,scan
27,T,0,0.766,scan
28,T,63,0.788,img+scan
29,T,104,0.84,img+scan
30,T,36,0.929,img+scan
31,T,380,0.962,img+scan
32,T,169,0.667,img+scan
33,T,14,0.801,scan
34,T,294,0.0,img
35,T,238,0.0,img
36,T,47,0.682,img+scan
37,T,49,0.588,img+scan
38,T,11,0.49,scan
39,T,23,0.572,img+scan
40,F,10,0.221,none
41,F,14,0.216,none
42,F,0,0.169,none
43,F,7,0.0,none
44,F,11,0.219,none
45,F,7,0.258,none
46,F,7,0.297,none
47,F,0,0.175,none
48,F,7,0.15,none
49,F,0,0.369,none
50,F,7,0.282,none
51,F,0,0.0,none
52,F,0,0.0,none
53,F,0,0.342,none
54,F,0,0.379,none
55,F,0,0.228,none
56,F,0,0.393,none
57,F,0,0.319,none
58,F,0,0.327,none
59,F,7,0.012,none
60,F,10,0.349,none
61,F,10,0.306,none
62,F,10,0.298,none
63,F,9,0.313,none
64,T,10,0.529,scan
65,T,10,0.489,scan
66,T,7,0.538,scan
67,F,10,0.318,none
68,T,0,0.472,scan
69,F,8,0.317,none
70,T,11,0.721,scan
71,T,8,0.421,scan
72,F,11,0.346,none
73,T,40,0.779,img+scan
74,T,70,0.781,img+scan
75,F,15,0.085,none
76,T,27,0.678,img+scan
77,T,165,0.796,img+scan
78,T,59,0.85,img+scan
79,T,12,0.77,scan
80,T,7,0.712,scan
81,T,26,0.802,img+scan
82,T,22,0.78,img+scan
83,F,15,0.212,none
84,F,7,0.239,none
85,T,414,0.873,img+scan
86,T,203,0.735,img+scan
87,T,101,0.826,img+scan
88,T,263,0.865,img+scan
89,T,208,0.884,img+scan
90,T,38,0.23,img
91,T,12,0.571,scan
92,T,36,0.784,img+scan
93,T,400,0.958,img+scan
94,T,457,0.955,img+scan
95,T,44,0.811,img+scan
96,T,36,0.757,img+scan
97,T,341,0.94,img+scan
98,T,221,0.936,img+scan
99,T,185,0.917,img+scan
100,T,162,0.898,img+scan
101,T,402,0.959,img+scan
102,T,121,0.925,img+scan
103,T,283,0.901,img+scan
104,T,351,0.938,img+scan
105,T,141,0.334,img
106,T,147,0.957,img+scan
107,T,189,0.982,img+scan
108,T,552,0.979,img+scan
109,T,50,0.818,img+scan
110,T,33,0.864,img+scan
111,T,54,0.785,img+scan
112,T,75,0.877,img+scan
113,T,7,0.679,scan
114,T,0,0.703,scan
115,T,0,0.48,scan
116,T,7,0.633,scan
117,T,11,0.709,scan
118,T,7,0.689,scan
119,F,9,0.329,none
120,T,7,0.707,scan
121,T,7,0.705,scan
122,T,9,0.725,scan
123,T,11,0.694,scan
124,F,7,0.194,none
125,F,10,0.293,none
126,F,9,0.263,none
127,F,7,0.21,none
128,F,7,0.244,none
129,F,10,0.22,none
130,F,7,0.143,none
131,F,11,0.134,none
132,F,11,0.086,none
133,F,7,0.236,none
134,F,7,0.283,none
135,F,0,0.0,none
136,F,0,0.0,none
137,T,0,0.75,scan
138,F,0,0.0,none
139,F,7,0.207,none
140,T,0,0.817,scan
141,F,0,0.0,none
142,F,7,0.0,none
143,F,7,0.0,none
144,F,0,0.0,none
145,F,7,0.0,none
146,F,9,0.0,none
147,F,7,0.183,none
148,F,7,0.118,none
149,F,8,0.198,none
150,F,11,0.237,none
151,T,7,0.69,scan
152,F,7,0.0,none
153,T,0,0.665,scan
154,F,0,0.082,none
155,T,17,0.525,scan
156,T,29,0.328,img
157,F,7,0.0,none
158,T,0,0.614,scan
159,F,0,0.175,none
160,F,12,0.087,none
161,F,14,0.179,none
162,T,376,0.885,img+scan
163,T,242,0.95,img+scan
164,T,321,0.971,img+scan
165,T,276,0.0,img
166,T,392,0.974,img+scan
167,T,257,0.955,img+scan
168,T,271,0.945,img+scan
169,T,316,0.953,img+scan
170,T,199,0.863,img+scan
171,T,348,0.944,img+scan
172,T,100,0.0,img
173,T,192,0.867,img+scan
174,T,129,0.939,img+scan
175,F,9,0.0,none
176,T,103,0.0,img
177,T,157,0.847,img+scan
178,T,8,0.526,scan
179,F,7,0.0,none
180,T,362,0.913,img+scan
181,T,73,0.877,img+scan
182,T,248,0.947,img+scan
183,T,95,0.0,img
184,T,44,0.0,img
185,F,7,0.15,none
186,T,24,0.0,img
187,T,69,0.911,img+scan
188,T,65,0.926,img+scan
189,T,152,0.933,img+scan
190,T,59,0.83,img+scan
191,T,173,0.959,img+scan
192,T,75,0.904,img+scan
193,T,113,0.99,img+scan
194,T,100,0.976,img+scan
195,T,232,0.9,img+scan
196,T,120,0.904,img+scan
197,T,165,0.942,img+scan
198,T,99,0.938,img+scan
199,T,59,0.098,img
200,T,52,0.886,img+scan
201,F,0,0.101,none
202,T,0,0.583,scan
203,T,104,0.971,img+scan
204,T,39,0.896,img+scan
205,T,113,0.866,img+scan
206,T,110,0.96,img+scan
207,T,76,0.0,img
208,T,53,0.321,img
209,T,50,0.108,img
210,T,44,0.913,img+scan
211,T,36,0.966,img+scan
212,T,34,0.914,img+scan
213,T,44,0.958,img+scan
214,T,42,0.968,img+scan
215,T,41,0.937,img+scan
216,T,43,0.924,img+scan
217,T,73,0.964,img+scan
218,T,61,0.927,img+scan
219,T,73,0.967,img+scan
220,T,65,0.934,img+scan
221,T,54,0.942,img+scan
222,T,71,0.933,img+scan
223,T,47,0.207,img
224,T,51,0.944,img+scan
225,T,25,0.142,img
226,T,19,0.0,img
227,T,23,0.0,img
228,T,27,0.863,img+scan
229,T,33,0.324,img
230,T,21,0.843,img+scan
231,T,25,0.0,img
232,T,0,0.765,scan
233,F,0,0.289,none
234,F,0,0.103,none
235,T,7,0.84,scan
236,F,0,0.327,none
237,F,0,0.264,none
238,F,0,0.297,none
239,F,0,0.266,none
240,T,67,0.804,img+scan
241,F,9,0.384,none
242,F,10,0.126,none
243,T,8,0.853,scan
244,F,7,0.319,none
245,T,10,0.814,scan
246,T,12,0.434,scan
247,T,8,0.425,scan
248,T,11,0.775,scan
249,F,7,0.388,none
250,T,7,0.805,scan
251,T,7,0.749,scan
252,T,7,0.666,scan
253,T,7,0.795,scan
254,T,62,0.0,img
255,F,7,0.0,none
256,F,7,0.0,none
257,F,0,0.056,none
258,F,7,0.192,none
259,F,0,0.291,none
260,F,7,0.27,none
261,T,0,0.692,scan
262,F,0,0.317,none
263,T,0,0.514,scan
264,T,13,0.772,scan
265,F,7,0.219,none
266,F,9,0.195,none
267,F,11,0.214,none
268,T,10,0.668,scan
269,T,7,0.754,scan
270,T,0,0.723,scan
271,T,9,0.74,scan
272,T,0,0.732,scan
273,T,7,0.603,scan
274,T,8,0.758,scan
275,T,7,0.728,scan
276,T,8,0.754,scan
277,T,9,0.744,scan
278,F,0,0.082,none
279,F,0,0.14,none
280,F,0,0.224,none
281,F,0,0.202,none
282,F,0,0.251,none
283,T,0,0.682,scan
284,T,0,0.65,scan
285,F,0,0.213,none
286,T,8,0.79,scan
287,F,8,0.0,none
288,F,7,0.0,none
289,F,8,0.0,none
290,F,7,0.0,none
291,T,0,0.782,scan
292,F,7,0.0,none
293,T,7,0.742,scan
294,T,17,0.792,scan
295,T,24,0.764,img+scan
296,F,7,0.225,none
297,F,8,0.245,none
298,F,9,0.24,none
299,F,7,0.306,none
300,T,307,0.863,img+scan
301,T,303,0.734,img+scan
302,F,7,0.0,none
303,F,8,0.0,none
304,T,36,0.817,img+scan
305,T,30,0.785,img+scan
306,F,7,0.157,none
307,F,11,0.112,none
308,F,7,0.169,none
309,F,7,0.212,none
310,T,10,0.795,scan
311,T,34,0.84,img+scan
312,T,10,0.814,scan
313,T,483,0.884,img+scan
314,T,62,0.882,img+scan
315,T,23,0.816,img+scan
316,T,481,0.522,img+scan
317,T,457,0.784,img+scan
318,T,989,0.0,img
319,T,972,0.881,img+scan
320,T,1202,0.723,img+scan
321,T,1158,0.0,img
322,T,920,0.0,img
323,T,351,0.0,img
324,T,417,0.907,img+scan
325,T,429,0.98,img+scan
326,T,562,0.974,img+scan
327,T,426,0.97,img+scan
328,T,483,0.957,img+scan
329,T,348,0.0,img
330,T,437,0.0,img
331,T,381,0.0,img
332,T,200,0.0,img
333,T,677,0.0,img
334,T,413,0.0,img
335,T,130,0.728,img+scan
336,T,153,0.893,img+scan
337,T,259,0.0,img
338,T,453,0.0,img
339,T,466,0.967,img+scan
340,T,452,0.45,img+scan
341,T,445,0.876,img+scan
342,T,417,0.944,img+scan
343,T,235,0.913,img+scan
344,T,235,0.625,img+scan
345,T,287,0.908,img+scan
346,T,285,0.594,img+scan
