pair_id,label,inliers,scan,evidence
0,F,0,0.391,none
1,T,0,0.418,scan
2,T,0,0.687,scan
3,T,0,0.64,scan
4,F,0,0.208,none
5,T,0,0.43,scan
6,T,0,0.559,scan
7,T,0,0.574,scan
8,T,0,0.736,scan
9,T,0,0.491,scan
10,T,0,0.502,scan
11,T,0,0.605,scan
12,T,0,0.42,scan
13,F,0,0.186,none
14,T,0,0.684,scan
15,F,0,0.039,none
16,T,0,0.4,scan
17,T,0,0.401,scan
18,T,0,0.631,scan
19,F,0,0.381,none
20,T,0,0.44,scan
21,F,0,0.314,none
22,T,0,0.752,scan
23,T,0,0.559,scan
24,T,0,0.586,scan
25,T,0,0.651,scan
26,T,0,0.817,scan
27,T,0,0.506,scan
28,T,201,0.952,img+scan
29,T,0,0.863,scan
30,T,26,0.837,img+scan
31,T,0,0.902,scan
32,T,0,0.889,scan
33,T,0,0.865,scan
34,T,0,0.867,scan
35,T,1674,0.879,img+scan
36,T,0,0.817,scan
37,T,0,0.87,scan
38,T,0,0.858,scan
39,T,512,0.84,img+scan
40,T,0,0.863,scan
41,T,0,0.843,scan
42,T,0,0.815,scan
43,T,0,0.835,scan
44,T,0,0.873,scan
45,T,0,0.881,scan
46,F,0,0.0,none
47,T,0,0.788,scan
48,F,0,0.256,none
49,T,0,0.818,scan
50,F,0,0.233,none
51,T,0,0.827,scan
52,T,821,0.84,img+scan
53,T,746,0.845,img+scan
54,T,746,0.856,img+scan
55,T,6072,0.858,img+scan
56,F,0,0.103,none
57,F,0,0.0,none
58,F,0,0.324,none
59,F,0,0.316,none
60,F,0,0.0,none
61,F,0,0.0,none
62,F,0,0.0,none
63,F,0,0.0,none
64,F,0,0.227,none
65,F,0,0.0,none
66,F,7,0.362,none
67,F,7,0.365,none
68,F,7,0.359,none
69,T,7,0.503,scan
70,T,7,0.42,scan
71,T,12,0.424,scan
72,F,0,0.284,none
73,F,0,0.273,none
74,F,0,0.381,none
75,F,0,0.1,none
76,F,7,0.0,none
77,F,0,0.0,none
78,T,0,0.603,scan
79,F,0,0.215,none
80,F,0,0.261,none
81,F,7,0.0,none
82,F,11,0.0,none
83,F,8,0.0,none
84,F,11,0.0,none
85,F,7,0.0,none
86,F,0,0.0,none
87,F,7,0.0,none
88,F,0,0.0,none
89,F,0,0.0,none
90,F,0,0.0,none
91,F,0,0.0,none
92,F,0,0.0,none
93,F,0,0.0,none
94,F,0,0.208,none
95,T,26,0.0,img
96,T,1026,0.0,img
97,F,0,0.0,none
98,F,0,0.176,none
99,T,0,0.512,scan
100,T,684,0.549,img+scan
101,F,0,0.0,none
102,T,0,0.618,scan
103,F,0,0.0,none
104,T,7,0.58,scan
105,T,7,0.608,scan
106,T,7,0.578,scan
107,T,7,0.633,scan
108,T,91,0.821,img+scan
109,T,38,0.835,img+scan
110,T,43,0.796,img+scan
111,T,1257,0.827,img+scan
112,F,0,0.288,none
113,F,7,0.242,none
114,F,0,0.346,none
115,F,7,0.329,none
116,F,0,0.395,none
117,T,8,0.511,scan
118,F,12,0.261,none
119,T,563,0.261,img
120,F,0,0.275,none
121,F,14,0.304,none
122,F,0,0.265,none
123,F,0,0.292,none
124,F,7,0.244,none
125,F,11,0.333,none
126,F,0,0.224,none
127,F,0,0.195,none
128,F,0,0.392,none
129,T,0,0.426,scan
130,F,0,0.242,none
131,F,0,0.268,none
132,F,0,0.247,none
133,F,0,0.24,none
134,T,0,0.591,scan
135,F,0,0.362,none
136,F,0,0.0,none
137,F,11,0.303,none
138,F,11,0.263,none
139,F,7,0.336,none
140,F,0,0.33,none
141,T,0,0.57,scan
142,F,0,0.29,none
143,T,0,0.679,scan
144,F,0,0.348,none
145,F,0,0.291,none
146,T,0,0.676,scan
147,T,0,0.808,scan
148,T,0,0.79,scan
149,F,12,0.245,none
150,T,37,0.734,img+scan
151,F,7,0.106,none
152,T,7,0.552,scan
153,T,7,0.63,scan
154,T,37,0.716,img+scan
155,T,25,0.734,img+scan
156,T,17,0.654,scan
157,T,29,0.803,img+scan
158,T,22,0.253,img
159,T,15,0.739,scan
160,T,8,0.838,scan
161,T,12,0.812,scan
162,T,18,0.762,img+scan
163,T,31,0.861,img+scan
164,T,28,0.846,img+scan
165,T,48,0.768,img+scan
166,F,11,0.22,none
167,T,42,0.191,img
168,T,72,0.769,img+scan
169,T,131,0.78,img+scan
170,T,36,0.85,img+scan
171,T,86,0.896,img+scan
172,F,7,0.148,none
173,T,7,0.51,scan
174,T,420,0.847,img+scan
175,T,31,0.79,img+scan
176,T,78,0.909,img+scan
177,T,20,0.824,img+scan
178,T,29,0.937,img+scan
179,T,0,0.867,scan
180,T,0,0.88,scan
181,T,96,0.847,img+scan
182,T,11,0.812,scan
183,T,39,0.729,img+scan
184,T,18,0.76,img+scan
185,T,970,0.803,img+scan
186,T,0,0.744,scan
187,T,11,0.717,scan
188,T,9,0.648,scan
189,T,7,0.794,scan
190,F,7,0.194,none
191,T,9,0.728,scan
192,T,7,0.732,scan
193,F,7,0.209,none
194,F,7,0.0,none
195,F,7,0.0,none
196,F,9,0.0,none
197,T,12,0.419,scan
198,T,7,0.712,scan
199,T,9,0.734,scan
200,F,8,0.373,none
201,T,9,0.701,scan
202,T,9,0.755,scan
203,T,7,0.719,scan
204,F,7,0.222,none
205,F,11,0.215,none
206,T,12,0.755,scan
207,F,0,0.096,none
208,F,0,0.118,none
209,F,0,0.0,none
210,T,0,0.893,scan
211,F,0,0.0,none
212,T,0,0.658,scan
213,F,0,0.0,none
214,F,0,0.0,none
215,F,0,0.0,none
216,F,11,0.0,none
217,F,0,0.0,none
218,F,0,0.0,none
219,F,0,0.0,none
220,F,0,0.0,none
221,F,0,0.0,none
222,F,7,0.0,none
223,F,7,0.0,none
224,F,7,0.0,none
225,T,7,0.7,scan
226,F,7,0.231,none
227,F,7,0.07,none
228,F,7,0.0,none
229,T,0,0.856,scan
230,F,0,0.0,none
231,F,7,0.0,none
232,T,193,0.0,img
233,T,0,0.891,scan
234,T,0,0.877,scan
235,T,0,0.826,scan
236,F,7,0.372,none
237,T,82,0.0,img
238,T,56,0.0,img
239,T,84,0.925,img+scan
240,T,64,0.906,img+scan
241,T,57,0.902,img+scan
242,T,19,0.281,img
243,F,8,0.287,none
244,T,100,0.15,img
245,T,0,0.934,scan
246,T,120,0.915,img+scan
247,T,143,0.919,img+scan
248,F,8,0.228,none
249,T,0,0.881,scan
250,T,0,0.908,scan
251,T,7,0.941,scan
252,T,0,0.8,scan
253,T,0,0.803,scan
254,T,127,0.944,img+scan
255,T,0,0.899,scan
256,T,0,0.938,scan
257,T,0,0.415,scan
258,T,7,0.954,scan
259,T,0,0.959,scan
260,F,0,0.0,none
261,F,16,0.26,none
262,T,35,0.957,img+scan
263,T,90,0.959,img+scan
264,T,53,0.0,img
265,T,22,0.0,img
266,T,0,0.948,scan
267,T,0,0.908,scan
268,F,7,0.081,none
269,T,19,0.962,img+scan
270,T,0,0.911,scan
271,T,233,0.916,img+scan
272,T,19,0.909,img+scan
273,T,71,0.985,img+scan
274,T,344,0.961,img+scan
275,F,0,0.0,none
276,T,0,0.914,scan
277,F,0,0.0,none
278,F,0,0.0,none
279,F,0,0.0,none
280,F,0,0.0,none
281,F,0,0.0,none
282,T,7,0.769,scan
283,T,0,0.777,scan
284,T,10,0.81,scan
285,F,0,0.0,none
286,F,0,0.0,none
287,T,0,0.844,scan
288,T,0,0.785,scan
289,F,0,0.0,none
290,F,0,0.0,none
291,T,15,0.868,scan
292,T,0,0.835,scan
293,F,0,0.0,none
294,F,11,0.379,none
295,F,10,0.397,none
296,T,10,0.856,scan
297,T,7,0.832,scan
298,T,11,0.415,scan
299,T,14,0.696,scan
300,T,10,0.602,scan
301,T,9,0.882,scan
302,T,12,0.828,scan
303,T,10,0.519,scan
304,T,9,0.759,scan
305,F,10,0.359,none
306,T,10,0.529,scan
307,T,0,0.749,scan
308,T,0,0.575,scan
309,F,0,0.279,none
310,F,0,0.25,none
311,F,0,0.198,none
312,F,0,0.209,none
313,T,0,0.748,scan
314,T,0,0.536,scan
315,T,0,0.468,scan
316,F,0,0.18,none
317,F,0,0.224,none
318,T,16,0.806,scan
319,F,0,0.223,none
320,F,0,0.292,none
321,F,0,0.391,none
322,T,0,0.821,scan
323,T,0,0.564,scan
324,T,0,0.43,scan
325,T,0,0.423,scan
326,F,0,0.365,none
327,F,0,0.384,none
328,F,0,0.293,none
329,F,0,0.186,none
330,F,7,0.151,none
331,F,0,0.288,none
332,T,0,0.813,scan
333,T,7,0.537,scan
334,T,0,0.568,scan
335,F,7,0.367,none
336,F,0,0.226,none
337,F,7,0.205,none
338,T,0,0.717,scan
339,T,0,0.729,scan
340,F,0,0.218,none
341,F,0,0.199,none
342,T,7,0.731,scan
343,T,0,0.759,scan
344,T,7,0.56,scan
345,F,10,0.383,none
346,F,0,0.24,none
347,F,0,0.079,none
348,F,0,0.361,none
349,F,0,0.0,none
350,T,156,0.141,img
351,F,0,0.046,none
352,F,0,0.0,none
353,F,0,0.0,none
354,T,0,0.691,scan
355,F,7,0.0,none
356,F,0,0.0,none
357,F,9,0.0,none
358,F,9,0.265,none
359,F,11,0.0,none
360,T,12,0.737,scan
361,T,21,0.0,img
362,F,10,0.373,none
363,F,13,0.0,none
364,T,14,0.623,scan
365,F,13,0.163,none
366,T,1374,0.282,img
367,T,39,0.0,img
368,F,7,0.0,none
369,T,7,0.45,scan
370,F,0,0.0,none
371,F,11,0.0,none
372,F,13,0.0,none
373,F,7,0.0,none
374,T,8,0.517,scan
375,F,12,0.0,none
376,F,7,0.0,none
377,F,12,0.208,none
378,T,11,0.512,scan
379,T,7,0.412,scan
380,T,7,0.824,scan
381,F,0,0.001,none
382,T,11,0.439,scan
383,T,7,0.82,scan
384,F,11,0.01,none
385,F,7,0.0,none
386,F,8,0.138,none
387,F,10,0.162,none
388,F,11,0.0,none
389,F,10,0.082,none
390,F,8,0.174,none
391,F,7,0.0,none
392,F,13,0.033,none
393,F,7,0.05,none
394,T,18,0.176,img
395,T,0,0.83,scan
396,F,0,0.235,none
397,F,0,0.38,none
398,F,0,0.318,none
399,T,7,0.852,scan
400,T,0,0.834,scan
401,F,0,0.209,none
402,T,0,0.457,scan
403,F,0,0.143,none
404,T,14,0.887,scan
405,T,0,0.88,scan
406,F,0,0.0,none
407,F,0,0.0,none
408,F,0,0.0,none
409,T,0,0.846,scan
410,T,0,0.852,scan
411,T,0,0.845,scan
412,F,0,0.0,none
413,F,0,0.0,none
414,F,0,0.0,none
415,T,0,0.775,scan
416,T,0,0.8,scan
417,F,0,0.238,none
418,F,0,0.199,none
419,F,0,0.172,none
420,F,13,0.0,none
421,T,0,0.827,scan
422,T,742,0.839,img+scan
423,F,15,0.318,none
424,F,14,0.378,none
425,T,7,0.451,scan
426,T,9,0.79,scan
427,F,11,0.0,none
428,T,0,0.582,scan
429,F,7,0.067,none
430,F,11,0.0,none
431,F,7,0.101,none
432,F,8,0.227,none
433,T,0,0.537,scan
434,F,0,0.135,none
435,T,134,0.74,img+scan
436,T,0,0.835,scan
437,T,0,0.756,scan
438,T,0,0.725,scan
439,T,19,0.806,img+scan
440,F,10,0.335,none
441,T,0,0.784,scan
442,T,0,0.839,scan
443,T,1136,0.715,img+scan
444,T,0,0.472,scan
445,T,0,0.641,scan
446,T,0,0.697,scan
447,T,0,0.883,scan
