pair_id,label,inliers,scan,evidence
0,T,72,0.151,img
1,T,70,0.182,img
2,T,61,0.19,img
3,T,67,0.125,img
4,T,65,0.154,img
5,T,53,0.125,img
6,T,62,0.147,img
7,T,63,0.205,img
8,T,44,0.204,img
9,T,51,0.132,img
10,T,61,0.163,img
11,T,39,0.169,img
12,T,42,0.103,img
13,T,36,0.13,img
14,F,16,0.118,none
15,F,7,0.192,none
16,F,7,0.111,none
17,F,7,0.166,none
18,F,0,0.126,none
19,F,0,0.24,none
20,F,0,0.237,none
21,F,0,0.129,none
22,F,0,0.307,none
23,F,0,0.113,none
24,F,0,0.205,none
25,F,0,0.204,none
26,F,0,0.267,none
27,F,0,0.335,none
28,F,0,0.291,none
29,T,0,0.455,scan
30,F,0,0.14,none
31,F,0,0.247,none
32,F,0,0.112,none
33,F,0,0.381,none
34,T,0,0.439,scan
35,F,0,0.389,none
36,F,0,0.151,none
37,F,0,0.154,none
38,F,0,0.145,none
39,T,0,0.499,scan
40,T,0,0.545,scan
41,T,0,0.594,scan
42,F,0,0.319,none
43,F,0,0.35,none
44,T,0,0.458,scan
45,T,0,0.565,scan
46,T,0,0.692,scan
47,T,0,0.685,scan
48,T,0,0.656,scan
49,T,0,0.633,scan
50,T,0,0.612,scan
51,T,7,0.521,scan
52,T,7,0.519,scan
53,T,0,0.407,scan
54,T,0,0.597,scan
55,T,0,0.722,scan
56,T,0,0.563,scan
57,T,8,0.559,scan
58,T,0,0.617,scan
59,T,7,0.732,scan
60,T,7,0.574,scan
61,T,7,0.771,scan
62,T,0,0.477,scan
63,T,0,0.569,scan
64,T,0,0.661,scan
65,T,0,0.719,scan
66,T,0,0.788,scan
67,T,0,0.56,scan
68,T,0,0.713,scan
69,T,0,0.739,scan
70,T,0,0.523,scan
71,T,0,0.645,scan
72,T,0,0.646,scan
73,T,0,0.655,scan
74,T,0,0.759,scan
75,T,0,0.705,scan
76,T,0,0.797,scan
77,T,0,0.592,scan
78,T,0,0.623,scan
79,T,0,0.65,scan
80,T,0,0.577,scan
81,T,12,0.521,scan
82,T,9,0.532,scan
83,T,0,0.462,scan
84,T,0,0.461,scan
85,T,0,0.589,scan
86,T,161,0.589,img+scan
87,T,228,0.858,img+scan
88,T,229,0.89,img+scan
89,T,212,0.918,img+scan
90,T,260,0.977,img+scan
91,T,208,0.963,img+scan
92,T,247,0.94,img+scan
93,T,202,0.903,img+scan
94,T,0,0.504,scan
95,T,0,0.798,scan
96,T,0,0.777,scan
97,T,0,0.779,scan
98,T,7,0.779,scan
99,T,0,0.784,scan
100,T,63,0.917,img+scan
101,T,199,0.685,img+scan
102,T,183,0.891,img+scan
103,T,0,0.768,scan
104,T,0,0.786,scan
105,T,0,0.783,scan
106,T,0,0.768,scan
107,T,0,0.77,scan
108,T,0,0.82,scan
109,T,0,0.828,scan
110,T,0,0.823,scan
111,T,0,0.822,scan
112,T,0,0.836,scan
113,T,0,0.827,scan
114,T,8,0.864,scan
115,T,12,0.847,scan
116,T,0,0.86,scan
117,T,65,0.866,img+scan
118,T,0,0.821,scan
119,T,0,0.84,scan
120,T,0,0.84,scan
121,T,165,0.847,img+scan
122,T,0,0.86,scan
123,T,10,0.871,scan
124,T,0,0.78,scan
125,T,7,0.778,scan
126,T,0,0.815,scan
127,T,0,0.806,scan
128,T,0,0.817,scan
129,T,0,0.834,scan
130,T,18,0.81,img+scan
131,T,0,0.801,scan
132,T,0,0.76,scan
133,T,0,0.706,scan
134,T,0,0.416,scan
135,F,0,0.048,none
136,F,0,0.11,none
137,F,0,0.0,none
138,T,0,0.81,scan
139,T,0,0.811,scan
140,F,0,0.0,none
141,T,0,0.814,scan
142,T,0,0.815,scan
143,F,0,0.123,none
144,T,28,0.0,img
145,F,0,0.0,none
146,F,0,0.0,none
147,F,7,0.0,none
148,F,0,0.0,none
149,F,7,0.0,none
150,F,13,0.0,none
151,T,18,0.0,img
152,F,10,0.0,none
153,T,129,0.0,img
154,F,15,0.295,none
155,F,0,0.262,none
156,F,7,0.0,none
157,F,16,0.0,none
158,F,8,0.0,none
159,F,8,0.0,none
160,F,8,0.0,none
161,F,7,0.015,none
162,T,12,0.405,scan
163,T,0,0.546,scan
164,F,13,0.0,none
165,T,22,0.17,img
166,T,7,0.418,scan
167,F,9,0.0,none
168,F,8,0.309,none
169,F,14,0.188,none
170,F,0,0.247,none
171,F,7,0.0,none
172,F,13,0.341,none
173,F,7,0.058,none
174,F,14,0.0,none
175,F,7,0.345,none
176,T,7,0.465,scan
177,F,0,0.0,none
178,F,13,0.308,none
179,F,13,0.0,none
180,F,7,0.356,none
181,T,7,0.479,scan
182,F,15,0.0,none
183,F,0,0.293,none
184,F,0,0.073,none
185,F,0,0.086,none
186,F,0,0.094,none
187,F,0,0.089,none
188,F,0,0.084,none
189,F,0,0.083,none
190,F,0,0.111,none
191,F,7,0.067,none
192,F,7,0.049,none
193,F,7,0.0,none
194,F,0,0.0,none
195,F,0,0.0,none
196,F,14,0.093,none
197,F,11,0.077,none
198,F,14,0.064,none
199,F,14,0.126,none
200,F,14,0.098,none
201,F,14,0.07,none
202,F,0,0.157,none
203,F,0,0.151,none
204,F,0,0.162,none
205,F,7,0.132,none
206,F,0,0.14,none
207,F,0,0.154,none
208,T,11,0.438,scan
209,T,143,0.463,img+scan
210,T,7,0.505,scan
211,T,0,0.478,scan
212,T,0,0.494,scan
213,T,7,0.502,scan
214,F,0,0.0,none
215,F,0,0.0,none
216,F,0,0.337,none
217,T,0,0.71,scan
218,T,0,0.825,scan
219,T,0,0.865,scan
220,F,0,0.0,none
221,T,8,0.799,scan
222,F,0,0.209,none
223,F,0,0.0,none
224,F,0,0.074,none
225,F,0,0.0,none
226,F,0,0.046,none
227,F,12,0.217,none
228,T,24,0.651,img+scan
229,F,0,0.0,none
230,T,11,0.638,scan
231,F,7,0.0,none
232,F,7,0.382,none
233,F,11,0.135,none
234,F,7,0.0,none
235,F,7,0.0,none
236,F,7,0.175,none
237,F,11,0.0,none
238,F,7,0.0,none
239,F,17,0.0,none
240,F,10,0.0,none
241,T,91,0.0,img
242,F,17,0.0,none
243,F,10,0.0,none
244,F,7,0.0,none
245,T,21,0.0,img
246,F,12,0.0,none
247,F,7,0.0,none
248,F,17,0.0,none
249,F,7,0.0,none
250,F,0,0.0,none
251,F,0,0.0,none
252,F,0,0.0,none
253,F,0,0.0,none
254,F,0,0.344,none
255,F,0,0.149,none
256,F,0,0.181,none
257,F,7,0.296,none
258,F,0,0.251,none
259,F,0,0.078,none
260,F,0,0.285,none
261,T,0,0.443,scan
262,F,0,0.086,none
263,F,0,0.314,none
264,T,16,0.449,scan
265,T,10,0.469,scan
266,F,10,0.165,none
267,F,10,0.295,none
268,F,13,0.312,none
269,F,10,0.272,none
270,F,8,0.09,none
271,F,0,0.0,none
272,F,0,0.0,none
273,F,0,0.0,none
274,F,0,0.0,none
275,F,0,0.0,none
276,F,0,0.0,none
277,F,0,0.0,none
278,F,8,0.0,none
279,F,0,0.0,none
280,T,20,0.0,img
281,F,8,0.0,none
282,F,11,0.09,none
283,F,12,0.0,none
284,F,12,0.186,none
285,F,12,0.254,none
286,F,0,0.0,none
287,F,0,0.0,none
288,F,0,0.0,none
289,F,0,0.0,none
290,F,0,0.0,none
291,F,0,0.0,none
292,F,0,0.129,none
293,T,0,0.452,scan
294,F,0,0.303,none
295,T,100,0.293,img
296,T,0,0.424,scan
297,F,0,0.363,none
298,F,0,0.344,none
299,F,0,0.282,none
300,F,0,0.0,none
301,F,0,0.0,none
302,F,0,0.0,none
303,F,0,0.0,none
304,F,0,0.0,none
305,F,0,0.0,none
306,F,0,0.0,none
307,F,0,0.0,none
308,F,0,0.0,none
309,T,22,0.0,img
310,T,19,0.0,img
311,F,7,0.0,none
312,F,0,0.0,none
313,F,0,0.0,none
314,T,7,0.769,scan
315,F,13,0.142,none
316,F,10,0.239,none
317,T,15,0.424,scan
318,T,9,0.453,scan
319,F,7,0.0,none
320,F,7,0.09,none
321,F,7,0.0,none
322,F,8,0.362,none
323,T,7,0.45,scan
324,F,7,0.181,none
325,F,12,0.03,none
326,F,11,0.0,none
327,F,7,0.0,none
328,F,11,0.0,none
329,T,13,0.516,scan
330,F,8,0.0,none
331,F,11,0.36,none
332,T,20,0.239,img
333,F,9,0.101,none
334,F,0,0.0,none
335,F,13,0.0,none
336,F,12,0.0,none
337,F,11,0.318,none
338,T,19,0.127,img
339,F,11,0.081,none
340,F,13,0.35,none
341,T,20,0.216,img
342,F,7,0.023,none
343,F,8,0.067,none
344,F,7,0.237,none
345,F,7,0.216,none
346,F,0,0.231,none
347,F,9,0.211,none
348,F,7,0.0,none
349,F,0,0.0,none
350,F,12,0.077,none
351,F,11,0.062,none
352,F,13,0.286,none
353,F,8,0.327,none
354,F,7,0.168,none
355,F,10,0.252,none
356,F,7,0.131,none
357,F,7,0.112,none
358,F,7,0.053,none
359,F,10,0.0,none
360,F,9,0.056,none
361,F,7,0.039,none
362,F,7,0.278,none
363,F,7,0.209,none
364,F,9,0.075,none
365,F,0,0.19,none
366,F,0,0.165,none
367,F,0,0.264,none
368,F,7,0.18,none
369,F,7,0.281,none
370,F,0,0.18,none
371,F,0,0.203,none
372,F,0,0.118,none
373,F,0,0.222,none
374,F,0,0.29,none
375,F,0,0.292,none
376,F,0,0.387,none
377,F,0,0.315,none
378,F,0,0.3,none
379,F,0,0.289,none
380,F,0,0.156,none
381,F,0,0.204,none
382,T,0,0.435,scan
383,F,0,0.262,none
384,F,0,0.219,none
385,F,13,0.255,none
386,F,0,0.302,none
387,F,9,0.301,none
388,F,7,0.373,none
389,F,12,0.299,none
390,F,10,0.337,none
391,F,7,0.232,none
392,F,12,0.273,none
393,F,7,0.279,none
394,T,7,0.433,scan
395,F,9,0.227,none
396,T,9,0.534,scan
397,F,11,0.365,none
398,T,11,0.705,scan
399,T,7,0.676,scan
400,T,7,0.653,scan
401,F,0,0.271,none
402,T,0,0.688,scan
403,F,7,0.157,none
404,T,7,0.709,scan
405,T,9,0.731,scan
406,T,23,0.67,img+scan
407,T,53,0.696,img+scan
408,T,61,0.728,img+scan
409,T,0,0.442,scan
410,F,7,0.256,none
411,T,16,0.628,scan
412,T,41,0.701,img+scan
413,T,64,0.184,img
414,T,47,0.102,img
415,T,16,0.77,scan
416,T,14,0.789,scan
417,T,11,0.756,scan
418,F,15,0.236,none
419,T,27,0.677,img+scan
420,T,15,0.753,scan
421,T,17,0.777,scan
422,T,12,0.733,scan
423,T,14,0.666,scan
424,T,12,0.67,scan
425,T,15,0.67,scan
426,F,10,0.28,none
427,T,14,0.566,scan
428,T,14,0.594,scan
429,T,22,0.838,img+scan
430,T,52,0.825,img+scan
431,T,114,0.657,img+scan
432,T,22,0.0,img
433,T,47,0.0,img
434,T,78,0.0,img
435,T,206,0.915,img+scan
436,T,16,0.61,scan
437,T,18,0.557,img+scan
438,T,36,0.276,img
439,T,47,0.947,img+scan
440,T,45,0.224,img
441,F,12,0.142,none
442,T,28,0.788,img+scan
443,T,57,0.826,img+scan
444,F,7,0.172,none
445,T,114,0.828,img+scan
446,T,0,0.469,scan
447,T,0,0.599,scan
448,T,25,0.58,img+scan
449,T,131,0.859,img+scan
450,T,124,0.9,img+scan
451,T,28,0.854,img+scan
452,T,7,0.776,scan
453,T,118,0.832,img+scan
454,T,170,0.878,img+scan
455,T,57,0.81,img+scan
456,T,93,0.847,img+scan
457,T,377,0.924,img+scan
458,T,536,0.828,img+scan
459,T,200,0.866,img+scan
460,T,629,0.953,img+scan
461,T,434,0.741,img+scan
462,T,561,0.912,img+scan
463,T,492,0.82,img+scan
464,T,23,0.304,img
465,T,31,0.821,img+scan
466,T,430,0.902,img+scan
467,T,338,0.902,img+scan
468,T,256,0.812,img+scan
469,T,486,0.955,img+scan
470,T,171,0.852,img+scan
471,T,154,0.916,img+scan
472,T,54,0.821,img+scan
473,T,161,0.921,img+scan
474,T,87,0.923,img+scan
475,T,83,0.922,img+scan
476,T,7,0.863,scan
477,T,73,0.913,img+scan
478,T,81,0.975,img+scan
479,T,7,0.757,scan
480,T,17,0.8,scan
481,T,72,0.874,img+scan
482,T,95,0.932,img+scan
483,T,11,0.738,scan
484,F,0,0.084,none
485,T,7,0.64,scan
486,T,12,0.655,scan
487,T,0,0.674,scan
488,T,0,0.618,scan
489,F,7,0.197,none
