pair_id,label,inliers,scan,evidence
0,F,7,0.168,none
1,F,0,0.181,none
2,F,0,0.211,none
3,F,13,0.255,none
4,F,7,0.316,none
5,F,0,0.391,none
6,F,0,0.275,none
7,T,0,0.547,scan
8,F,0,0.091,none
9,F,0,0.199,none
10,F,0,0.339,none
11,T,0,0.496,scan
12,F,0,0.256,none
13,F,7,0.28,none
14,F,8,0.329,none
15,F,7,0.29,none
16,F,0,0.325,none
17,T,7,0.439,scan
18,T,7,0.535,scan
19,T,7,0.543,scan
20,T,7,0.679,scan
21,T,8,0.731,scan
22,T,0,0.709,scan
23,F,7,0.139,none
24,T,8,0.78,scan
25,F,7,0.181,none
26,T,10,0.617,scan
27,F,9,0.249,none
28,F,7,0.0,none
29,T,18,0.0,img
30,T,7,0.776,scan
31,T,30,0.748,img+scan
32,T,150,0.725,img+scan
33,T,14,0.874,scan
34,T,7,0.847,scan
35,T,13,0.784,scan
36,T,11,0.756,scan
37,F,7,0.215,none
38,F,0,0.229,none
39,F,0,0.229,none
40,F,0,0.23,none
41,F,7,0.283,none
42,T,48,0.129,img
43,T,78,0.231,img
44,T,95,0.569,img+scan
45,T,11,0.406,scan
46,T,129,0.845,img+scan
47,T,201,0.34,img
48,T,22,0.952,img+scan
49,T,30,0.857,img+scan
50,T,11,0.568,scan
51,T,115,0.949,img+scan
52,T,227,0.978,img+scan
53,T,175,0.93,img+scan
54,T,401,0.888,img+scan
55,T,108,0.941,img+scan
56,T,75,0.906,img+scan
57,T,434,0.92,img+scan
58,T,550,0.922,img+scan
59,T,159,0.963,img+scan
60,T,338,0.961,img+scan
61,T,292,0.935,img+scan
62,T,63,0.942,img+scan
63,T,103,0.907,img+scan
64,T,50,0.846,img+scan
65,T,83,0.956,img+scan
66,T,55,0.927,img+scan
67,T,156,0.919,img+scan
68,T,16,0.68,scan
69,T,10,0.728,scan
70,T,11,0.737,scan
71,T,29,0.792,img+scan
72,F,16,0.251,none
73,T,10,0.613,scan
74,T,7,0.692,scan
75,T,8,0.703,scan
76,T,7,0.68,scan
77,T,8,0.727,scan
78,F,8,0.32,none
79,T,11,0.464,scan
80,T,7,0.597,scan
81,T,9,0.628,scan
82,F,7,0.336,none
83,T,10,0.652,scan
84,F,12,0.258,none
85,F,11,0.091,none
86,F,12,0.15,none
87,T,8,0.738,scan
88,T,0,0.735,scan
89,F,0,0.083,none
90,F,0,0.186,none
91,F,0,0.134,none
92,F,0,0.0,none
93,F,0,0.0,none
94,F,0,0.0,none
95,F,0,0.0,none
96,F,0,0.0,none
97,F,0,0.0,none
98,T,0,0.787,scan
99,F,10,0.0,none
100,F,11,0.0,none
101,F,12,0.0,none
102,T,14,0.749,scan
103,T,10,0.711,scan
104,T,444,0.908,img+scan
105,T,550,0.953,img+scan
106,T,618,0.88,img+scan
107,T,637,0.96,img+scan
108,T,769,0.0,img
