pair_id,t_query,t_cand,n_runs,ever_accepted
0,1781020234.269,1781020197.478,3,0
1,1781020234.269,1781020199.543,3,0
2,1781020277.910,1781020245.400,3,0
3,1781020280.946,1781020247.705,3,0
4,1781020280.946,1781020248.643,3,0
5,1781020284.899,1781020248.753,3,0
6,1781020284.899,1781020249.370,3,0
7,1781020286.461,1781020252.583,3,1
8,1781020286.461,1781020253.513,3,1
9,1781020287.922,1781020254.029,3,0
10,1781020287.922,1781020255.183,3,0
11,1781020288.961,1781020257.782,3,1
12,1781020288.961,1781020258.721,3,2
13,1781020292.066,1781020259.456,3,3
14,1781020292.066,1781020260.499,3,3
15,1781020294.978,1781020262.266,3,2
16,1781020294.978,1781020263.208,3,2
17,1781020297.680,1781020262.162,1,0
18,1781020297.680,1781020263.417,3,2
19,1781020297.680,1781020265.506,2,2
20,1781020301.728,1781020263.208,2,1
21,1781020301.728,1781020264.983,3,2
22,1781020301.728,1781020270.617,1,1
23,1781020304.018,1781020262.162,1,0
24,1781020304.018,1781020271.667,2,2
25,1781020304.018,1781020272.085,3,2
26,1781020305.481,1781020272.193,3,2
27,1781020305.481,1781020274.792,3,2
28,1781020307.355,1781020260.499,1,1
29,1781020307.355,1781020261.538,3,3
30,1781020307.355,1781020262.162,2,2
31,1781020312.958,1781020266.546,2,2
32,1781020312.958,1781020269.992,1,1
33,1781020312.958,1781020270.617,3,2
34,1781020315.457,1781020267.068,3,3
35,1781020315.457,1781020269.152,3,3
36,1781020319.190,1781020267.900,3,2
37,1781020319.190,1781020269.992,3,2
38,1781020320.842,1781020267.068,3,0
39,1781020320.842,1781020269.152,3,0
40,1781020325.094,1781020267.900,3,0
41,1781020325.094,1781020269.992,3,0
42,1781020326.236,1781020267.068,3,0
43,1781020326.236,1781020269.152,3,0
44,1781020331.005,1781020267.900,3,0
45,1781020331.005,1781020269.992,3,0
46,1781020332.350,1781020269.152,3,0
47,1781020371.954,1781020336.304,3,0
48,1781020371.954,1781020337.754,3,0
49,1781020374.249,1781020340.875,3,0
50,1781020374.249,1781020342.016,3,0
51,1781020376.942,1781020343.260,3,0
52,1781020376.942,1781020344.389,3,0
53,1781020379.334,1781020346.373,3,0
54,1781020379.334,1781020347.619,3,0
55,1781020381.530,1781020344.389,3,0
56,1781020381.530,1781020345.745,3,0
57,1781020384.230,1781020345.641,3,2
58,1781020384.230,1781020346.373,3,2
59,1781020386.631,1781020343.260,3,0
60,1781020386.631,1781020344.389,3,1
61,1781020389.761,1781020343.154,1,0
62,1781020389.761,1781020344.290,3,1
63,1781020389.761,1781020345.641,2,1
64,1781020391.847,1781020335.049,1,1
65,1781020391.847,1781020336.304,1,1
66,1781020391.847,1781020340.668,2,0
67,1781020391.847,1781020341.913,2,0
68,1781020394.248,1781020343.154,3,2
69,1781020394.248,1781020344.290,3,2
70,1781020395.291,1781020340.668,2,0
71,1781020395.291,1781020341.913,3,1
72,1781020395.291,1781020343.260,1,1
73,1781020400.391,1781020345.641,3,3
74,1781020400.391,1781020346.373,3,3
75,1781020401.333,1781020341.913,2,1
76,1781020401.333,1781020343.260,2,0
77,1781020401.333,1781020347.819,1,1
78,1781020401.333,1781020348.546,1,1
79,1781020406.106,1781020350.526,3,2
80,1781020406.106,1781020352.082,3,2
81,1781020406.523,1781020348.546,2,1
82,1781020406.523,1781020349.278,2,1
83,1781020406.523,1781020357.809,1,1
84,1781020406.523,1781020358.956,1,1
85,1781020413.166,1781020359.574,3,3
86,1781020413.166,1781020360.825,3,3
87,1781020413.262,1781020357.809,1,1
88,1781020413.262,1781020358.956,1,1
89,1781020413.262,1781020360.303,1,1
90,1781020413.262,1781020361.663,2,2
91,1781020413.262,1781020363.030,1,1
92,1781020418.065,1781020363.030,3,2
93,1781020418.065,1781020364.384,3,3
94,1781020418.479,1781020364.384,1,1
95,1781020418.479,1781020365.001,3,2
96,1781020418.479,1781020365.519,2,2
97,1781020419.306,1781020365.072,3,1
98,1781020420.704,1781020366.403,3,3
99,1781020422.152,1781020367.379,3,3
100,1781020422.152,1781020368.628,3,3
101,1781020422.664,1781020368.725,3,3
102,1781020422.664,1781020369.984,3,3
103,1781020422.703,1781020367.741,3,3
104,1781020422.703,1781020369.074,3,3
105,1781020423.370,1781020370.410,3,3
106,1781020424.037,1781020370.410,3,3
107,1781020424.706,1781020370.410,3,3
108,1781020425.376,1781020371.745,3,3
109,1781020427.551,1781020372.892,3,2
110,1781020427.551,1781020374.037,3,3
111,1781020428.062,1781020372.996,3,3
112,1781020428.062,1781020374.249,3,3
113,1781020433.141,1781020376.942,2,1
114,1781020433.141,1781020377.984,3,2
115,1781020433.141,1781020378.711,1,1
116,1781020434.688,1781020347.619,1,1
117,1781020434.688,1781020348.442,2,1
118,1781020434.688,1781020400.391,3,2
119,1781020438.220,1781020344.389,1,1
120,1781020438.220,1781020397.699,3,2
121,1781020438.220,1781020398.833,2,1
122,1781020440.192,1781020343.154,3,2
123,1781020440.192,1781020344.290,3,2
124,1781020444.156,1781020335.049,1,0
125,1781020444.156,1781020336.304,2,1
126,1781020444.156,1781020337.754,2,1
127,1781020444.156,1781020339.212,1,0
128,1781020446.252,1781020337.139,3,2
129,1781020446.252,1781020338.375,3,2
130,1781020450.533,1781020331.103,2,1
131,1781020450.533,1781020332.350,3,2
132,1781020450.533,1781020333.383,1,0
133,1781020452.706,1781020331.005,3,2
134,1781020452.706,1781020332.136,3,2
135,1781020457.574,1781020323.751,1,0
136,1781020457.574,1781020324.990,1,0
137,1781020457.574,1781020326.236,3,2
138,1781020457.574,1781020327.478,1,1
139,1781020459.124,1781020325.094,3,2
140,1781020459.124,1781020326.236,3,2
141,1781020464.725,1781020318.671,1,0
142,1781020464.725,1781020319.806,2,1
143,1781020464.725,1781020320.842,2,2
144,1781020464.725,1781020321.784,1,1
145,1781020465.561,1781020319.190,3,2
146,1781020465.561,1781020320.427,3,2
147,1781020471.469,1781020267.900,2,2
148,1781020471.469,1781020269.992,1,1
149,1781020471.469,1781020312.958,1,0
150,1781020471.469,1781020314.418,2,1
151,1781020472.298,1781020277.910,1,0
152,1781020472.298,1781020285.837,1,0
153,1781020472.298,1781020315.457,2,2
154,1781020472.298,1781020316.599,2,1
155,1781020475.098,1781020275.933,1,0
156,1781020475.098,1781020276.973,3,3
157,1781020475.098,1781020286.461,2,2
158,1781020475.619,1781020267.068,2,1
159,1781020475.619,1781020269.152,2,1
160,1781020475.619,1781020280.318,1,0
161,1781020475.619,1781020283.964,1,0
162,1781020476.405,1781020278.081,3,3
163,1781020481.073,1781020282.076,3,3
164,1781020481.876,1781020282.076,3,3
165,1781020482.083,1781020280.946,3,3
166,1781020482.083,1781020283.026,3,3
167,1781020483.120,1781020280.318,1,1
168,1781020483.120,1781020281.878,1,1
169,1781020483.120,1781020283.964,2,2
170,1781020483.120,1781020284.899,2,2
171,1781020483.278,1781020280.744,3,1
172,1781020486.337,1781020286.461,2,2
173,1781020486.337,1781020286.981,3,3
174,1781020486.337,1781020287.501,1,1
175,1781020486.441,1781020276.868,1,1
176,1781020486.441,1781020286.461,1,1
177,1781020486.441,1781020286.877,2,2
178,1781020486.441,1781020315.457,1,1
179,1781020486.441,1781020316.599,1,1
180,1781020490.481,1781020261.643,3,3
181,1781020490.481,1781020288.961,1,1
182,1781020490.481,1781020291.033,2,2
183,1781020490.689,1781020267.068,1,1
184,1781020490.689,1781020269.152,1,0
185,1781020490.689,1781020287.922,1,0
186,1781020490.689,1781020288.337,2,1
187,1781020490.689,1781020288.852,1,1
188,1781020492.220,1781020292.889,3,3
189,1781020492.820,1781020293.622,3,3
190,1781020492.820,1781020294.955,3,2
191,1781020493.486,1781020293.622,3,3
192,1781020493.486,1781020305.501,3,2
193,1781020494.155,1781020294.289,3,2
194,1781020494.155,1781020294.955,3,2
195,1781020495.490,1781020296.288,3,3
196,1781020496.158,1781020294.955,3,3
197,1781020496.158,1781020295.622,3,3
198,1781020496.723,1781020296.531,2,2
199,1781020496.723,1781020297.680,1,1
200,1781020496.723,1781020304.754,1,1
201,1781020496.723,1781020314.314,1,1
202,1781020496.723,1781020315.457,1,1
203,1781020496.826,1781020297.053,3,3
204,1781020496.826,1781020303.704,3,3
205,1781020496.827,1781020295.622,3,3
206,1781020496.827,1781020296.955,3,3
207,1781020497.494,1781020297.621,3,1
208,1781020497.494,1781020304.295,3,0
209,1781020498.161,1781020302.287,3,2
210,1781020498.161,1781020304.295,3,3
211,1781020498.827,1781020298.288,3,2
212,1781020498.827,1781020302.287,3,2
213,1781020499.493,1781020298.288,3,2
214,1781020499.493,1781020298.954,3,3
215,1781020500.159,1781020301.620,3,3
216,1781020500.159,1781020302.287,3,2
217,1781020500.825,1781020299.621,3,3
218,1781020500.825,1781020302.287,3,2
219,1781020501.492,1781020298.288,3,2
220,1781020501.492,1781020302.287,3,2
221,1781020502.158,1781020301.620,3,2
222,1781020502.158,1781020302.287,3,2
223,1781020502.825,1781020302.287,3,2
224,1781020502.825,1781020302.956,3,3
225,1781020503.374,1781020296.531,1,1
226,1781020503.374,1781020297.680,3,3
227,1781020503.374,1781020303.078,2,2
228,1781020503.491,1781020302.956,3,2
229,1781020503.491,1781020304.295,3,2
230,1781020503.897,1781020295.807,3,3
231,1781020503.897,1781020303.704,3,3
232,1781020506.408,1781020270.932,1,0
233,1781020506.408,1781020313.063,3,2
234,1781020506.408,1781020314.314,1,1
235,1781020506.408,1781020472.298,1,1
236,1781020506.934,1781020266.546,1,0
237,1781020506.934,1781020269.992,1,1
238,1781020506.934,1781020270.617,1,0
239,1781020506.934,1781020312.958,2,2
240,1781020506.934,1781020472.298,1,1
241,1781020513.190,1781020260.499,1,0
242,1781020513.190,1781020288.337,1,1
243,1781020513.190,1781020288.852,1,1
244,1781020513.190,1781020289.888,1,1
245,1781020513.190,1781020291.237,2,1
246,1781020514.641,1781020259.660,2,1
247,1781020514.641,1781020260.704,3,2
248,1781020514.641,1781020291.033,1,1
249,1781020520.873,1781020255.183,2,0
250,1781020520.873,1781020256.224,3,1
251,1781020520.873,1781020257.368,1,1
252,1781020522.218,1781020254.554,3,2
253,1781020522.218,1781020255.600,3,2
254,1781020527.719,1781020250.513,3,1
255,1781020527.719,1781020250.720,2,0
256,1781020527.719,1781020251.553,3,1
257,1781020527.719,1781020251.860,3,1
258,1781020527.719,1781020252.999,1,1
259,1781020534.361,1781020247.705,1,0
260,1781020534.361,1781020248.643,3,2
261,1781020534.361,1781020249.267,2,2
262,1781020534.672,1781020248.753,3,2
263,1781020534.672,1781020249.370,3,2
264,1781020540.810,1781020246.659,3,2
265,1781020540.810,1781020247.705,3,2
266,1781020541.228,1781020247.705,3,2
267,1781020541.228,1781020248.753,3,2
268,1781020547.922,1781020246.028,1,0
269,1781020547.922,1781020246.659,3,2
270,1781020547.922,1781020247.705,2,2
271,1781020548.136,1781020246.659,2,2
272,1781020548.136,1781020247.705,3,2
273,1781020548.136,1781020248.753,1,0
274,1781020553.030,1781020246.659,2,2
275,1781020553.030,1781020247.705,3,2
276,1781020553.030,1781020248.753,1,0
277,1781020553.350,1781020246.659,3,2
278,1781020553.350,1781020247.705,3,2
279,1781020558.538,1781020244.257,2,1
280,1781020558.538,1781020245.400,2,1
281,1781020558.538,1781020246.028,1,0
282,1781020558.538,1781020246.659,1,0
283,1781020559.478,1781020242.800,1,0
284,1781020559.478,1781020244.049,3,2
285,1781020559.478,1781020245.400,2,2
286,1781020563.838,1781020241.554,1,1
287,1781020563.838,1781020243.012,2,2
288,1781020563.838,1781020244.257,1,1
289,1781020563.838,1781020247.705,1,0
290,1781020563.838,1781020248.753,1,0
291,1781020564.253,1781020241.455,1,0
292,1781020564.253,1781020242.800,3,2
293,1781020564.253,1781020244.049,2,2
294,1781020568.730,1781020251.860,1,0
295,1781020568.730,1781020252.999,1,0
296,1781020568.730,1781020526.268,2,2
297,1781020568.730,1781020526.993,2,2
298,1781020569.978,1781020526.268,3,2
299,1781020569.978,1781020526.993,3,2
300,1781020574.136,1781020256.224,3,2
301,1781020574.136,1781020257.368,3,3
302,1781020577.158,1781020523.571,3,2
303,1781020577.158,1781020525.024,3,2
304,1781020581.756,1781020250.720,1,0
305,1781020581.756,1781020251.860,1,1
306,1781020581.756,1781020526.268,1,1
307,1781020581.756,1781020526.993,2,2
308,1781020581.756,1781020527.719,1,1
309,1781020582.799,1781020527.719,3,2
310,1781020582.799,1781020528.445,3,2
311,1781020587.383,1781020241.554,3,2
312,1781020587.383,1781020243.012,3,2
313,1781020588.317,1781020238.550,1,1
314,1781020588.317,1781020239.383,3,3
315,1781020588.317,1781020240.108,2,2
316,1781020592.268,1781020234.061,3,2
317,1781020592.268,1781020234.580,3,2
318,1781020593.726,1781020234.692,3,3
319,1781020593.726,1781020235.626,3,3
320,1781020593.753,1781020235.321,3,1
321,1781020594.423,1781020234.653,3,2
322,1781020595.092,1781020233.984,3,2
323,1781020597.463,1781020229.158,2,1
324,1781020597.463,1781020230.410,1,1
325,1781020597.463,1781020230.620,2,1
326,1781020597.463,1781020231.353,1,1
327,1781020599.649,1781020229.576,3,3
328,1781020599.649,1781020230.620,3,3
329,1781020602.677,1781020223.752,2,0
330,1781020602.677,1781020224.793,2,0
331,1781020602.677,1781020225.841,1,1
332,1781020602.677,1781020226.878,1,1
333,1781020605.085,1781020224.376,3,3
334,1781020605.085,1781020225.419,3,3
335,1781020607.598,1781020216.313,1,1
336,1781020607.598,1781020218.402,2,2
337,1781020607.598,1781020220.184,2,2
338,1781020607.598,1781020221.554,1,1
339,1781020610.414,1781020218.089,3,3
340,1781020610.414,1781020219.663,3,3
341,1781020613.221,1781020214.218,3,2
342,1781020613.221,1781020216.313,3,3
343,1781020620.589,1781020212.125,3,2
344,1781020620.589,1781020216.313,3,3
345,1781020623.583,1781020214.218,3,1
