pair_id,t_query,t_cand,n_runs,ever_accepted
0,1782485058.017,1782485022.859,3,0
1,1782485058.017,1782485024.940,3,0
2,1782485064.886,1782485053.658,3,0
3,1782485064.886,1782485054.065,3,0
4,1782485066.984,1782485055.316,3,1
5,1782485066.984,1782485055.829,3,1
6,1782485069.998,1782485052.303,1,1
7,1782485069.998,1782485052.923,1,1
8,1782485069.998,1782485053.658,2,0
9,1782485069.998,1782485054.695,2,0
10,1782485071.675,1782485053.755,3,2
11,1782485071.675,1782485054.378,3,2
12,1782485072.422,1782485052.923,3,2
13,1782485072.422,1782485053.658,3,2
14,1782485074.101,1782485053.136,1,1
15,1782485074.101,1782485053.755,3,2
16,1782485074.101,1782485054.378,2,1
17,1782485075.351,1782485052.923,3,2
18,1782485075.351,1782485053.658,3,2
19,1782485078.154,1782485053.136,3,2
20,1782485078.154,1782485053.755,3,2
21,1782485078.778,1782485052.303,1,0
22,1782485078.778,1782485052.923,3,1
23,1782485078.778,1782485053.658,2,1
24,1782485080.020,1782485054.378,3,2
25,1782485080.020,1782485063.205,3,2
26,1782485081.367,1782485064.253,3,2
27,1782485081.367,1782485064.886,3,2
28,1782485082.817,1782485065.723,3,2
29,1782485082.817,1782485066.042,3,2
30,1782485083.886,1782485068.010,3,3
31,1782485084.474,1782485066.569,3,2
32,1782485084.474,1782485066.984,3,3
33,1782485087.199,1782485066.042,3,2
34,1782485087.199,1782485066.359,3,2
35,1782485088.138,1782485065.940,2,2
36,1782485088.138,1782485066.258,2,2
37,1782485088.138,1782485066.569,1,0
38,1782485088.138,1782485066.984,1,0
39,1782485089.274,1782485066.042,1,0
40,1782485089.274,1782485066.359,3,2
41,1782485089.274,1782485066.677,2,2
42,1782485090.003,1782485064.886,1,1
43,1782485090.003,1782485065.513,2,2
44,1782485090.003,1782485065.940,2,1
45,1782485090.003,1782485066.258,1,0
46,1782485091.556,1782485063.837,3,2
47,1782485091.556,1782485064.466,3,2
48,1782485092.496,1782485062.996,3,2
49,1782485092.496,1782485063.624,3,2
50,1782485094.277,1782485061.122,3,2
51,1782485094.277,1782485061.856,3,2
52,1782485094.696,1782485061.122,3,2
53,1782485094.696,1782485061.746,3,2
54,1782485096.992,1782485060.090,3,2
55,1782485096.992,1782485060.402,3,2
56,1782485097.308,1782485059.679,3,2
57,1782485097.308,1782485060.194,3,2
58,1782485099.499,1782485060.090,3,1
59,1782485099.499,1782485060.402,3,1
60,1782485099.704,1782485059.470,3,1
61,1782485099.704,1782485059.679,3,1
62,1782485103.257,1782485060.090,3,1
63,1782485103.257,1782485060.402,3,0
64,1782485103.570,1782485059.470,3,1
65,1782485103.570,1782485059.679,3,1
66,1782485107.302,1782485060.402,3,0
67,1782485107.302,1782485061.122,3,0
68,1782485107.933,1782485059.470,3,0
69,1782485107.933,1782485059.679,3,0
70,1782485110.765,1782485061.122,3,0
71,1782485110.765,1782485061.856,3,1
72,1782485111.079,1782485059.470,3,0
73,1782485111.079,1782485059.679,3,0
74,1782485137.461,1782485062.676,3,0
75,1782485138.061,1782485060.409,3,0
76,1782485150.061,1782485132.320,3,0
77,1782485150.061,1782485132.945,3,0
78,1782485150.793,1782485132.837,3,0
79,1782485150.793,1782485133.564,3,0
80,1782485152.668,1782485135.540,3,1
81,1782485152.668,1782485135.961,3,1
82,1782485153.086,1782485136.065,3,1
83,1782485153.086,1782485136.693,3,1
84,1782485155.583,1782485136.693,3,1
85,1782485155.583,1782485137.429,3,1
86,1782485156.416,1782485136.693,3,1
87,1782485156.416,1782485137.429,3,1
88,1782485158.276,1782485137.429,3,1
89,1782485158.276,1782485138.053,3,1
90,1782485158.798,1782485136.693,2,0
91,1782485158.798,1782485137.429,2,0
92,1782485164.529,1782485146.504,2,0
93,1782485164.529,1782485147.025,3,0
94,1782485165.259,1782485147.025,3,0
