pair_id,t_query,t_cand,n_runs,ever_accepted
0,1782491811.517,1782491778.508,3,0
1,1782491811.517,1782491780.578,3,0
2,1782491811.517,1782491782.646,3,0
3,1782491812.978,1782491778.508,3,0
4,1782491812.978,1782491780.578,3,0
5,1782491812.978,1782491782.646,3,0
6,1782491813.819,1782491778.508,3,0
7,1782491813.819,1782491780.578,3,0
8,1782491813.819,1782491782.646,3,0
9,1782491814.554,1782491778.508,3,0
10,1782491814.554,1782491780.578,3,0
11,1782491814.554,1782491782.646,3,0
12,1782491815.813,1782491776.430,3,0
13,1782491815.813,1782491778.508,3,0
14,1782491815.813,1782491784.713,3,0
15,1782491817.678,1782491776.430,3,0
16,1782491817.678,1782491778.508,3,0
17,1782491817.678,1782491780.578,3,0
18,1782491820.292,1782491776.430,3,0
19,1782491820.292,1782491784.713,3,0
20,1782491820.292,1782491786.786,3,0
21,1782491821.957,1782491776.430,3,0
22,1782491821.957,1782491803.037,3,0
23,1782491821.957,1782491804.294,3,0
24,1782491826.842,1782491776.430,3,0
25,1782491826.842,1782491786.786,3,0
26,1782491826.842,1782491795.112,3,0
27,1782491828.614,1782491807.017,3,0
28,1782491828.614,1782491808.166,3,0
29,1782491828.614,1782491808.900,3,0
30,1782491832.174,1782491776.430,3,0
31,1782491832.174,1782491786.786,3,0
32,1782491832.174,1782491795.112,3,0
33,1782491832.795,1782491809.118,3,1
34,1782491832.795,1782491809.741,3,1
35,1782491832.795,1782491809.950,3,1
36,1782491840.127,1782491776.430,3,0
37,1782491840.127,1782491786.786,3,0
38,1782491840.127,1782491795.112,3,0
39,1782491840.227,1782491811.517,3,0
40,1782491840.227,1782491812.039,3,0
41,1782491840.227,1782491812.143,3,0
42,1782491843.659,1782491776.430,3,0
43,1782491843.659,1782491799.293,3,0
44,1782491843.659,1782491801.365,3,0
45,1782491843.860,1782491809.950,3,2
46,1782491843.860,1782491812.143,3,2
47,1782491843.860,1782491813.293,3,2
48,1782491847.398,1782491809.741,2,1
49,1782491847.398,1782491809.950,3,2
50,1782491847.398,1782491813.293,3,2
51,1782491847.398,1782491814.244,1,1
52,1782491847.503,1782491804.294,3,1
53,1782491847.503,1782491805.654,3,2
54,1782491847.503,1782491807.017,3,2
55,1782491851.389,1782491808.166,3,1
56,1782491851.389,1782491809.004,2,1
57,1782491851.389,1782491809.741,3,0
58,1782491851.389,1782491809.950,1,0
59,1782491851.810,1782491808.166,3,2
60,1782491851.810,1782491809.215,3,2
61,1782491851.810,1782491810.369,3,2
62,1782491854.514,1782491805.654,1,0
63,1782491854.514,1782491807.017,1,0
64,1782491854.514,1782491808.166,3,1
65,1782491854.514,1782491809.004,2,1
66,1782491854.514,1782491809.741,2,1
67,1782491854.613,1782491807.017,3,2
68,1782491854.613,1782491808.166,3,2
69,1782491854.613,1782491809.215,3,2
70,1782491858.770,1782491808.166,3,2
71,1782491858.770,1782491834.258,3,2
72,1782491858.770,1782491836.352,3,2
73,1782491858.876,1782491807.017,1,0
74,1782491858.876,1782491808.166,3,2
75,1782491858.876,1782491809.004,3,2
76,1782491858.876,1782491809.741,2,1
77,1782491862.229,1782491808.166,1,0
78,1782491862.229,1782491809.004,1,0
79,1782491862.229,1782491809.741,1,0
80,1782491862.229,1782491826.842,3,2
81,1782491862.229,1782491828.614,2,2
82,1782491862.229,1782491829.868,2,2
83,1782491862.229,1782491830.808,2,2
84,1782491862.229,1782491834.258,3,2
85,1782491862.229,1782491836.352,3,2
86,1782491862.573,1782491845.421,3,2
87,1782491863.509,1782491845.421,3,2
88,1782491864.243,1782491845.421,3,3
89,1782491864.243,1782491846.086,3,2
90,1782491864.243,1782491846.752,3,2
