pair_id,t_query,t_cand,n_runs,ever_accepted
0,1781016185.434,1781016156.003,3,0
1,1781016189.476,1781016160.266,3,0
2,1781016189.476,1781016161.305,3,0
3,1781016189.679,1781016160.581,3,0
4,1781016189.679,1781016160.995,3,0
5,1781016193.515,1781016161.618,3,2
6,1781016193.515,1781016162.860,3,2
7,1781016193.718,1781016163.905,3,1
8,1781016193.718,1781016164.524,3,2
9,1781016197.869,1781016161.618,3,1
10,1781016197.869,1781016162.860,3,1
11,1781016197.869,1781016163.384,3,1
12,1781016197.869,1781016163.905,3,1
13,1781016202.567,1781016160.581,2,1
14,1781016202.567,1781016161.618,3,0
15,1781016202.567,1781016162.860,1,0
16,1781016202.671,1781016162.346,3,2
17,1781016202.671,1781016163.384,3,1
18,1781016206.739,1781016157.570,1,0
19,1781016206.739,1781016158.708,1,0
20,1781016206.739,1781016160.581,2,2
21,1781016206.739,1781016161.618,2,2
22,1781016207.576,1781016160.266,2,1
23,1781016207.576,1781016161.305,3,2
24,1781016207.576,1781016162.346,1,1
25,1781016211.243,1781016157.570,1,0
26,1781016211.243,1781016158.708,1,0
27,1781016211.243,1781016160.581,2,2
28,1781016211.243,1781016161.618,2,2
29,1781016212.292,1781016161.305,3,2
30,1781016212.292,1781016162.346,3,2
31,1781016216.781,1781016160.995,1,0
32,1781016216.781,1781016161.618,1,1
33,1781016216.781,1781016164.524,2,2
34,1781016216.781,1781016165.563,2,2
35,1781016218.132,1781016164.524,3,2
36,1781016218.132,1781016165.563,3,2
37,1781016220.828,1781016175.319,2,2
38,1781016220.828,1781016176.468,3,1
39,1781016220.828,1781016177.621,1,0
40,1781016223.643,1781016174.798,3,2
41,1781016223.643,1781016175.846,3,2
42,1781016225.936,1781016176.468,2,2
43,1781016225.936,1781016177.621,2,2
44,1781016225.936,1781016178.761,1,1
45,1781016225.936,1781016179.917,1,0
46,1781016228.750,1781016178.135,3,3
47,1781016228.750,1781016179.283,3,3
48,1781016230.425,1781016180.749,2,1
49,1781016230.425,1781016181.169,3,3
50,1781016230.425,1781016181.799,1,1
51,1781016232.196,1781016182.007,3,3
52,1781016232.196,1781016182.528,3,3
53,1781016232.332,1781016182.823,3,2
54,1781016233.664,1781016184.825,3,2
55,1781016234.180,1781016184.394,3,3
56,1781016234.180,1781016185.434,3,3
57,1781016234.996,1781016184.825,3,2
58,1781016234.996,1781016185.494,3,2
59,1781016235.662,1781016186.163,3,2
60,1781016236.328,1781016186.830,3,1
61,1781016236.328,1781016187.496,3,1
62,1781016237.536,1781016187.915,3,3
63,1781016237.536,1781016188.434,3,3
64,1781016238.583,1781016188.127,1,1
65,1781016238.583,1781016189.166,3,3
66,1781016238.583,1781016189.679,2,2
67,1781016238.725,1781016189.360,3,2
68,1781016242.754,1781016191.753,3,2
69,1781016242.754,1781016192.475,3,2
70,1781016243.272,1781016192.272,1,0
71,1781016243.272,1781016192.897,3,1
72,1781016243.272,1781016193.515,2,1
73,1781016248.034,1781016211.243,2,1
74,1781016248.034,1781016212.292,3,1
75,1781016248.034,1781016213.235,1,1
76,1781016248.034,1781016214.485,3,2
77,1781016248.034,1781016215.941,3,2
78,1781016252.938,1781016157.044,2,2
79,1781016252.938,1781016157.570,2,1
80,1781016252.938,1781016209.152,1,0
81,1781016252.938,1781016210.196,1,0
82,1781016253.457,1781016158.193,3,2
83,1781016253.457,1781016159.335,3,2
84,1781016258.677,1781016151.825,1,0
85,1781016258.677,1781016152.763,3,2
86,1781016258.677,1781016152.871,3,2
87,1781016258.677,1781016153.704,5,4
88,1781016264.532,1781016146.824,1,1
89,1781016264.532,1781016147.753,5,4
90,1781016264.532,1781016148.480,1,1
91,1781016264.532,1781016148.579,3,2
92,1781016264.532,1781016149.418,1,0
93,1781016264.532,1781016149.941,1,0
94,1781016269.757,1781016145.054,3,2
95,1781016269.757,1781016145.783,3,2
96,1781016270.177,1781016145.359,2,2
97,1781016270.177,1781016145.783,3,2
98,1781016270.177,1781016146.824,1,0
99,1781016273.516,1781016145.054,3,2
100,1781016273.516,1781016145.359,2,2
101,1781016273.516,1781016145.783,5,4
102,1781016273.516,1781016147.753,1,0
103,1781016273.516,1781016148.480,1,0
104,1781016278.393,1781016139.543,3,3
105,1781016278.393,1781016140.998,3,3
106,1781016279.328,1781016133.322,2,2
107,1781016279.328,1781016139.543,3,3
108,1781016279.328,1781016141.099,1,1
109,1781016286.561,1781016139.989,3,3
